case_id,split,suite,position_level,task_id,init_state_id,rollout_id,rollout_seed,independent_group
p3c_development__x0p2__task5__init27__rollout0,development,libero_object_temp,x0.2,5,27,0,48233314,x0.2|task5|init27
p3c_development__x0p2__task5__init28__rollout0,development,libero_object_temp,x0.2,5,28,0,45884469,x0.2|task5|init28
p3c_development__x0p2__task5__init29__rollout0,development,libero_object_temp,x0.2,5,29,0,46356003,x0.2|task5|init29
p3c_development__x0p2__task5__init30__rollout0,development,libero_object_temp,x0.2,5,30,0,40747499,x0.2|task5|init30
p3c_development__x0p2__task5__init31__rollout0,development,libero_object_temp,x0.2,5,31,0,46667095,x0.2|task5|init31
p3c_development__x0p2__task6__init27__rollout0,development,libero_object_temp,x0.2,6,27,0,47702482,x0.2|task6|init27
p3c_development__x0p2__task6__init28__rollout0,development,libero_object_temp,x0.2,6,28,0,43360199,x0.2|task6|init28
p3c_development__x0p2__task6__init29__rollout0,development,libero_object_temp,x0.2,6,29,0,43563754,x0.2|task6|init29
p3c_development__x0p2__task6__init30__rollout0,development,libero_object_temp,x0.2,6,30,0,48707904,x0.2|task6|init30
p3c_development__x0p2__task6__init31__rollout0,development,libero_object_temp,x0.2,6,31,0,48247468,x0.2|task6|init31
p3c_development__x0p2__task9__init27__rollout0,development,libero_object_temp,x0.2,9,27,0,45346391,x0.2|task9|init27
p3c_development__x0p2__task9__init28__rollout0,development,libero_object_temp,x0.2,9,28,0,47757979,x0.2|task9|init28
p3c_development__x0p2__task9__init29__rollout0,development,libero_object_temp,x0.2,9,29,0,45257535,x0.2|task9|init29
p3c_development__x0p2__task9__init30__rollout0,development,libero_object_temp,x0.2,9,30,0,43711525,x0.2|task9|init30
p3c_development__x0p2__task9__init31__rollout0,development,libero_object_temp,x0.2,9,31,0,40210911,x0.2|task9|init31
p3c_development__y0p2__task4__init27__rollout0,development,libero_object_temp,y0.2,4,27,0,44591356,y0.2|task4|init27
p3c_development__y0p2__task4__init28__rollout0,development,libero_object_temp,y0.2,4,28,0,40316676,y0.2|task4|init28
p3c_development__y0p2__task4__init29__rollout0,development,libero_object_temp,y0.2,4,29,0,49093820,y0.2|task4|init29
p3c_development__y0p2__task4__init30__rollout0,development,libero_object_temp,y0.2,4,30,0,42559314,y0.2|task4|init30
p3c_development__y0p2__task4__init31__rollout0,development,libero_object_temp,y0.2,4,31,0,47070494,y0.2|task4|init31
p3c_development__y0p2__task6__init27__rollout0,development,libero_object_temp,y0.2,6,27,0,46923359,y0.2|task6|init27
p3c_development__y0p2__task6__init28__rollout0,development,libero_object_temp,y0.2,6,28,0,42806426,y0.2|task6|init28
p3c_development__y0p2__task6__init29__rollout0,development,libero_object_temp,y0.2,6,29,0,44332078,y0.2|task6|init29
p3c_development__y0p2__task6__init30__rollout0,development,libero_object_temp,y0.2,6,30,0,40709604,y0.2|task6|init30
p3c_development__y0p2__task6__init31__rollout0,development,libero_object_temp,y0.2,6,31,0,46755666,y0.2|task6|init31
p3c_development__y0p2__task9__init27__rollout0,development,libero_object_temp,y0.2,9,27,0,41240756,y0.2|task9|init27
p3c_development__y0p2__task9__init28__rollout0,development,libero_object_temp,y0.2,9,28,0,46243385,y0.2|task9|init28
p3c_development__y0p2__task9__init29__rollout0,development,libero_object_temp,y0.2,9,29,0,46326624,y0.2|task9|init29
p3c_development__y0p2__task9__init30__rollout0,development,libero_object_temp,y0.2,9,30,0,46432542,y0.2|task9|init30
p3c_development__y0p2__task9__init31__rollout0,development,libero_object_temp,y0.2,9,31,0,40131640,y0.2|task9|init31
p3c_development__y0p3__task1__init27__rollout0,development,libero_object_temp,y0.3,1,27,0,45302727,y0.3|task1|init27
p3c_development__y0p3__task1__init28__rollout0,development,libero_object_temp,y0.3,1,28,0,42488675,y0.3|task1|init28
p3c_development__y0p3__task1__init29__rollout0,development,libero_object_temp,y0.3,1,29,0,43898029,y0.3|task1|init29
p3c_development__y0p3__task1__init30__rollout0,development,libero_object_temp,y0.3,1,30,0,44254468,y0.3|task1|init30
p3c_development__y0p3__task1__init31__rollout0,development,libero_object_temp,y0.3,1,31,0,47561992,y0.3|task1|init31
p3c_development__y0p3__task5__init27__rollout0,development,libero_object_temp,y0.3,5,27,0,44867599,y0.3|task5|init27
p3c_development__y0p3__task5__init28__rollout0,development,libero_object_temp,y0.3,5,28,0,42462422,y0.3|task5|init28
p3c_development__y0p3__task5__init29__rollout0,development,libero_object_temp,y0.3,5,29,0,40361597,y0.3|task5|init29
p3c_development__y0p3__task5__init30__rollout0,development,libero_object_temp,y0.3,5,30,0,46684338,y0.3|task5|init30
p3c_development__y0p3__task5__init31__rollout0,development,libero_object_temp,y0.3,5,31,0,45290821,y0.3|task5|init31
