method,evaluation_cohort,position_level,task_id,n_cases,baseline_sr,method_sr,paired_sr_delta,rescues,harms,trigger_rate,intervention_rate
workspace_calibrated,novel_cell,x0.2,2,5,1.0,0.6,-0.4,0,2,1.0,1.0
workspace_calibrated,novel_cell,y0.1,4,5,0.8,0.8,0.0,0,0,0.0,0.0
workspace_calibrated,novel_cell,y0.1,6,5,0.6,0.8,0.2,1,0,0.8,0.8
workspace_calibrated,novel_cell,y0.1,8,5,1.0,1.0,0.0,0,0,1.0,1.0
workspace_calibrated,novel_cell,y0.1,9,5,0.4,1.0,0.6,3,0,1.0,1.0
workspace_calibrated,novel_cell,y0.2,7,5,0.6,1.0,0.4,2,0,1.0,1.0
workspace_calibrated,novel_cell,y0.2,8,5,0.8,1.0,0.2,1,0,1.0,1.0
workspace_calibrated,replication,x0.2,5,5,0.6,0.8,0.2,1,0,0.8,0.8
workspace_calibrated,replication,x0.2,6,5,0.4,0.6,0.2,1,0,0.2,0.2
workspace_calibrated,replication,x0.2,9,5,0.0,0.0,0.0,0,0,0.0,0.0
workspace_calibrated,replication,y0.2,4,5,0.0,0.0,0.0,0,0,0.0,0.0
workspace_calibrated,replication,y0.2,6,5,0.0,1.0,1.0,5,0,1.0,1.0
workspace_calibrated,replication,y0.2,9,5,0.2,0.6,0.4,3,1,1.0,1.0
workspace_calibrated,replication,y0.3,1,5,0.0,1.0,1.0,5,0,1.0,1.0
workspace_calibrated,replication,y0.3,5,5,0.0,1.0,1.0,5,0,1.0,1.0
workspace_retreat_only,novel_cell,x0.2,2,5,1.0,1.0,0.0,0,0,1.0,1.0
workspace_retreat_only,novel_cell,y0.1,4,5,0.8,0.8,0.0,0,0,0.0,0.0
workspace_retreat_only,novel_cell,y0.1,6,5,0.6,0.8,0.2,1,0,0.8,0.8
workspace_retreat_only,novel_cell,y0.1,8,5,1.0,1.0,0.0,0,0,1.0,1.0
workspace_retreat_only,novel_cell,y0.1,9,5,0.4,1.0,0.6,3,0,1.0,1.0
workspace_retreat_only,novel_cell,y0.2,7,5,0.6,0.8,0.2,1,0,1.0,1.0
workspace_retreat_only,novel_cell,y0.2,8,5,0.8,0.2,-0.6,0,3,1.0,1.0
workspace_retreat_only,replication,x0.2,5,5,0.6,0.4,-0.2,0,1,0.8,0.8
workspace_retreat_only,replication,x0.2,6,5,0.4,0.4,0.0,0,0,0.2,0.2
workspace_retreat_only,replication,x0.2,9,5,0.0,0.0,0.0,0,0,0.0,0.0
workspace_retreat_only,replication,y0.2,4,5,0.0,0.0,0.0,0,0,0.0,0.0
workspace_retreat_only,replication,y0.2,6,5,0.0,0.2,0.2,1,0,1.0,1.0
workspace_retreat_only,replication,y0.2,9,5,0.2,0.0,-0.2,0,1,1.0,1.0
workspace_retreat_only,replication,y0.3,1,5,0.0,0.4,0.4,2,0,1.0,1.0
workspace_retreat_only,replication,y0.3,5,5,0.0,0.2,0.2,1,0,1.0,1.0
