case_id,evaluation_cohort,independent_group,position_level,task_id,init_state_id,baseline_success,method_success,baseline_final_t,method_final_t,trigger_passed,intervention_applied,counterfactual_reused,primitive_steps,baseline_target_drop_candidate,method_target_drop_candidate,baseline_wrong_object_interaction_candidate,method_wrong_object_interaction_candidate,baseline_official_safety_violation,method_official_safety_violation,method,success_delta,rescued,harmed
p3d_development__x0p2__task2__init40__rollout0,novel_cell,x0.2|task2|init40,x0.2,2,40,1,1,276,206,1,1,0,25,1,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task2__init41__rollout0,novel_cell,x0.2|task2|init41,x0.2,2,41,1,0,129,280,1,1,0,25,0,1,0,0,0,0,workspace_calibrated,-1,0,1
p3d_development__x0p2__task2__init42__rollout0,novel_cell,x0.2|task2|init42,x0.2,2,42,1,0,129,280,1,1,0,25,0,1,0,1,0,0,workspace_calibrated,-1,0,1
p3d_development__x0p2__task2__init43__rollout0,novel_cell,x0.2|task2|init43,x0.2,2,43,1,1,169,205,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task2__init44__rollout0,novel_cell,x0.2|task2|init44,x0.2,2,44,1,1,169,200,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task5__init40__rollout0,replication,x0.2|task5|init40,x0.2,5,40,1,1,268,162,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task5__init41__rollout0,replication,x0.2|task5|init41,x0.2,5,41,0,1,280,154,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__x0p2__task5__init42__rollout0,replication,x0.2|task5|init42,x0.2,5,42,1,1,276,156,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task5__init43__rollout0,replication,x0.2|task5|init43,x0.2,5,43,1,1,192,227,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task5__init44__rollout0,replication,x0.2|task5|init44,x0.2,5,44,0,0,280,280,0,0,1,0,1,1,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task6__init40__rollout0,replication,x0.2|task6|init40,x0.2,6,40,0,0,280,280,0,0,1,0,1,1,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task6__init41__rollout0,replication,x0.2|task6|init41,x0.2,6,41,1,1,206,206,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task6__init42__rollout0,replication,x0.2|task6|init42,x0.2,6,42,0,0,280,280,0,0,1,0,1,1,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task6__init43__rollout0,replication,x0.2|task6|init43,x0.2,6,43,0,1,280,215,1,1,0,25,0,0,0,0,0,0,workspace_calibrated,1,1,0
p3d_development__x0p2__task6__init44__rollout0,replication,x0.2|task6|init44,x0.2,6,44,1,1,187,187,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task9__init40__rollout0,replication,x0.2|task9|init40,x0.2,9,40,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
p3d_development__x0p2__task9__init41__rollout0,replication,x0.2|task9|init41,x0.2,9,41,0,0,280,280,0,0,1,0,0,0,0,0,0,0,workspace_calibrated,0,0,0
