suite,task_id,init_state_id,metric,episodes,success,fail,success_mean,fail_mean,auc_high_means_failure
libero_10_with_milk,9,0,action_std_mean,4,3,1,0.002176149321409563,0.002124768652720377,0.0
libero_10_with_mug,4,0,action_std_mean,4,2,2,0.0028796468395739794,0.004160738550126553,1.0
libero_goal_with_mug,9,0,action_std_mean,4,3,1,0.001947759456622104,0.0019221834663767368,0.3333333333333333
libero_spatial_with_milk,5,0,action_std_mean,24,12,12,0.001628570552081025,0.0020005609791648262,0.6180555555555556
libero_spatial_with_mug,0,0,action_std_mean,12,8,4,0.0028056171722710133,0.0028521862186607905,0.4375
libero_spatial_with_yellow_book,5,0,action_std_mean,6,5,1,0.0019644543237518517,0.0019773505919147283,0.4
libero_spatial_with_yellow_book,8,0,action_std_mean,6,3,3,0.003959736427835499,0.003955855616368353,0.5555555555555556
libero_10_with_milk,9,0,action_std_max,4,3,1,0.017771904977659386,0.014973236946389079,0.3333333333333333
libero_10_with_mug,4,0,action_std_max,4,2,2,0.019641726044937968,0.1433793482137844,0.5
libero_goal_with_mug,9,0,action_std_max,4,3,1,0.009187815982537964,0.008347268914803863,0.3333333333333333
libero_spatial_with_milk,5,0,action_std_max,24,12,12,0.02422953676432371,0.05777607177151367,0.6041666666666666
libero_spatial_with_mug,0,0,action_std_max,12,8,4,0.024541194492485374,0.016786462743766606,0.625
libero_spatial_with_yellow_book,5,0,action_std_max,6,5,1,0.010206018527969717,0.007986655575223267,0.0
libero_spatial_with_yellow_book,8,0,action_std_max,6,3,3,0.07364669391730179,0.08163869054988027,0.5555555555555556
libero_10_with_milk,9,0,action_first_step_l2_std,4,3,1,0.005160936736501753,0.006796473724534735,1.0
libero_10_with_mug,4,0,action_first_step_l2_std,4,2,2,0.014800223696511239,0.016757631849031895,1.0
libero_goal_with_mug,9,0,action_first_step_l2_std,4,3,1,0.006451745207111041,0.006152568967081606,0.3333333333333333
libero_spatial_with_milk,5,0,action_first_step_l2_std,24,12,12,0.007377435521145041,0.007324227660622758,0.4722222222222222
libero_spatial_with_mug,0,0,action_first_step_l2_std,12,8,4,0.01130130969977472,0.012316307926084846,0.46875
libero_spatial_with_yellow_book,5,0,action_first_step_l2_std,6,5,1,0.009844077075831592,0.008444502367638052,0.0
libero_spatial_with_yellow_book,8,0,action_first_step_l2_std,6,3,3,0.008644245215691626,0.008532052704443535,0.3333333333333333
libero_10_with_milk,9,0,action_xyz_std_mean,4,3,1,0.00411306014090466,0.003997790219727904,0.3333333333333333
libero_10_with_mug,4,0,action_xyz_std_mean,4,2,2,0.0056178816594183445,0.005956417415291071,0.75
libero_goal_with_mug,9,0,action_xyz_std_mean,4,3,1,0.0028307292668614537,0.0029385282832663506,0.6666666666666666
libero_spatial_with_milk,5,0,action_xyz_std_mean,24,12,12,0.002561610078070468,0.002678333160777887,0.6111111111111112
libero_spatial_with_mug,0,0,action_xyz_std_mean,12,8,4,0.004959815501933917,0.005331352003850043,0.53125
libero_spatial_with_yellow_book,5,0,action_xyz_std_mean,6,5,1,0.003511678206268698,0.0034555135644041,0.4
libero_spatial_with_yellow_book,8,0,action_xyz_std_mean,6,3,3,0.006158281796767066,0.005998652525401364,0.5555555555555556
libero_10_with_milk,9,0,action_rot_std_mean,4,3,1,0.0007131064873343954,0.0006884734539198689,0.3333333333333333
libero_10_with_mug,4,0,action_rot_std_mean,4,2,2,0.0008049514799495228,0.0008375468823942356,0.5
libero_goal_with_mug,9,0,action_rot_std_mean,4,3,1,0.0014432441918567445,0.0012750728928949684,0.3333333333333333
libero_spatial_with_milk,5,0,action_rot_std_mean,24,12,12,0.0006236926510609919,0.0006488926665042527,0.6666666666666666
libero_spatial_with_mug,0,0,action_rot_std_mean,12,8,4,0.0010324126342311502,0.0010195259455940686,0.40625
libero_spatial_with_yellow_book,5,0,action_rot_std_mean,6,5,1,0.0008084936445811764,0.0008529745100531727,0.8
libero_spatial_with_yellow_book,8,0,action_rot_std_mean,6,3,3,0.001437422329521117,0.0015135829550369333,0.5555555555555556
libero_10_with_milk,9,0,action_gripper_std_mean,4,3,1,0.0007545443707689022,0.0008145895699271932,1.0
libero_10_with_mug,4,0,action_gripper_std_mean,4,2,2,0.0008890285680536181,0.00874327707424527,1.0
libero_goal_with_mug,9,0,action_gripper_std_mean,4,3,1,0.0008123959948231155,0.0008144805469783023,0.3333333333333333
libero_spatial_with_milk,5,0,action_gripper_std_mean,24,12,12,0.0018440854922422052,0.004022249333502259,0.5833333333333334
libero_spatial_with_mug,0,0,action_gripper_std_mean,12,8,4,0.0016626357119093882,0.0009126693767029792,0.25
libero_spatial_with_yellow_book,5,0,action_gripper_std_mean,6,5,1,0.0007906649523647502,0.0009159897017525509,1.0
