metric,pooled_group_z_auc_high_means_failure,pooled_oriented_auc,direction,weighted_mean_group_auc_high_means_failure,min_group_auc_high_means_failure,max_group_auc_high_means_failure,groups_strict_high_means_failure,groups_tied,groups_low_means_failure,num_mixed_groups,episodes,success,fail
latent_action_copy_std_mean_mean_over_samples,0.6712962962962963,0.6712962962962963,high=failure,0.6758333333333334,0.3333333333333333,0.8888888888888888,5,1,1,7,60,36,24
action_gripper_std_mean,0.6122685185185185,0.6122685185185185,high=failure,0.5944444444444446,0.25,1.0,5,0,2,7,60,36,24
value_mean,0.59375,0.59375,high=failure,0.5243055555555556,0.0,0.6805555555555556,3,1,3,7,60,36,24
latent_action_across_seed_std_mean,0.5891203703703703,0.5891203703703703,high=failure,0.5677777777777777,0.3333333333333333,0.75,3,1,3,7,60,36,24
future_image_pixel_std_mean,0.5787037037037037,0.5787037037037037,high=failure,0.56875,0.0,0.7777777777777778,4,0,3,7,60,36,24
action_pairwise_l2_mean,0.5787037037037037,0.5787037037037037,high=failure,0.5309722222222222,0.3333333333333333,0.6666666666666666,3,1,3,7,60,36,24
action_std_mean,0.5763888888888888,0.5763888888888888,high=failure,0.5191666666666667,0.0,1.0,3,0,4,7,60,36,24
action_xyz_std_mean,0.5682870370370371,0.5682870370370371,high=failure,0.5629166666666667,0.3333333333333333,0.75,5,0,2,7,60,36,24
action_rot_std_mean,0.5682870370370371,0.5682870370370371,high=failure,0.5612499999999999,0.3333333333333333,0.8,3,1,3,7,60,36,24
latent_future_proprio_across_seed_std_mean,0.5543981481481481,0.5543981481481481,high=failure,0.57375,0.0,1.0,4,1,2,7,60,36,24
latent_value_element_std_mean_mean_over_samples,0.5497685185185185,0.5497685185185185,high=failure,0.5323611111111111,0.25,0.90625,2,0,5,7,60,36,24
latent_value_across_seed_std_mean,0.5416666666666666,0.5416666666666666,high=failure,0.5666666666666667,0.0,1.0,4,1,2,7,60,36,24
value_std,0.5370370370370371,0.5370370370370371,high=failure,0.5445833333333333,0.2222222222222222,0.8,4,1,2,7,60,36,24
future_wrist_pixel_std_mean,0.4675925925925926,0.5324074074074074,low=failure,0.4597222222222222,0.0,0.6875,2,0,5,7,60,36,24
latent_action_first_step_copy_l2_std_mean_over_samples,0.46875,0.53125,low=failure,0.44000000000000006,0.0,0.625,2,0,5,7,60,36,24
value_range,0.5219907407407407,0.5219907407407407,high=failure,0.5327777777777778,0.2222222222222222,0.8,4,1,2,7,60,36,24
latent_future_proprio_copy_std_mean_mean_over_samples,0.5208333333333334,0.5208333333333334,high=failure,0.5534722222222223,0.0,1.0,4,0,3,7,60,36,24
action_first_step_l2_std,0.5115740740740741,0.5115740740740741,high=failure,0.4715277777777777,0.0,1.0,2,0,5,7,60,36,24
future_proprio_std_mean,0.4895833333333333,0.5104166666666667,low=failure,0.5036111111111111,0.0,0.8,3,1,3,7,60,36,24
action_std_max,0.5057870370370371,0.5057870370370371,high=failure,0.49999999999999994,0.0,0.625,3,1,3,7,60,36,24
