split,suite,task_id,init_state_id,episodes,success,median_final_t,fail,success_rate
ID,libero_10,3,0,6,6,209.0,0,1.0
ID,libero_10,4,0,6,6,236.5,0,1.0
ID,libero_10,9,0,6,6,267.5,0,1.0
ID,libero_goal,3,0,6,6,175.0,0,1.0
ID,libero_goal,5,0,6,6,204.0,0,1.0
ID,libero_goal,9,0,6,6,131.0,0,1.0
ID,libero_object,1,0,6,6,121.0,0,1.0
ID,libero_object,7,0,6,6,126.0,0,1.0
ID,libero_object,9,0,6,6,116.0,0,1.0
ID,libero_spatial,0,0,6,6,76.0,0,1.0
ID,libero_spatial,5,0,6,6,87.5,0,1.0
ID,libero_spatial,8,0,6,6,109.0,0,1.0
OOD,libero_10_with_milk,9,0,4,3,263.5,1,0.75
OOD,libero_10_with_mug,3,0,4,4,210.0,0,1.0
OOD,libero_10_with_mug,4,0,4,2,374.5,2,0.5
OOD,libero_10_with_mug,9,0,4,4,290.0,0,1.0
OOD,libero_goal_with_milk,3,0,4,4,75.0,0,1.0
OOD,libero_goal_with_milk,5,0,4,4,91.5,0,1.0
OOD,libero_goal_with_milk,9,0,4,4,75.5,0,1.0
OOD,libero_goal_with_mug,3,0,4,4,203.0,0,1.0
OOD,libero_goal_with_mug,5,0,4,4,173.5,0,1.0
OOD,libero_goal_with_mug,9,0,4,3,142.0,1,0.75
OOD,libero_goal_with_yellow_book,3,0,4,4,182.0,0,1.0
OOD,libero_goal_with_yellow_book,5,0,4,4,109.0,0,1.0
OOD,libero_goal_with_yellow_book,9,0,4,4,129.5,0,1.0
OOD,libero_spatial_with_milk,5,0,24,12,217.5,12,0.5
OOD,libero_spatial_with_mug,0,0,12,8,144.5,4,0.6666666666666666
OOD,libero_spatial_with_yellow_book,0,0,6,6,86.5,0,1.0
OOD,libero_spatial_with_yellow_book,5,0,6,5,100.0,1,0.8333333333333334
OOD,libero_spatial_with_yellow_book,8,0,6,3,182.0,3,0.5
