campaign,run_name,manifest_status,complete_artifacts,included,reason,trace_path
phase1_boundary_20260724,phase1_boundary_20260724__easy_control_mug,failed,True,True,included,experiments/campaigns/phase1_boundary_20260724/runs/phase1_boundary_20260724__easy_control_mug__query_traces.parquet
phase1_boundary_20260724,phase1_boundary_20260724__goal_distractor_screen,failed,False,False,missing metadata or pair summary,experiments/campaigns/phase1_boundary_20260724/runs/phase1_boundary_20260724__goal_distractor_screen__query_traces.parquet
phase1_boundary_20260724,phase1_boundary_20260724__known_boundary_milk,failed,True,True,included,experiments/campaigns/phase1_boundary_20260724/runs/phase1_boundary_20260724__known_boundary_milk__query_traces.parquet
phase1_boundary_valid_20260724,phase1_boundary_valid_20260724__goal_distractor_screen,completed,True,True,included,experiments/campaigns/phase1_boundary_valid_20260724/runs/phase1_boundary_valid_20260724__goal_distractor_screen__query_traces.parquet
phase1_boundary_valid_20260724,phase1_boundary_valid_20260724__long_distractor_screen,completed,True,True,included,experiments/campaigns/phase1_boundary_valid_20260724/runs/phase1_boundary_valid_20260724__long_distractor_screen__query_traces.parquet
phase1_boundary_valid_20260724,phase1_boundary_valid_20260724__spatial_distractor_screen,completed,True,True,included,experiments/campaigns/phase1_boundary_valid_20260724/runs/phase1_boundary_valid_20260724__spatial_distractor_screen__query_traces.parquet
phase1_id_20260724,phase1_id_20260724__id_goal,completed,True,True,included,experiments/campaigns/phase1_id_20260724/runs/phase1_id_20260724__id_goal__query_traces.parquet
phase1_id_20260724,phase1_id_20260724__id_long_horizon,completed,True,True,included,experiments/campaigns/phase1_id_20260724/runs/phase1_id_20260724__id_long_horizon__query_traces.parquet
phase1_id_20260724,phase1_id_20260724__id_object,completed,True,True,included,experiments/campaigns/phase1_id_20260724/runs/phase1_id_20260724__id_object__query_traces.parquet
phase1_id_20260724,phase1_id_20260724__id_spatial,completed,True,True,included,experiments/campaigns/phase1_id_20260724/runs/phase1_id_20260724__id_spatial__query_traces.parquet
