factor,candidate,reference,paired_episodes,delta_success_rate,ci95_low,ci95_high,wins,losses,ties,mcnemar_p
Object,maxV-H8,maxV-H16,100,-0.03,-0.09,0.0,0,3,97,0.25
Object,horizon-only,maxV-H16,100,-0.01,-0.030000000000000006,0.0,2,3,95,1.0
Object,random-H8,maxV-H16,100,-0.02,-0.06000000000000001,0.0,1,3,96,0.625
Object,horizon-only,random-H8,100,0.01,-0.030000000000000006,0.06000000000000001,3,2,95,1.0
Object,risk-H8,horizon-only,100,-0.04,-0.1,0.0,1,5,94,0.21875
Object,risk-H8,maxV-H16,100,-0.05,-0.11000000000000001,0.0,0,5,95,0.0625
Position,maxV-H8,maxV-H16,99,-0.01111111111111111,-0.0711111111111111,0.05,5,6,88,1.0
Position,horizon-only,maxV-H16,99,-0.0611111111111111,-0.09113888888888887,-0.030000000000000006,2,8,89,0.109375
Position,random-H8,maxV-H16,99,-0.04111111111111111,-0.10000000000000002,0.018888888888888893,2,6,91,0.2890625
Position,horizon-only,random-H8,99,-0.020000000000000004,-0.06000000000000001,0.030000000000000006,3,5,91,0.7265625
Position,risk-H8,horizon-only,99,0.020000000000000004,-0.030000000000000006,0.08,6,4,89,0.75390625
Position,risk-H8,maxV-H16,99,-0.04111111111111111,-0.10333333333333335,0.02,3,7,89,0.34375
Environment,maxV-H8,maxV-H16,100,-0.01,-0.05,0.030000000000000006,4,5,91,1.0
Environment,horizon-only,maxV-H16,100,0.01,-0.02,0.04,4,3,93,1.0
Environment,random-H8,maxV-H16,100,-0.01,-0.05,0.030000000000000006,4,5,91,1.0
Environment,horizon-only,random-H8,100,0.02,-0.02,0.06999999999999999,5,3,92,0.7265625
Environment,risk-H8,horizon-only,100,0.01,0.0,0.030000000000000006,3,2,95,1.0
Environment,risk-H8,maxV-H16,100,0.02,0.0,0.05,3,1,96,0.625
Overall,maxV-H8,maxV-H16,299,-0.017037037037037038,-0.048157407407407406,0.012962962962962968,9,14,276,0.4048728942871094
Overall,horizon-only,maxV-H16,299,-0.02037037037037037,-0.037037037037037035,-0.003703703703703702,8,14,277,0.28627872467041016
Overall,random-H8,maxV-H16,299,-0.023703703703703703,-0.05074074074074073,0.0029629629629629646,7,14,278,0.18924713134765625
Overall,horizon-only,random-H8,299,0.0033333333333333335,-0.020000000000000004,0.030000000000000002,11,10,278,1.0
Overall,risk-H8,horizon-only,299,-0.0033333333333333335,-0.030000000000000002,0.02333333333333333,10,11,278,1.0
Overall,risk-H8,maxV-H16,299,-0.023703703703703703,-0.05407407407407407,0.0033333333333333353,6,13,280,0.1670684814453125
