planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
max_value_disagreement_requery,1.0,libero_object_env,0,0,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,0,0,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,0,1,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,0,1,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,0,2,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,0,2,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,0,3,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,0,3,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,0,4,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,0,4,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,0,5,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,0,5,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,0,6,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,0,6,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,0,7,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,0,7,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,0,8,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,0,8,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,0,9,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,0,9,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,1,0,1,1,1.0,151.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,1,0,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,1,1,1,1,1.0,152.0,0.0
max_value_random_requery_43,0.0,libero_object_env,1,1,1,1,1.0,152.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,1,2,1,1,1.0,162.0,0.0
max_value_random_requery_43,0.0,libero_object_env,1,2,1,1,1.0,146.0,0.0
