planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
max_value_disagreement_requery,1.0,libero_object_object,0,0,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_object,0,0,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_object,0,1,1,1,1.0,179.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,0,1,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,0,2,1,1,1.0,222.0,0.0
max_value_random_requery_43,0.0,libero_object_object,0,2,1,1,1.0,122.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,0,3,1,1,1.0,129.0,0.0
max_value_random_requery_43,0.0,libero_object_object,0,3,1,1,1.0,276.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,0,4,1,1,1.0,151.0,0.0
max_value_random_requery_43,0.0,libero_object_object,0,4,1,1,1.0,190.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,0,5,1,1,1.0,262.0,0.0
max_value_random_requery_43,0.0,libero_object_object,0,5,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,0,6,1,1,1.0,125.0,0.0
max_value_random_requery_43,0.0,libero_object_object,0,6,1,1,1.0,128.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,0,7,1,1,1.0,226.0,0.0
max_value_random_requery_43,0.0,libero_object_object,0,7,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,0,8,1,1,1.0,129.0,0.0
max_value_random_requery_43,0.0,libero_object_object,0,8,1,1,1.0,122.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,0,9,1,1,1.0,186.0,0.0
max_value_random_requery_43,0.0,libero_object_object,0,9,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,1,0,1,1,1.0,128.0,0.0
max_value_random_requery_43,0.0,libero_object_object,1,0,1,1,1.0,120.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,1,1,1,1,1.0,124.0,0.0
max_value_random_requery_43,0.0,libero_object_object,1,1,1,1,1.0,126.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,1,2,1,1,1.0,124.0,0.0
max_value_random_requery_43,0.0,libero_object_object,1,2,1,1,1.0,127.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,1,3,1,1,1.0,143.0,0.0
max_value_random_requery_43,0.0,libero_object_object,1,3,1,1,1.0,121.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,1,4,1,1,1.0,127.0,0.0
max_value_random_requery_43,0.0,libero_object_object,1,4,1,1,1.0,128.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,1,5,1,1,1.0,120.0,0.0
max_value_random_requery_43,0.0,libero_object_object,1,5,1,1,1.0,127.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,1,6,1,1,1.0,127.0,0.0
max_value_random_requery_43,0.0,libero_object_object,1,6,1,1,1.0,125.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,1,7,1,1,1.0,124.0,0.0
max_value_random_requery_43,0.0,libero_object_object,1,7,1,1,1.0,122.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,1,8,1,1,1.0,124.0,0.0
max_value_random_requery_43,0.0,libero_object_object,1,8,1,1,1.0,120.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,1,9,1,1,1.0,149.0,0.0
max_value_random_requery_43,0.0,libero_object_object,1,9,1,1,1.0,146.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,2,0,1,1,1.0,110.0,0.0
max_value_random_requery_43,0.0,libero_object_object,2,0,1,1,1.0,126.0,0.0
max_value_random_requery_43,0.0,libero_object_object,2,1,1,1,1.0,116.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,2,1,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,2,2,1,1,1.0,126.0,0.0
max_value_random_requery_43,0.0,libero_object_object,2,2,1,1,1.0,121.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,2,3,1,1,1.0,114.0,0.0
max_value_random_requery_43,0.0,libero_object_object,2,3,1,1,1.0,114.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,2,4,1,1,1.0,116.0,0.0
max_value_random_requery_43,0.0,libero_object_object,2,4,1,1,1.0,119.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,2,5,1,1,1.0,108.0,0.0
max_value_random_requery_43,0.0,libero_object_object,2,5,1,1,1.0,113.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,2,6,1,1,1.0,125.0,0.0
max_value_random_requery_43,0.0,libero_object_object,2,6,1,1,1.0,126.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,2,7,1,1,1.0,113.0,0.0
max_value_random_requery_43,0.0,libero_object_object,2,7,1,1,1.0,113.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,2,8,1,1,1.0,119.0,0.0
max_value_random_requery_43,0.0,libero_object_object,2,8,1,1,1.0,119.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,2,9,1,1,1.0,118.0,0.0
max_value_random_requery_43,0.0,libero_object_object,2,9,1,1,1.0,118.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,3,0,1,1,1.0,166.0,0.0
max_value_random_requery_43,0.0,libero_object_object,3,0,1,1,1.0,135.0,0.0
max_value_disagreement_requery,1.0,libero_object_object,3,1,1,1,1.0,174.0,0.0
