method,factor,case_id,suite,task_id,init_state_id,rollout_seed,success,final_t,query_count,h16_reference_queries,query_multiplier,requery_count,trigger_rate,max_value_selected_rate,timeout,time_to_success,target_drop_candidate,wrong_object_interaction,official_safety_violation,state_key
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,0,40,7200000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task0|init40|seed7200000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,0,41,7210000,False,280,18,18,1.0,0,0.0,1.0,True,,False,True,False,Environment|libero_object_env|task0|init41|seed7210000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,0,42,7220000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task0|init42|seed7220000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,0,43,7230000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task0|init43|seed7230000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,0,44,7240000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task0|init44|seed7240000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,0,45,7250000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task0|init45|seed7250000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,0,46,7260000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task0|init46|seed7260000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,0,47,7270000,False,280,18,18,1.0,0,0.0,1.0,True,,False,True,False,Environment|libero_object_env|task0|init47|seed7270000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,0,48,7280000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task0|init48|seed7280000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,0,49,7290000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task0|init49|seed7290000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,2,40,7300000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task2|init40|seed7300000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,2,41,7310000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task2|init41|seed7310000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,2,42,7320000,False,280,18,18,1.0,0,0.0,1.0,True,,False,True,False,Environment|libero_object_env|task2|init42|seed7320000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,2,43,7330000,False,280,18,18,1.0,0,0.0,1.0,True,,False,True,False,Environment|libero_object_env|task2|init43|seed7330000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,2,44,7340000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task2|init44|seed7340000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,2,45,7350000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task2|init45|seed7350000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,2,46,7360000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task2|init46|seed7360000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,2,47,7370000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task2|init47|seed7370000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,2,48,7380000,False,280,18,18,1.0,0,0.0,1.0,True,,False,True,False,Environment|libero_object_env|task2|init48|seed7380000
maxV-H16,Environment,feedback_environment_task0_2,libero_object_env,2,49,7390000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Environment|libero_object_env|task2|init49|seed7390000
maxV-H16,Object,feedback_object_task0,libero_object_object,0,40,7100000,True,138,9,9,1.0,0,0.0,1.0,False,138.0,False,False,False,Object|libero_object_object|task0|init40|seed7100000
maxV-H16,Object,feedback_object_task0,libero_object_object,0,41,7110000,True,189,12,12,1.0,0,0.0,1.0,False,189.0,False,False,False,Object|libero_object_object|task0|init41|seed7110000
maxV-H16,Object,feedback_object_task0,libero_object_object,0,42,7120000,True,202,13,13,1.0,0,0.0,1.0,False,202.0,False,False,False,Object|libero_object_object|task0|init42|seed7120000
maxV-H16,Object,feedback_object_task0,libero_object_object,0,43,7130000,False,280,18,18,1.0,0,0.0,1.0,True,,False,False,False,Object|libero_object_object|task0|init43|seed7130000
maxV-H16,Object,feedback_object_task0,libero_object_object,0,44,7140000,True,274,18,18,1.0,0,0.0,1.0,False,274.0,False,False,False,Object|libero_object_object|task0|init44|seed7140000
