boundary,cohort,cell,arm,n,successes,sr,full_regrasp,refresh,final_t,candidates,suffix_drop_proxy
72,replication,x0.2_t5,baseline_h16,8,1,0.125,0,0,276.125,71.0,0
72,replication,x0.2_t5,continue_h8,8,6,0.75,0,0,255.0,92.5,1
72,replication,x0.2_t5,physical_regrasp,8,8,1.0,8,0,163.0,35.5,0
72,replication,x0.2_t5,refresh_preserve_only,8,8,1.0,8,0,163.0,35.5,0
72,replication,x0.2_t6,baseline_h16,8,6,0.75,0,0,213.25,55.0,1
72,replication,x0.2_t6,continue_h8,8,4,0.5,0,0,239.25,84.5,3
72,replication,x0.2_t6,physical_regrasp,8,5,0.625,1,0,231.375,79.5,3
72,replication,x0.2_t6,refresh_preserve_only,8,6,0.75,1,2,222.125,75.0,2
72,replication,x0.2_t9,baseline_h16,7,1,0.14285714285714285,0,0,258.57142857142856,66.85714285714286,0
72,replication,x0.2_t9,continue_h8,7,2,0.2857142857142857,0,0,250.85714285714286,90.28571428571429,0
72,replication,x0.2_t9,physical_regrasp,7,1,0.14285714285714285,1,0,271.2857142857143,98.28571428571429,1
72,replication,x0.2_t9,refresh_preserve_only,7,0,0.0,1,6,280.0,102.28571428571429,2
72,replication,y0.2_t4,baseline_h16,8,0,0.0,0,0,280.0,72.0,0
72,replication,y0.2_t4,continue_h8,8,0,0.0,0,0,280.0,104.0,0
72,replication,y0.2_t4,physical_regrasp,8,0,0.0,0,0,280.0,104.0,0
72,replication,y0.2_t4,refresh_preserve_only,8,0,0.0,0,8,280.0,104.0,0
72,replication,y0.2_t6,baseline_h16,8,0,0.0,0,0,280.0,72.0,0
72,replication,y0.2_t6,continue_h8,8,3,0.375,0,0,265.75,98.0,0
72,replication,y0.2_t6,physical_regrasp,8,8,1.0,8,0,186.0,47.0,0
72,replication,y0.2_t6,refresh_preserve_only,8,8,1.0,8,0,186.0,47.0,0
72,replication,y0.2_t9,baseline_h16,7,3,0.42857142857142855,0,0,231.85714285714286,60.0,1
72,replication,y0.2_t9,continue_h8,7,0,0.0,0,0,280.0,104.0,0
72,replication,y0.2_t9,physical_regrasp,7,6,0.8571428571428571,7,0,182.0,43.42857142857143,0
72,replication,y0.2_t9,refresh_preserve_only,7,6,0.8571428571428571,7,0,182.0,43.42857142857143,0
72,replication,y0.3_t1,baseline_h16,8,4,0.5,0,0,259.375,67.0,0
72,replication,y0.3_t1,continue_h8,8,0,0.0,0,0,280.0,104.0,0
72,replication,y0.3_t1,physical_regrasp,8,8,1.0,8,0,203.625,55.0,0
72,replication,y0.3_t1,refresh_preserve_only,8,8,1.0,8,0,203.625,55.0,0
72,replication,y0.3_t5,baseline_h16,7,1,0.14285714285714285,0,0,271.42857142857144,69.71428571428571,0
72,replication,y0.3_t5,continue_h8,7,1,0.14285714285714285,0,0,269.85714285714283,99.42857142857143,0
72,replication,y0.3_t5,physical_regrasp,7,4,0.5714285714285714,7,0,242.0,73.71428571428571,0
72,replication,y0.3_t5,refresh_preserve_only,7,4,0.5714285714285714,7,0,242.0,73.71428571428571,0
72,transfer,x0.3_t1,baseline_h16,7,0,0.0,0,0,280.0,72.0,0
72,transfer,x0.3_t1,continue_h8,7,0,0.0,0,0,280.0,104.0,0
72,transfer,x0.3_t1,physical_regrasp,7,0,0.0,7,0,280.0,92.0,0
72,transfer,x0.3_t1,refresh_preserve_only,7,0,0.0,7,0,280.0,92.0,0
72,transfer,x0.3_t2,baseline_h16,6,0,0.0,0,0,280.0,72.0,0
