cohort,arm,terminal_failure_type,count
replication,continue_h8,kinematic_deadlock_candidate,11
replication,continue_h8,success,16
replication,continue_h8,target_drop_candidate,4
replication,continue_h8,timeout_no_goal,21
replication,continue_h8,wrong_object_interaction_candidate,9
replication,physical_regrasp,kinematic_deadlock_candidate,4
replication,physical_regrasp,success,40
replication,physical_regrasp,target_drop_candidate,4
replication,physical_regrasp,timeout_no_goal,10
replication,physical_regrasp,wrong_object_interaction_candidate,3
replication,refresh_preserve_only,kinematic_deadlock_candidate,3
replication,refresh_preserve_only,success,40
replication,refresh_preserve_only,target_drop_candidate,4
replication,refresh_preserve_only,timeout_no_goal,12
replication,refresh_preserve_only,wrong_object_interaction_candidate,2
transfer,continue_h8,kinematic_deadlock_candidate,19
transfer,continue_h8,timeout_no_goal,21
transfer,continue_h8,wrong_object_interaction_candidate,7
transfer,physical_regrasp,kinematic_deadlock_candidate,19
transfer,physical_regrasp,success,1
transfer,physical_regrasp,target_drop_candidate,2
transfer,physical_regrasp,timeout_no_goal,20
transfer,physical_regrasp,wrong_object_interaction_candidate,5
transfer,refresh_preserve_only,kinematic_deadlock_candidate,24
transfer,refresh_preserve_only,success,1
transfer,refresh_preserve_only,target_drop_candidate,2
transfer,refresh_preserve_only,timeout_no_goal,19
transfer,refresh_preserve_only,wrong_object_interaction_candidate,1
