cohort,cell,arm,n,successes,sr
replication,x0.2_t5,baseline_h16,8,1,0.125
replication,x0.2_t5,continue_h8,8,6,0.75
replication,x0.2_t5,physical_regrasp,8,8,1.0
replication,x0.2_t5,refresh_preserve_only,8,8,1.0
replication,x0.2_t6,baseline_h16,8,6,0.75
replication,x0.2_t6,continue_h8,8,4,0.5
replication,x0.2_t6,physical_regrasp,8,5,0.625
replication,x0.2_t6,refresh_preserve_only,8,6,0.75
replication,x0.2_t9,baseline_h16,7,1,0.14285714285714285
replication,x0.2_t9,continue_h8,7,2,0.2857142857142857
replication,x0.2_t9,physical_regrasp,7,1,0.14285714285714285
replication,x0.2_t9,refresh_preserve_only,7,0,0.0
replication,y0.2_t4,baseline_h16,8,0,0.0
replication,y0.2_t4,continue_h8,8,0,0.0
replication,y0.2_t4,physical_regrasp,8,0,0.0
replication,y0.2_t4,refresh_preserve_only,8,0,0.0
replication,y0.2_t6,baseline_h16,8,0,0.0
replication,y0.2_t6,continue_h8,8,3,0.375
replication,y0.2_t6,physical_regrasp,8,8,1.0
replication,y0.2_t6,refresh_preserve_only,8,8,1.0
replication,y0.2_t9,baseline_h16,7,3,0.42857142857142855
replication,y0.2_t9,continue_h8,7,0,0.0
replication,y0.2_t9,physical_regrasp,7,6,0.8571428571428571
replication,y0.2_t9,refresh_preserve_only,7,6,0.8571428571428571
replication,y0.3_t1,baseline_h16,8,4,0.5
replication,y0.3_t1,continue_h8,8,0,0.0
replication,y0.3_t1,physical_regrasp,8,8,1.0
replication,y0.3_t1,refresh_preserve_only,8,8,1.0
replication,y0.3_t5,baseline_h16,7,1,0.14285714285714285
replication,y0.3_t5,continue_h8,7,1,0.14285714285714285
replication,y0.3_t5,physical_regrasp,7,4,0.5714285714285714
replication,y0.3_t5,refresh_preserve_only,7,4,0.5714285714285714
transfer,x0.3_t1,baseline_h16,7,0,0.0
transfer,x0.3_t1,continue_h8,7,0,0.0
transfer,x0.3_t1,physical_regrasp,7,0,0.0
transfer,x0.3_t1,refresh_preserve_only,7,0,0.0
transfer,x0.3_t2,baseline_h16,6,0,0.0
transfer,x0.3_t2,continue_h8,6,0,0.0
transfer,x0.3_t2,physical_regrasp,6,1,0.16666666666666666
transfer,x0.3_t2,refresh_preserve_only,6,1,0.16666666666666666
transfer,x0.3_t4,baseline_h16,6,0,0.0
transfer,x0.3_t4,continue_h8,6,0,0.0
transfer,x0.3_t4,physical_regrasp,6,0,0.0
transfer,x0.3_t4,refresh_preserve_only,6,0,0.0
transfer,x0.3_t5,baseline_h16,5,0,0.0
transfer,x0.3_t5,continue_h8,5,0,0.0
transfer,x0.3_t5,physical_regrasp,5,0,0.0
transfer,x0.3_t5,refresh_preserve_only,5,0,0.0
transfer,x0.3_t6,baseline_h16,6,0,0.0
transfer,x0.3_t6,continue_h8,6,0,0.0
transfer,x0.3_t6,physical_regrasp,6,0,0.0
transfer,x0.3_t6,refresh_preserve_only,6,0,0.0
transfer,x0.3_t7,baseline_h16,6,0,0.0
transfer,x0.3_t7,continue_h8,6,0,0.0
transfer,x0.3_t7,physical_regrasp,6,0,0.0
transfer,x0.3_t7,refresh_preserve_only,6,0,0.0
transfer,x0.3_t8,baseline_h16,6,0,0.0
transfer,x0.3_t8,continue_h8,6,0,0.0
transfer,x0.3_t8,physical_regrasp,6,0,0.0
transfer,x0.3_t8,refresh_preserve_only,6,0,0.0
transfer,x0.3_t9,baseline_h16,5,0,0.0
transfer,x0.3_t9,continue_h8,5,0,0.0
transfer,x0.3_t9,physical_regrasp,5,0,0.0
transfer,x0.3_t9,refresh_preserve_only,5,0,0.0
