cohort,arm,terminal_failure_type,count
replication,continue_h8,kinematic_deadlock_candidate,14
replication,continue_h8,success,16
replication,continue_h8,target_drop_candidate,4
replication,continue_h8,timeout_no_goal,21
replication,continue_h8,wrong_object_interaction_candidate,9
replication,physical_regrasp,kinematic_deadlock_candidate,5
replication,physical_regrasp,success,41
replication,physical_regrasp,target_drop_candidate,4
replication,physical_regrasp,timeout_no_goal,10
replication,physical_regrasp,wrong_object_interaction_candidate,4
replication,refresh_preserve_only,kinematic_deadlock_candidate,4
replication,refresh_preserve_only,success,41
replication,refresh_preserve_only,target_drop_candidate,4
replication,refresh_preserve_only,timeout_no_goal,12
replication,refresh_preserve_only,wrong_object_interaction_candidate,3
transfer,continue_h8,kinematic_deadlock_candidate,28
transfer,continue_h8,target_drop_candidate,1
transfer,continue_h8,timeout_no_goal,27
transfer,continue_h8,wrong_object_interaction_candidate,8
transfer,physical_regrasp,kinematic_deadlock_candidate,26
transfer,physical_regrasp,success,1
transfer,physical_regrasp,target_drop_candidate,4
transfer,physical_regrasp,timeout_no_goal,26
transfer,physical_regrasp,wrong_object_interaction_candidate,7
transfer,refresh_preserve_only,kinematic_deadlock_candidate,31
transfer,refresh_preserve_only,success,1
transfer,refresh_preserve_only,target_drop_candidate,4
transfer,refresh_preserve_only,timeout_no_goal,25
transfer,refresh_preserve_only,wrong_object_interaction_candidate,3
