job_id,cohort,cell,camera,projected_gt_cv,intrinsic,camera_to_world,target_pixels,observation_raw_mae,observation_flipped_mae,target_xyz,predicted_xyz,predicted_pixel_cv,target_in_front,pixel_center_error,xy_error_m,xy_error_true_plane_m,world_reconstruction_error_m,gt_projection_roundtrip_error_m,plane_height_error_m,predicted_pixel_to_target_mask_px
x0.2_t5_i25,replication,x0.2_t5,agentview,"[101.38999863494094, 127.35169992633921]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",16,0.3167724609375,55.90385945638021,"[-0.08976095092862962, -0.09993920296124817, 0.038392596419837215]","[-0.11407193179276764, -0.10702925776388418, 0.03839259594678879]","[100.0, 124.0]",True,3.6284967412635116,0.02532375698195011,0.025323756208347332,0.0,2.8177377798042847e-16,4.73048426818945e-10,10.04987562112089
x0.2_t6_i25,replication,x0.2_t6,agentview,"[58.128891363799454, 151.8957212421899]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",196,0.3721262613932292,57.43479919433594,"[0.024954781020029453, -0.24394809816122934, 0.00869547740992347]","[0.024816045300016465, -0.23847226423453896, 0.029537346214056015]","[59.0, 147.0]",True,4.972616689157985,0.005477591148735078,0.029530918676069287,0.0,4.591220234460366e-16,0.020841868804132545,0.0
x0.2_t9_i25,replication,x0.2_t9,agentview,"[98.08280210585104, 116.7377810001746]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",540,0.3121592203776042,56.69427998860677,"[-0.11518180371698773, -0.11284430030521277, 0.06973547730149801]","[-0.41557896016618834, 0.05355356347739899, 0.14803364872932434]","[140.0, 68.0]",True,64.28392315437995,0.3434045728789617,0.5344481486924512,0.0,3.4915808093142e-16,0.07829817142782633,51.73973328110612
y0.2_t4_i25,replication,y0.2_t4,agentview,"[101.5494640411452, 115.49062807610736]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",476,0.2822723388671875,54.32521057128906,"[-0.11999706998722079, -0.09999758536104374, 0.07240547676577402]","[0.11131711404909372, -0.0816897868076373, 0.20547789335250854]","[100.0, 115.0]",True,1.625286043706405,0.2320375556332597,0.007206779540392786,0.0,1.942890293094024e-16,0.13307241658673452,0.0
y0.2_t6_i25,replication,y0.2_t6,agentview,"[102.66245156500285, 129.98302772885197]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",121,0.053721110026041664,55.77070109049479,"[-0.1182564500123431, -0.09843099395167151, 0.008695477418608112]","[-0.08814704403332374, -0.10576436408675197, 0.02317853271961201]","[100.0, 131.0]",True,2.85006683014103,0.030989589315566873,0.012235799418447503,0.0,2.573069200465649e-16,0.014483055301003899,0.0
y0.2_t9_i25,replication,y0.2_t9,agentview,"[140.0547379424894, 141.52078738692956]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",310,0.3261311848958333,55.95624796549479,"[0.050000065205727875, 0.039998372153898135, 0.06973547730149786]","[0.04115069458091769, 0.040106535459914466, 0.06982632726430893]","[140.0, 140.0]",True,1.5217721638247945,0.008850031624577495,0.00898405167519188,0.0,3.213689363765041e-16,9.084996281107094e-05,4.0
y0.3_t1_i25,replication,y0.3_t1,agentview,"[161.6382871110052, 156.75747210235713]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",229,0.4008992513020833,57.83216349283854,"[0.05318093026575282, 0.11482227219105105, 0.00892147741860811]","[0.048911956512219024, 0.11988081768848004, 0.008921477012336365]","[163.0, 156.0]",True,1.558212430287943,0.006619140386630235,0.006619139982111205,0.0,2.8994282552341736e-16,4.0627174541230104e-10,0.0
y0.3_t5_i25,replication,y0.3_t5,agentview,"[160.6484243534466, 149.23718299138932]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",548,0.360870361328125,56.668670654296875,"[0.05023904907137033, 0.11006079703875188, 0.038392596419837215]","[0.04309379533422919, 0.1186751227776908, 0.03839259594678879]","[163.0, 148.0]",True,2.6571657410944707,0.011192017642260707,0.011192017150170675,0.0,2.3407842044455284e-16,4.73048426818945e-10,0.0
x0.3_t1_i25,transfer,x0.3_t1,agentview,"[102.05944034503933, 123.80084314469251]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",10,0.4171803792317708,56.58134460449219,"[-0.16431413751115803, -0.10404516477772771, 0.00892147741860811]","[0.048911956512219024, 0.11988081768848004, 0.008921477012336365]","[163.0, 156.0]",True,68.92414318112714,0.3092057774297279,0.30920577774515334,0.0,6.125514683806114e-16,4.0627174541230104e-10,62.64982043070834
x0.3_t2_i25,transfer,x0.3_t2,agentview,"[102.29472161746233, 110.33913813593297]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",261,0.22176106770833334,55.24858601888021,"[-0.15999929383503894, -0.09999129741361047, 0.0727054536990047]","[-0.08806993975210309, -0.10263356627475326, 0.08840010315179825]","[100.0, 116.0]",True,6.108281619710848,0.07197786856751821,0.044752644931115027,0.0,4.1679597045044557e-16,0.015694649452793544,2.0
