diagnostic_order,diagnostic_role,case_id,position_level,task_id,init_state_id,rollout_seed,strategy,terminal_success,terminal_final_t,terminal_failure_type,primary_success,outcome_reproduced,prefix_state_reproduced,snapshot_replay_max_abs,video_path,video_bytes
1,full_regrasp_harm_1,p3d_holdout__x0p2__task2__init47__rollout0,x0.2,2,47,58879674,baseline_h8,True,129,success,True,True,True,0.0,media/01_full_regrasp_harm_1__baseline_h8__success.mp4,244077
1,full_regrasp_harm_1,p3d_holdout__x0p2__task2__init47__rollout0,x0.2,2,47,58879674,workspace_retreat_only,True,132,success,True,True,True,0.0,media/01_full_regrasp_harm_1__workspace_retreat_only__success.mp4,249759
1,full_regrasp_harm_1,p3d_holdout__x0p2__task2__init47__rollout0,x0.2,2,47,58879674,workspace_calibrated,False,280,target_drop_candidate,False,True,True,0.0,media/01_full_regrasp_harm_1__workspace_calibrated__fail.mp4,485954
2,full_regrasp_harm_2,p3d_holdout__x0p2__task2__init49__rollout0,x0.2,2,49,52260923,baseline_h8,True,129,success,True,True,True,0.0,media/02_full_regrasp_harm_2__baseline_h8__success.mp4,242206
2,full_regrasp_harm_2,p3d_holdout__x0p2__task2__init49__rollout0,x0.2,2,49,52260923,workspace_retreat_only,True,132,success,True,True,True,0.0,media/02_full_regrasp_harm_2__workspace_retreat_only__success.mp4,247884
2,full_regrasp_harm_2,p3d_holdout__x0p2__task2__init49__rollout0,x0.2,2,49,52260923,workspace_calibrated,False,280,target_drop_candidate,False,True,True,0.0,media/02_full_regrasp_harm_2__workspace_calibrated__fail.mp4,481714
3,router_oracle_miss_1,p3d_holdout__y0p2__task7__init49__rollout0,y0.2,7,49,51013994,baseline_h8,True,210,success,True,True,True,0.0,media/03_router_oracle_miss_1__baseline_h8__success.mp4,370468
3,router_oracle_miss_1,p3d_holdout__y0p2__task7__init49__rollout0,y0.2,7,49,51013994,workspace_retreat_only,False,280,timeout_no_goal,False,True,True,0.0,media/03_router_oracle_miss_1__workspace_retreat_only__fail.mp4,497782
3,router_oracle_miss_1,p3d_holdout__y0p2__task7__init49__rollout0,y0.2,7,49,51013994,workspace_calibrated,False,280,wrong_object_interaction_candidate,False,True,True,0.0,media/03_router_oracle_miss_1__workspace_calibrated__fail.mp4,519277
4,router_oracle_miss_2,p3d_holdout__y0p2__task9__init46__rollout0,y0.2,9,46,59770659,baseline_h8,True,208,success,True,True,True,0.0,media/04_router_oracle_miss_2__baseline_h8__success.mp4,378676
4,router_oracle_miss_2,p3d_holdout__y0p2__task9__init46__rollout0,y0.2,9,46,59770659,workspace_retreat_only,False,280,kinematic_deadlock_candidate,False,True,True,0.0,media/04_router_oracle_miss_2__workspace_retreat_only__fail.mp4,451479
4,router_oracle_miss_2,p3d_holdout__y0p2__task9__init46__rollout0,y0.2,9,46,59770659,workspace_calibrated,False,280,kinematic_deadlock_candidate,False,True,True,0.0,media/04_router_oracle_miss_2__workspace_calibrated__fail.mp4,475552
