row_uid,snapshot_id,source_run,position_level,suite,task_id,init_state_id,rollout_id,rollout_seed,query_idx,snapshot_t,phase_at_snapshot,task_description,independent_group,source_commit_success,source_feedback_success,source_feedback_drop,source_feedback_wrong,source_feedback_safety,source_feedback_failure_type,source_feedback_final_t,proposal,proposal_deployable,proposal_execution_horizon,proposal_primitive,strict_replay,feedback_endpoint_replay_max_abs,common_prefix_steps,primitive_steps,continuation_queries,branch_executed_steps,video_num_frames,video_path,branch_started_at,branch_finished_at,terminal_available,terminal_success,terminal_final_t,terminal_continuation_queries,terminal_goal_progress_max,terminal_target_drop_candidate,terminal_wrong_object_interaction_candidate,terminal_official_safety_violation,terminal_failure_type,terminal_episode_failure_type,terminal_episode_failure_event_t,terminal_episode_safe_task_success,terminal_episode_safety_terminated,terminal_episode_official_safety_violation,terminal_episode_official_safety_violation_t,terminal_episode_official_safety_cost_types,terminal_episode_target_objects,terminal_episode_goal_relevant_objects,terminal_episode_target_drop_candidate,terminal_episode_target_drop_candidate_t,terminal_episode_target_drop_candidate_object,terminal_episode_successful_target_release,terminal_episode_successful_target_release_t,terminal_episode_successful_target_release_objects,terminal_episode_wrong_object_interaction_candidate,terminal_episode_wrong_object_interaction_candidate_t,terminal_episode_kinematic_deadlock_candidate,terminal_episode_episode_goal_progress_initial,terminal_episode_episode_goal_progress_max,terminal_episode_episode_time_to_first_goal_progress,terminal_episode_episode_time_to_first_target_lift,terminal_episode_episode_target_lift_max,terminal_episode_goal_predicates_json,terminal_episode_goal_predicates_satisfied_final_json,terminal_episode_episode_eef_path_length,terminal_episode_episode_eef_net_displacement,terminal_episode_episode_eef_jerk_mean,terminal_episode_episode_eef_dimensionless_jerk_proxy,terminal_utility_v1
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14|libero_object_temp__task5__init10__rollout1__query4,libero_object_temp__task5__init10__rollout1__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14,x0.2,libero_object_temp,5,10,1,20101067,4,64,grasp,pick the tomato sauce and place it in the basket,x0.2|task5|init10,False,False,True,False,False,target_drop_candidate,280,frequent_requery_h4,True,4,none,True,0.0,8,0,52,216,217,experiments/campaigns/recovery_proposal_opportunity_20260904/runs/recovery_proposal_opportunity_20260904__position_x0p2_task5__videos/state000__libero_object_temp__task5__init10__rollout1__query4__frequent_requery_h4.mp4,2026-09-03T22:09:50+00:00,2026-09-03T22:11:44+00:00,True,False,280,52,0.0,True,False,False,target_drop_candidate,target_drop_candidate,124,False,False,False,-1,,tomato_sauce_1,tomato_sauce_1,True,124,tomato_sauce_1,False,-1,,False,-1,True,0.0,0.0,-1,68,0.1680505719294174,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[0],0.6023760708511484,0.38111196268619985,1.697415722258972,73118643.93195297,-1.0
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14|libero_object_temp__task5__init10__rollout1__query4,libero_object_temp__task5__init10__rollout1__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14,x0.2,libero_object_temp,5,10,1,20101067,4,64,grasp,pick the tomato sauce and place it in the basket,x0.2|task5|init10,False,False,True,False,False,target_drop_candidate,280,lift_hold_h8,True,8,lift_hold,True,0.0,8,4,26,216,217,experiments/campaigns/recovery_proposal_opportunity_20260904/runs/recovery_proposal_opportunity_20260904__position_x0p2_task5__videos/state000__libero_object_temp__task5__init10__rollout1__query4__lift_hold_h8.mp4,2026-09-03T22:11:48+00:00,2026-09-03T22:12:56+00:00,True,False,280,26,0.0,True,False,False,target_drop_candidate,target_drop_candidate,124,False,False,False,-1,,tomato_sauce_1,tomato_sauce_1,True,124,tomato_sauce_1,False,-1,,False,-1,True,0.0,0.0,-1,68,0.1668414233488821,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[0],0.601169202138009,0.37988211559294593,2.0726513763772356,128223250.2063263,-1.0
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14|libero_object_temp__task5__init10__rollout1__query4,libero_object_temp__task5__init10__rollout1__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14,x0.2,libero_object_temp,5,10,1,20101067,4,64,grasp,pick the tomato sauce and place it in the basket,x0.2|task5|init10,False,False,True,False,False,target_drop_candidate,280,privileged_regrasp_h8,False,8,privileged_regrasp,True,0.0,8,25,23,216,217,experiments/campaigns/recovery_proposal_opportunity_20260904/runs/recovery_proposal_opportunity_20260904__position_x0p2_task5__videos/state000__libero_object_temp__task5__init10__rollout1__query4__privileged_regrasp_h8.mp4,2026-09-03T22:12:59+00:00,2026-09-03T22:14:01+00:00,True,False,280,23,0.0,True,False,False,target_drop_candidate,target_drop_candidate,80,False,False,False,-1,,tomato_sauce_1,tomato_sauce_1,True,80,tomato_sauce_1,False,-1,,False,-1,False,0.0,0.0,-1,68,0.14888331677497374,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[0],1.5158513067938644,0.42137416772001685,7.516062509699397,113019382.39539787,-1.0
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14|libero_object_temp__task5__init11__rollout0__query4,libero_object_temp__task5__init11__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14,x0.2,libero_object_temp,5,11,0,20101164,4,64,approach,pick the tomato sauce and place it in the basket,x0.2|task5|init11,False,False,False,False,False,timeout_no_goal,280,frequent_requery_h4,True,4,none,True,0.0,8,0,45,185,186,experiments/campaigns/recovery_proposal_opportunity_20260904/runs/recovery_proposal_opportunity_20260904__position_x0p2_task5__videos/state001__libero_object_temp__task5__init11__rollout0__query4__frequent_requery_h4.mp4,2026-09-03T22:14:08+00:00,2026-09-03T22:15:45+00:00,True,True,249,45,1.0,False,False,False,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,249,185,0.17416873376989694,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],1.1626889486181624,0.4007332470591194,6.418255660073056,48233892.019591145,3.0
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14|libero_object_temp__task5__init11__rollout0__query4,libero_object_temp__task5__init11__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14,x0.2,libero_object_temp,5,11,0,20101164,4,64,approach,pick the tomato sauce and place it in the basket,x0.2|task5|init11,False,False,False,False,False,timeout_no_goal,280,lift_hold_h8,True,8,lift_hold,True,0.0,8,4,21,173,174,experiments/campaigns/recovery_proposal_opportunity_20260904/runs/recovery_proposal_opportunity_20260904__position_x0p2_task5__videos/state001__libero_object_temp__task5__init11__rollout0__query4__lift_hold_h8.mp4,2026-09-03T22:15:48+00:00,2026-09-03T22:16:43+00:00,True,True,237,21,1.0,False,False,False,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,237,183,0.1991564319916658,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],1.1524819309846666,0.3730874894044701,5.870733124184657,37071119.87214845,3.0
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14|libero_object_temp__task5__init11__rollout0__query4,libero_object_temp__task5__init11__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init5_14,x0.2,libero_object_temp,5,11,0,20101164,4,64,approach,pick the tomato sauce and place it in the basket,x0.2|task5|init11,False,False,False,False,False,timeout_no_goal,280,privileged_regrasp_h8,False,8,privileged_regrasp,True,0.0,8,25,11,120,121,experiments/campaigns/recovery_proposal_opportunity_20260904/runs/recovery_proposal_opportunity_20260904__position_x0p2_task5__videos/state001__libero_object_temp__task5__init11__rollout0__query4__privileged_regrasp_h8.mp4,2026-09-03T22:16:46+00:00,2026-09-03T22:17:18+00:00,True,True,184,11,1.0,False,False,False,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,184,126,0.18424785957955228,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],0.9503163073221205,0.40285409476810363,9.408344575918695,15288694.280835869,3.0
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init15_24|libero_object_temp__task5__init15__rollout0__query4,libero_object_temp__task5__init15__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init15_24,x0.2,libero_object_temp,5,15,0,20101940,4,64,approach,pick the tomato sauce and place it in the basket,x0.2|task5|init15,False,False,False,False,False,timeout_no_goal,280,frequent_requery_h4,True,4,none,True,0.0,8,0,47,196,197,experiments/campaigns/recovery_proposal_opportunity_20260904/runs/recovery_proposal_opportunity_20260904__position_x0p2_task5__videos/state002__libero_object_temp__task5__init15__rollout0__query4__frequent_requery_h4.mp4,2026-09-03T22:17:24+00:00,2026-09-03T22:19:06+00:00,True,True,260,47,1.0,False,False,False,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,260,181,0.18426193971686772,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],1.210415517234323,0.3859314943187918,6.207692447215029,65101881.38406934,3.0
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init15_24|libero_object_temp__task5__init15__rollout0__query4,libero_object_temp__task5__init15__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init15_24,x0.2,libero_object_temp,5,15,0,20101940,4,64,approach,pick the tomato sauce and place it in the basket,x0.2|task5|init15,False,False,False,False,False,timeout_no_goal,280,lift_hold_h8,True,8,lift_hold,True,0.0,8,4,26,213,214,experiments/campaigns/recovery_proposal_opportunity_20260904/runs/recovery_proposal_opportunity_20260904__position_x0p2_task5__videos/state002__libero_object_temp__task5__init15__rollout0__query4__lift_hold_h8.mp4,2026-09-03T22:19:09+00:00,2026-09-03T22:20:17+00:00,True,True,277,26,1.0,False,False,False,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,277,178,0.19112073948594896,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],1.1895751068936364,0.3599736800456752,5.324069767906496,97864968.29353435,3.0
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init15_24|libero_object_temp__task5__init15__rollout0__query4,libero_object_temp__task5__init15__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init15_24,x0.2,libero_object_temp,5,15,0,20101940,4,64,approach,pick the tomato sauce and place it in the basket,x0.2|task5|init15,False,False,False,False,False,timeout_no_goal,280,privileged_regrasp_h8,False,8,privileged_regrasp,True,0.0,8,25,14,145,146,experiments/campaigns/recovery_proposal_opportunity_20260904/runs/recovery_proposal_opportunity_20260904__position_x0p2_task5__videos/state002__libero_object_temp__task5__init15__rollout0__query4__privileged_regrasp_h8.mp4,2026-09-03T22:20:20+00:00,2026-09-03T22:21:01+00:00,True,True,209,14,1.0,False,False,False,success,success,-1,True,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,1.0,209,96,0.18796487603823236,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[1],1.0014921151829586,0.39639507944887137,10.001968006815424,41776487.916195974,3.0
signed_vof_new_task_holdout_20260903__position_x0p2_task5_init15_24|libero_object_temp__task5__init16__rollout0__query4,libero_object_temp__task5__init16__rollout0__query4,signed_vof_new_task_holdout_20260903__position_x0p2_task5_init15_24,x0.2,libero_object_temp,5,16,0,20102134,4,64,approach,pick the tomato sauce and place it in the basket,x0.2|task5|init16,False,False,False,False,False,timeout_no_goal,280,frequent_requery_h4,True,4,none,True,0.0,8,0,52,216,217,experiments/campaigns/recovery_proposal_opportunity_20260904/runs/recovery_proposal_opportunity_20260904__position_x0p2_task5__videos/state003__libero_object_temp__task5__init16__rollout0__query4__frequent_requery_h4.mp4,2026-09-03T22:21:07+00:00,2026-09-03T22:23:00+00:00,True,False,280,52,0.0,False,False,False,timeout_no_goal,timeout_no_goal,280,False,False,False,-1,,tomato_sauce_1,tomato_sauce_1,False,-1,,False,-1,,False,-1,False,0.0,0.0,-1,185,0.1773622097738575,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",[0],1.2383431139772967,0.37603148805848036,5.231041862225601,85528742.94831422,0.0
