proposal,metric,n,successes,failures,success_mean,fail_mean,pooled_failure_auc,same_cell_failure_auc,comparable_cells,comparable_pairs,pooled_auc_strength
frequent_requery_h4,candidate_action_internal_consistency_mean,80,7,73,0.02219602917986257,0.023148626803535306,0.7338551859099804,0.5757575757575758,2,33,0.23385518590998045
frequent_requery_h4,candidate_value_std,80,7,73,0.0009402509853576443,0.002897895872094573,0.7162426614481409,0.5757575757575758,2,33,0.21624266144814086
frequent_requery_h4,candidate_value_range,80,7,73,0.002425253391265869,0.007492307114274534,0.7045009784735812,0.5757575757575758,2,33,0.20450097847358117
frequent_requery_h4,candidate_future_proprio_across_sample_std_mean,80,7,73,0.008457429873357927,0.00538904424629187,0.3287671232876712,0.24242424242424243,2,33,0.17123287671232879
frequent_requery_h4,planning_predicted_proprio_error,80,7,73,0.07405659545110688,0.06705482831078707,0.3972602739726027,0.30303030303030304,2,33,0.10273972602739728
frequent_requery_h4,candidate_future_proprio_internal_consistency_mean,80,7,73,0.008391334542206355,0.008580072011084182,0.5968688845401174,0.3939393939393939,2,33,0.09686888454011744
frequent_requery_h4,candidate_value_mean,80,7,73,0.3824618458747864,0.3907702548863137,0.5831702544031311,0.7575757575757576,2,33,0.08317025440313108
frequent_requery_h4,candidate_value_internal_consistency_mean,80,7,73,0.007709721568971872,0.008039490702523761,0.5812133072407045,0.6060606060606061,2,33,0.08121330724070452
frequent_requery_h4,candidate_action_consensus_first_mean,80,7,73,0.023733181479786123,0.0365238247298929,0.4324853228962818,0.45454545454545453,2,33,0.06751467710371822
frequent_requery_h4,candidate_action_consensus_chunk_mean,80,7,73,0.39176757633686066,0.4749268972098011,0.5401174168297456,0.36363636363636365,2,33,0.04011741682974557
frequent_requery_h4,candidate_action_chunk_consistency_mean,80,7,73,0.008711249301476138,0.008699386469917754,0.4755381604696673,0.36363636363636365,2,33,0.024461839530332707
lift_hold_h8,candidate_value_internal_consistency_mean,80,8,72,0.007295207702554762,0.008090127925647216,0.7604166666666666,0.7833333333333333,5,60,0.26041666666666663
lift_hold_h8,candidate_value_std,80,8,72,0.0006447291816584766,0.0029579211403769376,0.7170138888888888,0.5666666666666667,5,60,0.21701388888888884
lift_hold_h8,candidate_value_range,80,8,72,0.0016282573342323303,0.007651237977875603,0.7118055555555556,0.6,5,60,0.21180555555555558
lift_hold_h8,candidate_future_proprio_across_sample_std_mean,80,8,72,0.008107882284093648,0.005385266400278649,0.3125,0.2833333333333333,5,60,0.1875
lift_hold_h8,candidate_value_mean,80,8,72,0.3718327470123768,0.3920666604406304,0.6493055555555556,0.6833333333333333,5,60,0.14930555555555558
lift_hold_h8,planning_predicted_proprio_error,80,8,72,0.07564239716993074,0.06678138135396888,0.3732638888888889,0.2833333333333333,5,60,0.1267361111111111
lift_hold_h8,candidate_action_internal_consistency_mean,80,8,72,0.0226166108623147,0.023115126028036077,0.625,0.55,5,60,0.125
lift_hold_h8,candidate_action_consensus_chunk_mean,80,8,72,0.6136005828157067,0.4514337759464979,0.4704861111111111,0.43333333333333335,5,60,0.029513888888888895
lift_hold_h8,candidate_future_proprio_internal_consistency_mean,80,8,72,0.008654501754790545,0.008553452563420352,0.5277777777777778,0.35,5,60,0.02777777777777779
lift_hold_h8,candidate_action_chunk_consistency_mean,80,8,72,0.008729396853595972,0.00869720531368835,0.4791666666666667,0.38333333333333336,5,60,0.020833333333333315
lift_hold_h8,candidate_action_consensus_first_mean,80,8,72,0.02197076939046383,0.0368972961182913,0.5190972222222222,0.45,5,60,0.01909722222222221
privileged_regrasp_h8,candidate_value_internal_consistency_mean,80,62,18,0.007777608840936615,0.00881328467383153,0.7939068100358423,0.46551724137931033,4,58,0.2939068100358423
privileged_regrasp_h8,candidate_value_range,80,62,18,0.005188433393355339,0.01345735126071506,0.7508960573476703,0.46551724137931033,4,58,0.2508960573476703
privileged_regrasp_h8,candidate_value_std,80,62,18,0.0020293020868613837,0.005128412565277863,0.7491039426523297,0.4482758620689655,4,58,0.2491039426523297
privileged_regrasp_h8,candidate_action_chunk_consistency_mean,80,62,18,0.008752134718721914,0.008522311380753914,0.2849462365591398,0.3275862068965517,4,58,0.2150537634408602
privileged_regrasp_h8,candidate_action_internal_consistency_mean,80,62,18,0.023307490523063367,0.022230974915954802,0.29121863799283154,0.5517241379310345,4,58,0.20878136200716846
privileged_regrasp_h8,candidate_value_mean,80,62,18,0.3783216462019951,0.4304177479611503,0.7051971326164874,0.7931034482758621,4,58,0.20519713261648742
privileged_regrasp_h8,planning_predicted_proprio_error,80,62,18,0.06576131068359306,0.07423318735902416,0.578853046594982,0.3793103448275862,4,58,0.07885304659498205
privileged_regrasp_h8,candidate_future_proprio_across_sample_std_mean,80,62,18,0.005204287385793343,0.007218690065201372,0.557347670250896,0.3448275862068966,4,58,0.05734767025089604
privileged_regrasp_h8,candidate_action_consensus_first_mean,80,62,18,0.02374005014257085,0.0755826870445162,0.4551971326164875,0.3793103448275862,4,58,0.044802867383512524
privileged_regrasp_h8,candidate_future_proprio_internal_consistency_mean,80,62,18,0.008595171084086741,0.008454666188400652,0.46953405017921146,0.20689655172413793,4,58,0.03046594982078854
privileged_regrasp_h8,candidate_action_consensus_chunk_mean,80,62,18,0.456871286395096,0.5047787096765306,0.5062724014336918,0.46551724137931033,4,58,0.006272401433691788
