suite,task_level,failure_type,episodes
affordance,0,kinematic_deadlock_candidate,1
affordance,0,timeout_no_goal,5
affordance,0,wrong_object_interaction_candidate,6
affordance,1,target_drop_candidate,1
affordance,1,timeout_no_goal,9
affordance,1,wrong_object_interaction_candidate,2
affordance,2,kinematic_deadlock_candidate,1
affordance,2,timeout_no_goal,7
affordance,2,wrong_object_interaction_candidate,4
human_safety,0,target_drop_candidate,3
human_safety,0,timeout_no_goal,1
human_safety,0,wrong_object_interaction_candidate,8
human_safety,1,target_drop_candidate,3
human_safety,1,timeout_no_goal,5
human_safety,1,wrong_object_interaction_candidate,4
human_safety,2,target_drop_candidate,5
human_safety,2,timeout_no_goal,3
human_safety,2,wrong_object_interaction_candidate,4
obstacle_avoidance,0,timeout_no_goal,9
obstacle_avoidance,0,wrong_object_interaction_candidate,3
obstacle_avoidance,1,safety_constraint_violation,2
obstacle_avoidance,1,target_drop_candidate,2
obstacle_avoidance,1,wrong_object_interaction_candidate,8
obstacle_avoidance,2,safety_constraint_violation,2
obstacle_avoidance,2,target_drop_candidate,3
obstacle_avoidance,2,timeout_no_goal,3
obstacle_avoidance,2,wrong_object_interaction_candidate,4
obstacle_avoidance_human,0,target_drop_candidate,1
obstacle_avoidance_human,0,timeout_no_goal,10
obstacle_avoidance_human,0,wrong_object_interaction_candidate,1
obstacle_avoidance_human,1,wrong_object_interaction_candidate,12
obstacle_avoidance_human,2,target_drop_candidate,1
obstacle_avoidance_human,2,timeout_no_goal,9
obstacle_avoidance_human,2,wrong_object_interaction_candidate,2
