family,protocol,factor,states,spearman,sign_auc,balanced_accuracy,rmse,uplift20_uplift_per_state,uplift20_compute_adjusted_uplift
scalar,group_oof,Environment,98,0.6902881114957697,0.9519557823129252,0.7738095238095237,0.028925319788778107,0.0019158815195184525,-0.0031861592968080777
scalar,factor_oof,Environment,98,0.3994733788548221,0.747874149659864,0.5654761904761905,0.03572255556778888,-0.0009659998904141194,-0.00606804070674065
scalar,group_oof,Object,98,0.56034147492174,0.7541950113378685,0.6873015873015873,0.06271839550905979,0.007167959426824745,0.0020659186104982144
scalar,factor_oof,Object,98,0.3069512716051743,0.6244897959183674,0.5793650793650793,0.06654356810192649,-0.0012085014650417716,-0.006310542281368302
scalar,group_oof,Position,69,-0.023675557179393496,0.49830220713073003,0.4991511035653651,0.028535146405002706,-0.0022913979250190663,-0.007363861693135009
scalar,factor_oof,Position,69,0.03080014614541469,0.5203735144312394,0.4859932088285229,0.031048593077637087,-0.001689005782265809,-0.0067614695503817514
semantic,group_oof,Environment,98,0.43399065343100685,0.7470238095238095,0.7023809523809523,0.0362076476841244,0.0031206799101808425,-0.0019813609061456877
semantic,factor_oof,Environment,98,-0.25436566379128966,0.2627551020408163,0.35119047619047616,0.04423117974086499,-0.0046185423494331974,-0.009720583165759727
semantic,group_oof,Object,98,0.051291369406244215,0.5142857142857142,0.5746031746031746,0.06861445807025221,-0.00041504326446568506,-0.005517084080792215
semantic,factor_oof,Object,98,-0.20764556994306624,0.41723356009070295,0.4031746031746032,0.0732199803288427,-0.0073787910043833956,-0.012480831820709925
semantic,group_oof,Position,69,-0.2946656923639021,0.399830220713073,0.43463497453310695,0.03175528049591367,-0.002978413072505416,-0.00805087684062136
semantic,factor_oof,Position,69,-0.2522469857508221,0.4227504244482173,0.4405772495755518,0.03236470861243262,-0.00319055228625786,-0.008263016054373802
combined,group_oof,Environment,98,0.6076226179318962,0.8945578231292517,0.7708333333333333,0.03238023067629322,0.0021355478999127604,-0.0029664929164137698
combined,factor_oof,Environment,98,0.5118107224145515,0.810374149659864,0.6636904761904762,0.03494843265089517,0.002163272083224932,-0.002938768733101598
combined,group_oof,Object,98,0.5212210469942428,0.7365079365079366,0.6349206349206349,0.06265492802524536,0.005903530331317838,0.0008014895149913081
combined,factor_oof,Object,98,0.13352332498135147,0.5587301587301587,0.5285714285714286,0.06838958691358336,-0.0009151720744407578,-0.006017212890767288
combined,group_oof,Position,69,-0.05191815856777495,0.5127334465195246,0.4961799660441426,0.029444603679480232,-0.002442839035729869,-0.007515302803845812
combined,factor_oof,Position,69,-0.008695652173913044,0.5178268251273345,0.4830220713073005,0.031172584726599048,-0.0012467021114214536,-0.006319165879537396
