family,task_id,states,spearman,sign_auc,balanced_accuracy,rmse,uplift20_uplift_per_state,uplift20_compute_adjusted_uplift
scalar,5,26,0.19931623931623932,0.5972222222222222,0.5555555555555556,0.03122131191620892,-0.0008566022695450694,-0.0066258330387758396
scalar,8,13,0.42857142857142855,0.7272727272727273,0.6136363636363636,0.13257809877195004,-0.003584553237334008,-0.009353784006564779
scalar,9,28,0.2824302134646962,0.6923076923076923,0.6230769230769231,0.11389606353620743,-0.008300109088711002,-0.01365725194585386
scalar+agent-disagreement,5,26,0.19931623931623932,0.5972222222222222,0.5555555555555556,0.03110963029599928,-0.0008566022695450694,-0.0066258330387758396
scalar+agent-disagreement,8,13,0.42857142857142855,0.7272727272727273,0.6136363636363636,0.13229984906141604,-0.003584553237334008,-0.009353784006564779
scalar+agent-disagreement,9,28,0.27367268746579093,0.6871794871794872,0.6230769230769231,0.11390302649622343,-0.008300109088711,-0.01365725194585386
scalar+crossview,5,26,0.174017094017094,0.5694444444444444,0.5555555555555556,0.033212365670538806,-0.0017507026188203615,-0.007519933388051132
scalar+crossview,8,13,0.4340659340659341,0.7272727272727273,0.8636363636363636,0.12893653687244225,-0.007348394111993208,-0.013117624881223979
scalar+crossview,9,28,0.21620142309797483,0.6666666666666666,0.6564102564102564,0.1149535603828385,-0.008403766284153487,-0.013760909141296344
scalar+semantic2,5,26,0.174017094017094,0.5694444444444444,0.5555555555555556,0.03319559848612799,-0.0017507026188203615,-0.007519933388051132
scalar+semantic2,8,13,0.40659340659340654,0.7272727272727273,0.8636363636363636,0.12890557435708105,-0.007348394111993208,-0.013117624881223979
scalar+semantic2,9,28,0.21620142309797483,0.6666666666666666,0.6564102564102564,0.11495368963472412,-0.008403766284153487,-0.013760909141296344
