family,budget,selected_count,uplift_per_state,mean_selected_vof,compute_adjusted_uplift,oracle_uplift_per_state,random_expected_uplift
scalar,0.1,7,-0.0003166020792091582,-0.0030303341867162284,-0.002928542377716621,0.016910710329843925,-0.0009749515344153758
scalar,0.2,14,-0.00039681883965669406,-0.0018990615897856074,-0.00562069943667162,0.017731151720023278,-0.0019499030688307517
scalar,0.3,21,-0.0032084532727884468,-0.010236493775086949,-0.011044274168310836,0.018115152803871507,-0.0029248546032461277
scalar+agent-disagreement,0.1,7,-0.0003166020792091582,-0.0030303341867162284,-0.002928542377716621,0.016910710329843925,-0.0009749515344153758
scalar+agent-disagreement,0.2,14,-0.00039681883965669406,-0.0018990615897856074,-0.00562069943667162,0.017731151720023278,-0.0019499030688307517
scalar+agent-disagreement,0.3,21,-0.003208453272788447,-0.01023649377508695,-0.011044274168310837,0.018115152803871507,-0.0029248546032461277
scalar+crossview,0.1,7,-0.0007800479814346313,-0.007466173536588614,-0.003391988279942094,0.016910710329843925,-0.0009749515344153758
scalar+crossview,0.2,14,-0.0003455552867645446,-0.0016537288723731777,-0.00556943588377947,0.017731151720023278,-0.0019499030688307517
scalar+crossview,0.3,21,-0.0032411896853522595,-0.0103409385199334,-0.011077010580874649,0.018115152803871507,-0.0029248546032461277
scalar+semantic2,0.1,7,-0.0007800479814346313,-0.007466173536588614,-0.003391988279942094,0.016910710329843925,-0.0009749515344153758
scalar+semantic2,0.2,14,-0.0003455552867645446,-0.0016537288723731777,-0.00556943588377947,0.017731151720023278,-0.0019499030688307517
scalar+semantic2,0.3,21,0.0035981839563609657,0.011479920241723082,-0.0042376369391614235,0.018115152803871507,-0.0029248546032461277
