position_level,task_id,task_description,states,atlas_commit_sr,support_rate,query_rate,cate_mean,cate_min,cate_max,support_distance_mean
x0.2,2,pick the salad dressing and place it in the basket,5,0.8,1.0,0.2,0.029442012406592548,-0.12696572509112702,0.4391709542860279,0.8899025608393563
x0.2,9,pick the orange juice and place it in the basket,5,0.6,1.0,0.8,0.3065495916157887,-0.08971350582166135,0.5555049370358109,1.3220655813482534
y0.1,6,pick the butter and place it in the basket,5,0.8,1.0,0.4,0.03892757630560052,-0.0860826560302011,0.28510231481513376,0.8375009673865286
y0.1,8,pick the chocolate pudding and place it in the basket,5,0.8,1.0,0.4,-0.07558445535018798,-0.5535167797274464,0.2928489242703587,1.0047695944594082
y0.1,9,pick the orange juice and place it in the basket,5,0.8,1.0,0.2,-0.08667838299210126,-0.30343424946837677,0.3878362459974608,0.9727274218304259
y0.2,4,pick the ketchup and place it in the basket,5,0.2,1.0,1.0,0.19710783451664002,0.04410529922176112,0.3490454666332769,1.0953749736779843
y0.2,6,pick the butter and place it in the basket,5,0.2,1.0,0.2,-0.10241255055648639,-0.23736653121662785,0.16435509785441388,0.9224872727907698
y0.2,7,pick the milk and place it in the basket,5,0.8,1.0,0.2,-0.024510258231389043,-0.10680399872505712,0.029170834028728925,0.9109912679320615
y0.2,9,pick the orange juice and place it in the basket,5,0.2,1.0,0.2,-0.08366366331996046,-0.27807349375352086,0.17835598643135792,0.9112257937364602
y0.3,1,pick the cream cheese and place it in the basket,5,0.2,1.0,0.0,-0.10266597398770591,-0.21856862787499132,0.023593455159782534,1.111255777560833
