position_level,direction,task_id,task_description,attempted_states,strict_states,successes,failures,commit_success_rate,commit_success_ci_low,commit_success_ci_high,boundary_distance,eligible_boundary
x0.2,x,9,pick the orange juice and place it in the basket,5,5,3,2,0.6,0.2307242812760128,0.882379225767352,0.0999999999999999,True
y0.3,y,1,pick the cream cheese and place it in the basket,5,5,1,4,0.2,0.0362241086324301,0.6244653702374747,0.3,True
y0.2,y,4,pick the ketchup and place it in the basket,5,5,1,4,0.2,0.0362241086324301,0.6244653702374747,0.3,True
y0.2,y,6,pick the butter and place it in the basket,5,5,1,4,0.2,0.0362241086324301,0.6244653702374747,0.3,True
y0.2,y,9,pick the orange juice and place it in the basket,5,5,1,4,0.2,0.0362241086324301,0.6244653702374747,0.3,True
x0.2,x,2,pick the salad dressing and place it in the basket,5,5,4,1,0.8,0.3755346297625253,0.9637758913675698,0.3,True
y0.1,y,6,pick the butter and place it in the basket,5,5,4,1,0.8,0.3755346297625253,0.9637758913675698,0.3,True
y0.2,y,7,pick the milk and place it in the basket,5,5,4,1,0.8,0.3755346297625253,0.9637758913675698,0.3,True
y0.1,y,8,pick the chocolate pudding and place it in the basket,5,5,4,1,0.8,0.3755346297625253,0.9637758913675698,0.3,True
y0.1,y,9,pick the orange juice and place it in the basket,5,5,4,1,0.8,0.3755346297625253,0.9637758913675698,0.3,True
