feature,episodes,failures,cases,raw_auc_high_predicts_fail,case_controlled_auc_high_predicts_fail,case_controlled_oriented_auc,risk_direction
latent_action_first_step_copy_l2_std_mean_over_samples__mean,240,94,12,0.3080734479743515,0.5466336345088896,0.5466336345088896,high
candidate_action_internal_consistency_mean__mean,240,94,12,0.3080734479743515,0.5466336345088896,0.5466336345088896,high
candidate_action_internal_consistency_mean__max,240,94,12,0.30945788399883417,0.5446662780530458,0.5446662780530458,high
latent_action_first_step_copy_l2_std_mean_over_samples__max,240,94,12,0.30945788399883417,0.5446662780530458,0.5446662780530458,high
candidate_value_mean__mean,240,94,12,0.534392305450306,0.5427717866511221,0.5427717866511221,high
planning_predicted_proprio_error__delta,240,94,12,0.5934858641795395,0.45722821334887787,0.5427717866511221,low
latent_value_element_std_mean_mean_over_samples__mean,240,94,12,0.42371028854561354,0.46342174293208976,0.5365782570679103,low
value_range__mean,240,94,12,0.4753716117749927,0.46480617895657245,0.5351938210434275,low
latent_value_element_std_mean_mean_over_samples__max,240,94,12,0.4905275429903818,0.46546196444185367,0.5345380355581464,low
value_std__mean,240,94,12,0.4751530166132323,0.4657534246575342,0.5342465753424658,low
candidate_action_consensus_first_mean__delta,240,94,12,0.41809967939376275,0.5340279801807053,0.5340279801807053,high
action_first_step_l2_std__max,240,94,12,0.4501603031186243,0.4739143106965899,0.52608568930341,low
action_first_step_l2_std__mean,240,94,12,0.422398717575051,0.476027397260274,0.523972602739726,low
planning_predicted_proprio_error__max,240,94,12,0.5487467210725736,0.4773389682308365,0.5226610317691636,low
action_first_step_l2_std__delta,240,94,12,0.4227630428446517,0.5220052462838822,0.5220052462838822,high
value_range__delta,240,94,12,0.4527834450597493,0.4822209268434859,0.5177790731565142,low
candidate_value_mean__max,240,94,12,0.5334450597493442,0.5174876129408336,0.5174876129408336,high
candidate_action_consensus_first_mean__mean,240,94,12,0.41613232293791896,0.4826581171670067,0.5173418828329933,low
candidate_action_consensus_first_mean__max,240,94,12,0.4445496939667735,0.4830224424366074,0.5169775575633926,low
value_std__delta,240,94,12,0.454677936461673,0.484916933838531,0.5150830661614689,low
latent_action_copy_std_mean_mean_over_samples__delta,240,94,12,0.6202273389682308,0.48528125910813175,0.5147187408918683,low
value_range__max,240,94,12,0.5057563392596911,0.4863013698630137,0.5136986301369864,low
candidate_value_mean__delta,240,94,12,0.5690760711162927,0.5122413290585835,0.5122413290585835,high
value_std__max,240,94,12,0.5060477994753716,0.4892159720198193,0.5107840279801807,low
latent_value_element_std_mean_mean_over_samples__delta,240,94,12,0.5721364033809385,0.5091081317400175,0.5091081317400175,high
latent_action_copy_std_mean_mean_over_samples__max,240,94,12,0.33590789857184494,0.493733605362868,0.506266394637132,low
candidate_action_internal_consistency_mean__delta,240,94,12,0.6123579131448558,0.5059020693675313,0.5059020693675313,high
latent_action_first_step_copy_l2_std_mean_over_samples__delta,240,94,12,0.6123579131448558,0.5059020693675313,0.5059020693675313,high
latent_action_copy_std_mean_mean_over_samples__mean,240,94,12,0.34283007869425824,0.49642961235791316,0.5035703876420868,low
planning_predicted_proprio_error__mean,240,94,12,0.5268143398426115,0.5033517924803265,0.5033517924803265,high
