source_run,strategy_id,case_id,suite,task_id,init_state_id,rollout_seed,planning_strategy,planning_risk_lambda,planning_difficulty_threshold,planning_value_margin,planning_uncertainty_margin,planning_phase_fraction,planning_short_open_loop_steps,planning_surrogate_error_threshold,experiment_split,num_open_loop_steps,success,final_t,num_queries,failure_type,target_drop_candidate,wrong_object_interaction_candidate,num_queries_observed,rerank_rate,gate_rate,requery_rate,surrogate_alarm_rate,mean_selected_open_loop_steps,nominal_queries_for_executed_steps,query_compute_ratio
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960000,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,134,10,success,False,False,10,0.19999999999999996,0.0,0.2,0.0,14.4,9.0,1.1111111111111112
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960097,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,159,13,success,False,False,13,0.3846153846153846,0.0,0.38461538461538464,0.07692307692307693,12.923076923076923,10.0,1.3
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960194,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,160,14,success,False,False,14,0.5,0.0,0.5,0.07142857142857142,12.0,10.0,1.4
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960291,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,154,13,success,False,False,13,0.3846153846153846,0.0,0.38461538461538464,0.15384615384615385,12.923076923076923,10.0,1.3
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960388,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,False,320,26,target_drop_candidate,True,False,26,0.42307692307692313,0.0,0.4230769230769231,0.34615384615384615,12.615384615384615,20.0,1.3
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960485,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,127,9,success,False,False,9,0.11111111111111116,0.0,0.1111111111111111,0.0,15.11111111111111,8.0,1.125
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960582,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,130,11,success,False,False,11,0.36363636363636365,0.0,0.36363636363636365,0.0,13.090909090909092,9.0,1.2222222222222223
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960679,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,False,320,24,target_drop_candidate,True,False,24,0.29166666666666663,0.0,0.2916666666666667,0.4583333333333333,13.666666666666666,20.0,1.2
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960776,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,161,13,success,False,False,13,0.3076923076923077,0.0,0.3076923076923077,0.15384615384615385,13.538461538461538,11.0,1.1818181818181819
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960873,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,179,15,success,False,False,15,0.4666666666666667,0.0,0.4666666666666667,0.2,12.266666666666667,12.0,1.25
