suite,task_id,init_state_id,pair_id,rollout_id,rollout_seed,run_name,planning_strategy,planning_risk_lambda,success,final_t,num_queries,selected_not_max_value_rate,selected_value_mean,max_value_mean,selected_risk_mean
libero_10_with_milk,9,0,0,0,950000,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,246,16,0.5625,0.38812617026269436,0.38838908076286316,-1.2267151195555925
libero_10_with_milk,9,0,0,1,950097,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,252,16,0.5,0.3513001799583435,0.3514907881617546,-0.9197682592784986
libero_10_with_milk,9,0,0,2,950194,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,256,17,0.5294117647058824,0.34747610022039976,0.34767958872458515,-1.0613249470205868
libero_10_with_milk,9,0,0,3,950291,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,262,17,0.35294117647058826,0.36828765974325295,0.36864759641535144,-0.9024229295113507
libero_10_with_milk,9,0,0,4,950388,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,366,27,0.5555555555555556,0.4373508095741272,0.43807379294324805,-0.6690810262053101
libero_10_with_milk,9,0,0,5,950485,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,265,17,0.5882352941176471,0.3618486506097457,0.3622841344160192,-0.6309411170728066
libero_10_with_milk,9,0,0,6,950582,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,243,16,0.1875,0.38499581813812256,0.3850394394248724,-0.8937927004881203
libero_10_with_milk,9,0,0,7,950679,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,331,24,0.25,0.4284938971201579,0.4286794389287631,-0.628290722767512
libero_10_with_milk,9,0,0,8,950776,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,262,17,0.29411764705882354,0.36263153482885924,0.3627110824865453,-0.4744422426995109
libero_10_with_milk,9,0,0,9,950873,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,263,17,0.23529411764705882,0.3638804274446824,0.36438273682313804,-0.882953517138958
libero_10_with_milk,9,0,0,10,950970,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,264,17,0.35294117647058826,0.36219604576335235,0.36235956234090466,-0.7306719222927794
libero_10_with_milk,9,0,0,11,951067,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,258,18,0.4444444444444444,0.4118358724647098,0.4120016396045685,-0.9556080905927552
libero_10_with_milk,9,0,0,12,951164,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,254,17,0.5294117647058824,0.3804119877955493,0.3806076996466693,-1.001285195350647
libero_10_with_milk,9,0,0,13,951261,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,False,520,49,0.3877551020408163,0.5428134969302586,0.5439933453287397,-0.7640158986596732
libero_10_with_milk,9,0,0,14,951358,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,245,16,0.5,0.38347212225198746,0.38362883403897285,-0.8216372781898826
libero_10_with_milk,9,0,0,15,951455,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,256,16,0.5,0.33478288911283016,0.33493688702583313,-1.1447948552668095
libero_10_with_milk,9,0,0,16,951552,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,243,16,0.125,0.396306898444891,0.3963335622102022,-0.7257718119071797
libero_10_with_milk,9,0,0,17,951649,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,257,17,0.5294117647058824,0.3652186411268571,0.36561497695305767,-0.6305938163662658
libero_10_with_milk,9,0,0,18,951746,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,False,520,41,0.2682926829268293,0.4239029666272605,0.4265074402820773,-0.6173547288039472
libero_10_with_milk,9,0,0,19,951843,surrogate_confirmatory_20260819__known_long_milk__surrogate_adaptive__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1,phase_surrogate_requery_action,1.0,True,247,16,0.25,0.38340581953525543,0.3834309969097376,-0.7788183377124369
