suite,task_id,init_state_id,pair_id,rollout_id,rollout_seed,run_name,planning_strategy,planning_risk_lambda,success,final_t,num_queries,selected_not_max_value_rate,selected_value_mean,max_value_mean,selected_risk_mean
libero_spatial_with_yellow_book,8,0,0,0,920000,surrogate_confirmatory_20260819__known_yellow__controls__libero_spatial_with_yellow_book__task8__init0__max_value__l0,max_value,0.0,True,140,9,0.0,0.5423641271061368,0.5423641271061368,0.0
libero_spatial_with_yellow_book,8,0,0,1,920097,surrogate_confirmatory_20260819__known_yellow__controls__libero_spatial_with_yellow_book__task8__init0__max_value__l0,max_value,0.0,True,144,9,0.0,0.5481678777270846,0.5481678777270846,0.0
libero_spatial_with_yellow_book,8,0,0,2,920194,surrogate_confirmatory_20260819__known_yellow__controls__libero_spatial_with_yellow_book__task8__init0__max_value__l0,max_value,0.0,False,220,14,0.0,0.618175038269588,0.618175038269588,0.0
libero_spatial_with_yellow_book,8,0,0,3,920291,surrogate_confirmatory_20260819__known_yellow__controls__libero_spatial_with_yellow_book__task8__init0__max_value__l0,max_value,0.0,False,220,14,0.0,0.6549505165645054,0.6549505165645054,0.0
libero_spatial_with_yellow_book,8,0,0,4,920388,surrogate_confirmatory_20260819__known_yellow__controls__libero_spatial_with_yellow_book__task8__init0__max_value__l0,max_value,0.0,True,146,10,0.0,0.5881564527750015,0.5881564527750015,0.0
libero_spatial_with_yellow_book,8,0,0,5,920485,surrogate_confirmatory_20260819__known_yellow__controls__libero_spatial_with_yellow_book__task8__init0__max_value__l0,max_value,0.0,True,108,7,0.0,0.5372700563498906,0.5372700563498906,0.0
libero_spatial_with_yellow_book,8,0,0,6,920582,surrogate_confirmatory_20260819__known_yellow__controls__libero_spatial_with_yellow_book__task8__init0__max_value__l0,max_value,0.0,True,143,9,0.0,0.5405115054713355,0.5405115054713355,0.0
libero_spatial_with_yellow_book,8,0,0,7,920679,surrogate_confirmatory_20260819__known_yellow__controls__libero_spatial_with_yellow_book__task8__init0__max_value__l0,max_value,0.0,False,220,14,0.0,0.5985609612294606,0.5985609612294606,0.0
libero_spatial_with_yellow_book,8,0,0,8,920776,surrogate_confirmatory_20260819__known_yellow__controls__libero_spatial_with_yellow_book__task8__init0__max_value__l0,max_value,0.0,False,220,14,0.0,0.6263412279742104,0.6263412279742104,0.0
libero_spatial_with_yellow_book,8,0,0,9,920873,surrogate_confirmatory_20260819__known_yellow__controls__libero_spatial_with_yellow_book__task8__init0__max_value__l0,max_value,0.0,False,220,14,0.0,0.6516934015921184,0.6516934015921184,0.0
