feature,episodes,failures,cases,raw_auc_high_predicts_fail,case_controlled_auc_high_predicts_fail,case_controlled_oriented_auc,risk_direction
latent_action_copy_std_mean_mean_over_samples__delta,48,16,6,0.51171875,0.291015625,0.708984375,low
latent_action_copy_std_mean_mean_over_samples__max,48,16,6,0.4453125,0.330078125,0.669921875,low
planning_predicted_proprio_error__delta,48,16,6,0.6796875,0.375,0.625,low
candidate_action_consensus_first_mean__delta,48,16,6,0.3828125,0.38671875,0.61328125,low
candidate_value_mean__delta,48,16,6,0.6171875,0.392578125,0.607421875,low
action_first_step_l2_std__delta,48,16,6,0.37890625,0.392578125,0.607421875,low
candidate_value_mean__max,48,16,6,0.615234375,0.40234375,0.59765625,low
value_range__mean,48,16,6,0.58203125,0.427734375,0.572265625,low
candidate_action_internal_consistency_mean__delta,48,16,6,0.591796875,0.427734375,0.572265625,low
latent_action_first_step_copy_l2_std_mean_over_samples__delta,48,16,6,0.591796875,0.427734375,0.572265625,low
latent_value_element_std_mean_mean_over_samples__delta,48,16,6,0.46875,0.431640625,0.568359375,low
latent_value_element_std_mean_mean_over_samples__mean,48,16,6,0.365234375,0.56640625,0.56640625,high
value_std__mean,48,16,6,0.587890625,0.43359375,0.56640625,low
latent_value_element_std_mean_mean_over_samples__max,48,16,6,0.359375,0.5625,0.5625,high
value_range__max,48,16,6,0.58203125,0.439453125,0.560546875,low
value_std__max,48,16,6,0.59375,0.453125,0.546875,low
candidate_action_consensus_first_mean__max,48,16,6,0.61328125,0.544921875,0.544921875,high
candidate_value_mean__mean,48,16,6,0.638671875,0.455078125,0.544921875,low
action_first_step_l2_std__max,48,16,6,0.630859375,0.53515625,0.53515625,high
action_first_step_l2_std__mean,48,16,6,0.638671875,0.53125,0.53125,high
candidate_action_consensus_first_mean__mean,48,16,6,0.634765625,0.525390625,0.525390625,high
latent_action_first_step_copy_l2_std_mean_over_samples__max,48,16,6,0.515625,0.5234375,0.5234375,high
candidate_action_internal_consistency_mean__max,48,16,6,0.515625,0.5234375,0.5234375,high
value_range__delta,48,16,6,0.3984375,0.484375,0.515625,low
value_std__delta,48,16,6,0.390625,0.486328125,0.513671875,low
latent_action_first_step_copy_l2_std_mean_over_samples__mean,48,16,6,0.505859375,0.486328125,0.513671875,low
candidate_action_internal_consistency_mean__mean,48,16,6,0.505859375,0.486328125,0.513671875,low
planning_predicted_proprio_error__max,48,16,6,0.666015625,0.494140625,0.505859375,low
planning_predicted_proprio_error__mean,48,16,6,0.654296875,0.501953125,0.501953125,high
latent_action_copy_std_mean_mean_over_samples__mean,48,16,6,0.470703125,0.5,0.5,high
