source_run,strategy_id,case_id,suite,task_id,init_state_id,rollout_seed,planning_strategy,planning_risk_lambda,planning_difficulty_threshold,planning_value_margin,planning_uncertainty_margin,planning_phase_fraction,planning_short_open_loop_steps,planning_surrogate_error_threshold,experiment_split,num_open_loop_steps,success,final_t,num_queries,failure_type,target_drop_candidate,wrong_object_interaction_candidate,num_queries_observed,rerank_rate,gate_rate,requery_rate,surrogate_alarm_rate,mean_selected_open_loop_steps,nominal_queries_for_executed_steps,query_compute_ratio
surrogate_screening_20260819/surrogate_screening_20260819__goal_mug__core_controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_screen,libero_goal_with_mug,9,0,860000,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,170,14,success,False,False,14,0.4285714285714286,0.0,0.42857142857142855,0.14285714285714285,12.571428571428571,11.0,1.2727272727272727
surrogate_screening_20260819/surrogate_screening_20260819__goal_mug__core_controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_screen,libero_goal_with_mug,9,0,860097,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,129,11,success,False,False,11,0.4545454545454546,0.0,0.45454545454545453,0.09090909090909091,12.363636363636363,9.0,1.2222222222222223
surrogate_screening_20260819/surrogate_screening_20260819__goal_mug__core_controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_screen,libero_goal_with_mug,9,0,860194,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,148,12,success,False,False,12,0.41666666666666663,0.0,0.4166666666666667,0.08333333333333333,12.666666666666666,10.0,1.2
surrogate_screening_20260819/surrogate_screening_20260819__goal_mug__core_controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_screen,libero_goal_with_mug,9,0,860291,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,168,16,success,False,False,16,0.6875,0.0,0.6875,0.0625,10.5,11.0,1.4545454545454546
surrogate_screening_20260819/surrogate_screening_20260819__goal_mug__core_controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_screen,libero_goal_with_mug,9,0,860388,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,159,13,success,False,False,13,0.46153846153846156,0.0,0.46153846153846156,0.07692307692307693,12.307692307692308,10.0,1.3
surrogate_screening_20260819/surrogate_screening_20260819__goal_mug__core_controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_screen,libero_goal_with_mug,9,0,860485,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,158,14,success,False,False,14,0.5714285714285714,0.0,0.5714285714285714,0.14285714285714285,11.428571428571429,10.0,1.4
surrogate_screening_20260819/surrogate_screening_20260819__goal_mug__core_controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_screen,libero_goal_with_mug,9,0,860582,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,157,15,success,False,False,15,0.6666666666666667,0.0,0.6666666666666666,0.0,10.666666666666666,10.0,1.5
surrogate_screening_20260819/surrogate_screening_20260819__goal_mug__core_controls__libero_goal_with_mug__task9__init0__disagreement_requery_action__l1p0,requery_l1_h8,goal_mug_task9_init0_surrogate_screen,libero_goal_with_mug,9,0,860679,disagreement_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,132,10,success,False,False,10,0.19999999999999996,0.0,0.2,0.1,14.4,9.0,1.1111111111111112
surrogate_screening_20260819/surrogate_screening_20260819__goal_mug__core_controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_screen,libero_goal_with_mug,9,0,860000,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,161,11,success,False,False,11,0.0,0.0,0.0,0.0,16.0,11.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__goal_mug__core_controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_screen,libero_goal_with_mug,9,0,860097,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,159,10,success,False,False,10,0.0,0.0,0.0,0.1,16.0,10.0,1.0
