case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_surrogate_alarm_rate,mean_selected_open_loop_steps
goal_mug_task9_init0_surrogate_screen,action_l1,max_value,8,8,8,1.0,1.0,0.0,0,0,8,1.0,10.875,9.625,1.0,0.8850574712643678,0.0,0.0,0.0,0.02638888888888889,16.0
goal_mug_task9_init0_surrogate_screen,action_l1,phase_l1_r0.3,8,8,7,1.0,0.875,-0.125,0,1,7,1.0,10.875,11.25,1.0,1.0344827586206897,0.3248106060606061,0.6580176767676768,0.0,0.10511363636363637,16.0
goal_mug_task9_init0_surrogate_screen,action_l1,phase_requery_l1_r0.3_h8,8,8,7,1.0,0.875,-0.125,0,1,7,1.0,10.875,13.25,1.1845328282828285,1.2183908045977012,0.30377331002331,0.6922057109557109,0.30377331002331004,0.10748834498834499,13.56981351981352
goal_mug_task9_init0_surrogate_screen,action_l1,phase_requery_l1_r0.5_h8,8,8,7,1.0,0.875,-0.125,0,1,7,1.0,10.875,13.5,1.2369633838383838,1.2413793103448276,0.3743220773791426,0.9378396739130435,0.3743220773791426,0.1178906012465795,13.00542338096686
goal_mug_task9_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.0630054843163_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,10.875,11.125,1.0840909090909092,1.0229885057471264,0.3795454545454546,0.842739898989899,0.207260101010101,0.207260101010101,14.341919191919192
goal_mug_task9_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.0884176756291_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,10.875,10.875,1.0727272727272728,1.0,0.3795454545454546,0.8121843434343434,0.1621212121212121,0.1621212121212121,14.703030303030303
goal_mug_task9_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.146849980679_h8,8,8,7,1.0,0.875,-0.125,0,1,7,1.0,10.875,11.375,1.0125,1.0459770114942528,0.32140151515151516,0.6614267676767677,0.011363636363636364,0.011363636363636364,15.90909090909091
goal_mug_task9_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.5_e0.0884176756291_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,10.875,11.0,1.0852272727272727,1.0114942528735633,0.4433712121212121,1.0,0.17234848484848486,0.17234848484848486,14.621212121212121
goal_mug_task9_init0_surrogate_screen,action_l1,requery_l1_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,10.875,13.125,1.3075757575757576,1.206896551724138,0.48586465617715613,0.0,0.4858646561771562,0.08742247335997336,12.11308275058275
goal_mug_task9_init0_surrogate_screen,action_l1,surrogate_disagreement_l1_e0.0884176756291_h8,8,8,7,1.0,0.875,-0.125,0,1,7,1.0,10.875,11.75,1.03125,1.0804597701149425,0.4356554677206851,1.0,0.04990118577075099,0.13843873517786562,15.600790513833992
goal_mug_task9_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.0630054843163_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,10.875,10.0,1.05,0.9195402298850575,0.07575757575757577,0.14646464646464646,0.14646464646464646,0.14646464646464646,14.828282828282827
goal_mug_task9_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.0884176756291_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,10.875,9.375,1.0,0.8620689655172413,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,15.818181818181818
goal_mug_task9_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.146849980679_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,10.875,9.625,1.0,0.8850574712643678,0.0,0.0,0.0,0.0,16.0
goal_mug_task9_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.0630054843163_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,10.875,11.125,1.0977272727272727,1.0229885057471264,0.4479166666666667,1.0,0.20896464646464646,0.20896464646464646,14.328282828282827
goal_mug_task9_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.0884176756291_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,10.875,11.0,1.0852272727272727,1.0114942528735633,0.4433712121212121,1.0,0.17234848484848486,0.17234848484848486,14.621212121212121
goal_mug_task9_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.146849980679_h8,8,8,6,1.0,0.75,-0.25,0,2,6,0.5,10.875,13.25,1.053030303030303,1.2183908045977012,0.45090742590742594,1.0,0.09742340992340992,0.09742340992340992,15.22061272061272
long_milk_task9_init0_surrogate_screen,action_l1,max_value,8,7,7,0.875,0.875,0.0,0,0,8,1.0,18.25,18.375,1.0,1.0068493150684932,0.0,0.0,0.0,0.09450200534759359,16.0
long_milk_task9_init0_surrogate_screen,action_l1,phase_l1_r0.3,8,7,7,0.875,0.875,0.0,0,0,8,1.0,18.25,18.25,1.0,1.0,0.31640764260249554,0.580770944741533,0.0,0.0374331550802139,16.0
long_milk_task9_init0_surrogate_screen,action_l1,phase_requery_l1_r0.3_h8,8,7,5,0.875,0.625,-0.25,1,3,4,0.625,18.25,25.625,1.1669034090909092,1.404109589041096,0.28827686598584434,0.5768283652958576,0.28827686598584434,0.1385344322650824,13.693785072113245
long_milk_task9_init0_surrogate_screen,action_l1,phase_requery_l1_r0.5_h8,8,7,6,0.875,0.75,-0.125,1,2,5,1.0,18.25,25.875,1.2722537878787878,1.417808219178082,0.43449347884988615,0.8796638946638946,0.4344934788498862,0.14444435458165436,12.52405216920091
long_milk_task9_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.0630054843163_h8,8,7,7,0.875,0.875,0.0,0,0,8,1.0,18.25,20.875,1.115430035650624,1.143835616438356,0.3732767887856897,0.756108638630891,0.22493926298589612,0.22493926298589612,14.20048589611283
long_milk_task9_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.0884176756291_h8,8,7,7,0.875,0.875,0.0,1,1,6,1.0,18.25,20.25,1.0492424242424243,1.1095890410958904,0.3413123401534527,0.6589074488491049,0.10324088874680307,0.10324088874680307,15.174072890025576
