case_stratum,baseline_strategy_id,strategy_id,num_cases,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,min_case_delta,max_case_delta,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_requery_rate,mean_surrogate_alarm_rate
known_boundary,max_value,phase_requery_l1_r0.5_h8,3,24,11,17,0.4583333333333333,0.7083333333333334,0.25,0.0,0.5,-0.125,0.5,9,3,12,0.14599609375,15.458333333333334,13.958333333333334,1.2295100732600732,0.9029649595687331,0.35131987769855416,0.1592190285204991
known_boundary,max_value,requery_l1_h8,3,24,11,16,0.4583333333333333,0.6666666666666666,0.20833333333333334,0.041666666666666664,0.4166666666666667,0.0,0.375,6,1,17,0.125,15.458333333333334,14.791666666666666,1.2609088827838828,0.9568733153638813,0.3830170578332343,0.159254959293659
known_boundary,max_value,phase_requery_l1_r0.3_h8,3,24,11,13,0.4583333333333333,0.5416666666666666,0.08333333333333333,-0.16666666666666666,0.3333333333333333,-0.125,0.25,6,4,14,0.75390625,15.458333333333334,15.75,1.1793831168831168,1.0188679245283019,0.2507688492063492,0.14446097883597883
known_boundary,max_value,surrogate_gate_l1_e0.0884176756291_h8,3,24,11,13,0.4583333333333333,0.5416666666666666,0.08333333333333333,-0.125,0.2916666666666667,-0.125,0.25,5,3,16,0.7265625,15.458333333333334,17.125,1.1950877825877826,1.1078167115902964,0.2874543564462295,0.2874543564462295
known_boundary,max_value,surrogate_horizon_l1_e0.0630054843163_h8,3,24,11,13,0.4583333333333333,0.5416666666666666,0.08333333333333333,-0.16666666666666666,0.3333333333333333,-0.125,0.375,6,4,14,0.75390625,15.458333333333334,19.25,1.2755982443482445,1.2452830188679245,0.4072010065272882,0.4072010065272882
known_boundary,max_value,phase_l1_r0.3,3,24,11,12,0.4583333333333333,0.5,0.041666666666666664,-0.16666666666666666,0.25,0.0,0.125,4,3,17,1.0,15.458333333333334,15.083333333333334,1.0,0.9757412398921833,0.0,0.2077816859066859
known_boundary,max_value,phase_surrogate_l1_r0.5_e0.0884176756291_h8,3,24,11,12,0.4583333333333333,0.5,0.041666666666666664,-0.16666666666666666,0.25,0.0,0.125,4,3,17,1.0,15.458333333333334,17.541666666666668,1.1711534992784993,1.1347708894878707,0.26741647084139347,0.26741647084139347
known_boundary,max_value,surrogate_disagreement_l1_e0.0884176756291_h8,3,24,11,12,0.4583333333333333,0.5,0.041666666666666664,-0.16666666666666666,0.25,-0.25,0.25,4,3,17,1.0,15.458333333333334,15.0,1.0569083694083694,0.9703504043126684,0.0979969070961718,0.24634200902583256
known_boundary,max_value,surrogate_gate_l1_e0.0630054843163_h8,3,24,11,12,0.4583333333333333,0.5,0.041666666666666664,-0.16666666666666666,0.2916666666666667,-0.25,0.25,5,4,15,1.0,15.458333333333334,19.25,1.3017045454545455,1.2452830188679245,0.44765644863971527,0.44765644863971527
known_boundary,max_value,surrogate_horizon_l1_e0.146849980679_h8,3,24,11,11,0.4583333333333333,0.4583333333333333,0.0,-0.25,0.20833333333333334,0.0,0.0,4,4,16,1.0,15.458333333333334,16.291666666666668,1.076997655122655,1.0539083557951483,0.11934050301407112,0.11934050301407112
known_boundary,max_value,phase_surrogate_l1_r0.3_e0.146849980679_h8,3,24,11,11,0.4583333333333333,0.4583333333333333,0.0,-0.20833333333333334,0.20833333333333334,-0.125,0.125,4,4,16,1.0,15.458333333333334,16.291666666666668,1.0744002525252527,1.0539083557951483,0.10347292957587077,0.10347292957587077
known_boundary,max_value,surrogate_horizon_l1_e0.0884176756291_h8,3,24,11,11,0.4583333333333333,0.4583333333333333,0.0,-0.16666666666666666,0.16666666666666666,-0.125,0.125,2,2,20,1.0,15.458333333333334,18.25,1.1891594516594517,1.1805929919137466,0.2935298215870972,0.2935298215870972
