episode_uid,experiment_split,case_id,temporal_overlap_seed_mode,suite,task_id,init_state_id,rollout_seed,task_description,target_objects,success,critical_event_type,critical_event_t,failure_type,final_t,episode_goal_progress_max,collector_event,collector_event_on_success,event_chunk_goal_progress_end,event_chunk_target_lift_max,event_chunk_drop_candidate,event_chunk_wrong_object_candidate
temporal_overlap_passive_20260821__cal_goal_mug_coupled__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|0|1350000,calibration,cal_goal_mug_task9_init0,coupled,libero_goal_with_mug,9,0,1350000,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,191,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_coupled__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|1|1350097,calibration,cal_goal_mug_task9_init0,coupled,libero_goal_with_mug,9,0,1350097,put the wine bottle on the rack,wine_bottle_1,False,none,-1,kinematic_deadlock_candidate,320,0.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_coupled__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|2|1350194,calibration,cal_goal_mug_task9_init0,coupled,libero_goal_with_mug,9,0,1350194,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,169,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_coupled__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|3|1350291,calibration,cal_goal_mug_task9_init0,coupled,libero_goal_with_mug,9,0,1350291,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,158,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_coupled__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|4|1350388,calibration,cal_goal_mug_task9_init0,coupled,libero_goal_with_mug,9,0,1350388,put the wine bottle on the rack,wine_bottle_1,False,none,-1,kinematic_deadlock_candidate,320,0.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_coupled__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|5|1350485,calibration,cal_goal_mug_task9_init0,coupled,libero_goal_with_mug,9,0,1350485,put the wine bottle on the rack,wine_bottle_1,False,target_drop_candidate,218,target_drop_candidate,320,0.0,True,False,0.0,0.2609640343653782,1.0,0.0
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|0|1350000,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1350000,put the wine bottle on the rack,wine_bottle_1,False,none,-1,timeout_no_goal,320,0.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|10|1350970,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1350970,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,204,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|11|1351067,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1351067,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,185,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|12|1351164,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1351164,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,173,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|13|1351261,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1351261,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,165,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|14|1351358,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1351358,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,192,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|15|1351455,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1351455,put the wine bottle on the rack,wine_bottle_1,False,none,-1,timeout_no_goal,320,0.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|16|1351552,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1351552,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,157,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|17|1351649,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1351649,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,174,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|18|1351746,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1351746,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,157,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|19|1351843,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1351843,put the wine bottle on the rack,wine_bottle_1,False,none,-1,timeout_no_goal,320,0.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|1|1350097,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1350097,put the wine bottle on the rack,wine_bottle_1,False,none,-1,timeout_no_goal,320,0.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|2|1350194,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1350194,put the wine bottle on the rack,wine_bottle_1,False,none,-1,timeout_no_goal,320,0.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|3|1350291,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1350291,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,176,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|4|1350388,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1350388,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,171,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|5|1350485,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1350485,put the wine bottle on the rack,wine_bottle_1,False,none,-1,kinematic_deadlock_candidate,320,0.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|6|1350582,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1350582,put the wine bottle on the rack,wine_bottle_1,False,none,-1,timeout_no_goal,320,0.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|7|1350679,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1350679,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,156,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|8|1350776,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1350776,put the wine bottle on the rack,wine_bottle_1,True,none,-1,success,188,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_goal_mug_independent__libero_goal_with_mug__task9__init0__max_value__l0|libero_goal_with_mug|9|0|0|9|1350873,calibration,cal_goal_mug_task9_init0,independent,libero_goal_with_mug,9,0,1350873,put the wine bottle on the rack,wine_bottle_1,False,none,-1,kinematic_deadlock_candidate,320,0.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_coupled__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|0|1340000,calibration,cal_long_milk_task9_init0,coupled,libero_10_with_milk,9,0,1340000,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,310,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_coupled__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|1|1340097,calibration,cal_long_milk_task9_init0,coupled,libero_10_with_milk,9,0,1340097,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,246,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_coupled__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|2|1340194,calibration,cal_long_milk_task9_init0,coupled,libero_10_with_milk,9,0,1340194,turn on the stove and put the moka pot on it,moka_pot_1,False,none,-1,timeout_partial_goal,520,0.5,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_coupled__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|3|1340291,calibration,cal_long_milk_task9_init0,coupled,libero_10_with_milk,9,0,1340291,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,241,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_coupled__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|4|1340388,calibration,cal_long_milk_task9_init0,coupled,libero_10_with_milk,9,0,1340388,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,246,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_coupled__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|5|1340485,calibration,cal_long_milk_task9_init0,coupled,libero_10_with_milk,9,0,1340485,turn on the stove and put the moka pot on it,moka_pot_1,False,none,-1,timeout_partial_goal,520,0.5,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|0|1340000,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1340000,turn on the stove and put the moka pot on it,moka_pot_1,False,none,-1,kinematic_deadlock_candidate,520,0.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|10|1340970,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1340970,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,243,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|11|1341067,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1341067,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,498,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|12|1341164,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1341164,turn on the stove and put the moka pot on it,moka_pot_1,False,none,-1,timeout_partial_goal,520,0.5,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|13|1341261,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1341261,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,251,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|14|1341358,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1341358,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,253,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|15|1341455,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1341455,turn on the stove and put the moka pot on it,moka_pot_1,False,target_drop_candidate,499,target_drop_candidate,520,0.5,True,False,0.5,0.012751738910032895,1.0,0.0
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|16|1341552,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1341552,turn on the stove and put the moka pot on it,moka_pot_1,False,none,-1,timeout_partial_goal,520,0.5,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|17|1341649,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1341649,turn on the stove and put the moka pot on it,moka_pot_1,False,none,-1,timeout_partial_goal,520,0.5,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|18|1341746,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1341746,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,248,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|19|1341843,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1341843,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,244,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|1|1340097,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1340097,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,256,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|2|1340194,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1340194,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,239,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|3|1340291,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1340291,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,243,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|4|1340388,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1340388,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,241,1.0,False,False,,,,
temporal_overlap_passive_20260821__cal_long_milk_independent__libero_10_with_milk__task9__init0__max_value__l0|libero_10_with_milk|9|0|0|5|1340485,calibration,cal_long_milk_task9_init0,independent,libero_10_with_milk,9,0,1340485,turn on the stove and put the moka pot on it,moka_pot_1,True,none,-1,success,249,1.0,False,False,,,,
