metric,paired_episodes,independent_mean,coupled_mean,coupled_over_independent,paired_correlation
overlap_selected_rmse,72,0.03924469979179691,0.03991655595309383,1.0171196662189108,0.9741719006059791
overlap_support_min,72,0.03817435685598272,0.038287731484506295,1.0029699158770715,0.9880632853754451
overlap_set_chamfer,72,0.03716316233950993,0.03729357350945786,1.0035091515828642,0.9927221540828937
overlap_energy_distance,72,0.07103483638381897,0.07131586090370073,1.003956150730936,0.9931582028963982
overlap_mmd2_median,72,1.301630587745119,1.3045127180650384,1.0022142459981,0.9552591373619128
overlap_shift,72,7.697461593944723,7.705324997942118,1.0010215580683872,0.9561225289338396
overlap_coupled_mean,72,0.0397478461872882,0.03984973476219141,1.0025633734825057,0.9935590064976935
overlap_cosine_distance,72,0.06137749338363566,0.06318969303757922,1.0295254751219072,0.989838447338604
action_first_step_l2_std,72,0.006929632741957903,0.0069552587487527896,1.0036980324570053,0.479955591010882
value_std,72,0.0009253775107127796,0.0009059458570087978,0.9790013767581034,0.8510356289213686
