utility,method,factor,snapshots,mean_selected_utility,mean_regret,top1_accuracy
local_utility_v1,cosmos_value,Environment,298,-0.003355704697986577,0.0,1.0
local_utility_v1,cosmos_value,Object,120,0.0,0.0,1.0
local_utility_v1,cosmos_value,Position,136,0.0,0.0,1.0
local_utility_v1,factor_oof_candidate_ridge,Environment,298,-0.003355704697986577,0.0,1.0
local_utility_v1,factor_oof_candidate_ridge,Object,120,0.0,0.0,1.0
local_utility_v1,factor_oof_candidate_ridge,Position,136,0.0,0.0,1.0
local_utility_v1,grouped_oof_candidate_ridge,Environment,298,-0.003355704697986577,0.0,1.0
local_utility_v1,grouped_oof_candidate_ridge,Object,120,0.0,0.0,1.0
local_utility_v1,grouped_oof_candidate_ridge,Position,136,0.0,0.0,1.0
local_utility_v1,oracle,Environment,298,-0.003355704697986577,0.0,1.0
local_utility_v1,oracle,Object,120,0.0,0.0,1.0
local_utility_v1,oracle,Position,136,0.0,0.0,1.0
local_utility_v1,random,Environment,298,-0.003355704697986577,0.0,1.0
local_utility_v1,random,Object,120,0.0,0.0,1.0
local_utility_v1,random,Position,136,0.0,0.0,1.0
local_utility_v1,value_minus_internal_action,Environment,298,-0.003355704697986577,0.0,1.0
local_utility_v1,value_minus_internal_action,Object,120,0.0,0.0,1.0
local_utility_v1,value_minus_internal_action,Position,136,0.0,0.0,1.0
