target,factor,phase,states,mean_vof,median_vof,positive_rate,negative_rate
local_vof,Environment,approach,102,-0.024999999999999994,-0.025,0.0,1.0
local_vof,Environment,grasp,93,-0.02499999999999999,-0.025,0.0,1.0
local_vof,Environment,release,4,-0.025,-0.025,0.0,1.0
local_vof,Environment,transport,99,-0.024999999999999998,-0.025,0.0,1.0
local_vof,Object,approach,36,-0.025000000000000005,-0.025,0.0,1.0
local_vof,Object,grasp,36,-0.025000000000000005,-0.025,0.0,1.0
local_vof,Object,release,12,-0.025000000000000005,-0.025,0.0,1.0
local_vof,Object,transport,36,-0.025000000000000005,-0.025,0.0,1.0
local_vof,Position,approach,60,-0.02499999999999999,-0.025,0.0,1.0
local_vof,Position,grasp,40,-0.025,-0.025,0.0,1.0
local_vof,Position,release,4,-0.025,-0.025,0.0,1.0
local_vof,Position,transport,32,-0.025,-0.025,0.0,1.0
terminal_vof,Environment,approach,102,-0.12303921568627452,-0.025,0.10784313725490197,0.8921568627450981
terminal_vof,Environment,grasp,93,0.05026881720430106,-0.025,0.03225806451612903,0.967741935483871
terminal_vof,Environment,release,4,-0.025000000000000022,-0.025,0.25,0.75
terminal_vof,Environment,transport,99,-0.024999999999999998,-0.025,0.0,1.0
terminal_vof,Object,approach,36,0.2666666666666667,-0.025,0.25,0.75
terminal_vof,Object,grasp,36,0.2666666666666667,-0.025,0.2777777777777778,0.7222222222222222
terminal_vof,Object,release,12,0.10000000000000002,-0.025,0.16666666666666666,0.8333333333333334
terminal_vof,Object,transport,36,0.19722222222222222,-0.025,0.16666666666666666,0.8333333333333334
terminal_vof,Position,approach,60,-0.06666666666666665,-0.025,0.11666666666666667,0.8833333333333333
terminal_vof,Position,grasp,40,-0.275,-0.025,0.0,1.0
terminal_vof,Position,release,4,-0.025,-0.025,0.0,1.0
terminal_vof,Position,transport,32,0.06875000000000002,-0.025,0.0625,0.9375
