factor,target,model,states,available_groups,evaluated_groups,features,mae,correlation,sign_accuracy,positive_vof_auc
Environment,local_vof,grouped_oof_ridge,298,76,76,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",4.296060151915717e-17,-0.0017276959616142353,1.0,
Environment,local_vof,factor_phase_oof_mean,298,76,76,"factor,phase_at_snapshot",3.842005013908365e-19,0.9519574345793105,1.0,
Environment,terminal_vof,grouped_oof_ridge,298,76,76,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.25576670860148637,-0.071225435409309,0.6610738255033557,0.29305064782096585
Environment,terminal_vof,factor_phase_oof_mean,298,76,76,"factor,phase_at_snapshot",0.1957540006417684,-0.05105397160371846,0.714765100671141,0.2560659599528857
Object,local_vof,grouped_oof_ridge,120,25,25,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",3.677613769070831e-17,0.02279883229799594,1.0,
Object,local_vof,factor_phase_oof_mean,120,25,25,"factor,phase_at_snapshot",0.0,1.0,1.0,
Object,terminal_vof,grouped_oof_ridge,120,25,25,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",1.1705516466510488,-0.07879468364253739,0.3,0.43727598566308246
Object,terminal_vof,factor_phase_oof_mean,120,25,25,"factor,phase_at_snapshot",0.9942537190799149,-0.3631876585192834,0.25833333333333336,0.4382716049382716
Position,local_vof,grouped_oof_ridge,136,6,6,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",2.2934064777987494e-17,0.04398298024524958,1.0,
Position,local_vof,factor_phase_oof_mean,136,6,6,"factor,phase_at_snapshot",9.438936560462038e-19,0.9439047515734132,1.0,
Position,terminal_vof,grouped_oof_ridge,136,6,6,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.784598723046216,-0.05040330246045394,0.6029411764705882,0.5056867891513561
Position,terminal_vof,factor_phase_oof_mean,136,6,6,"factor,phase_at_snapshot",0.5090632701879422,-0.0915970329139176,0.75,0.657917760279965
