factor,target,method,budget,states,selected,mean_vof_selected,uplift_per_decision,positive_rate_selected,positive_vof_auc
Environment,local_vof,grouped_oof_ridge,0.1,298,30,-0.02500000000000001,-0.0025167785234899336,0.0,
Environment,local_vof,grouped_oof_ridge,0.2,298,60,-0.02499999999999999,-0.005033557046979865,0.0,
Environment,local_vof,grouped_oof_ridge,0.3,298,90,-0.024999999999999994,-0.007550335570469797,0.0,
Environment,local_vof,random,0.1,298,30,-0.02500000000000001,-0.0025167785234899336,0.0,
Environment,local_vof,random,0.2,298,60,-0.02499999999999999,-0.005033557046979865,0.0,
Environment,local_vof,random,0.3,298,90,-0.024999999999999994,-0.007550335570469797,0.0,
Environment,local_vof,oracle,0.1,298,30,-0.02500000000000001,-0.0025167785234899336,0.0,
Environment,local_vof,oracle,0.2,298,60,-0.02499999999999999,-0.005033557046979865,0.0,
Environment,local_vof,oracle,0.3,298,90,-0.024999999999999994,-0.007550335570469797,0.0,
Environment,local_vof,factor_phase_oof_mean,0.1,298,30,-0.02500000000000001,-0.0025167785234899336,0.0,
Environment,local_vof,factor_phase_oof_mean,0.2,298,60,-0.02499999999999999,-0.005033557046979865,0.0,
Environment,local_vof,factor_phase_oof_mean,0.3,298,90,-0.024999999999999994,-0.007550335570469797,0.0,
Environment,local_vof,value_range,0.1,298,30,-0.02500000000000001,-0.0025167785234899336,0.0,
Environment,local_vof,value_range,0.2,298,60,-0.02499999999999999,-0.005033557046979865,0.0,
Environment,local_vof,value_range,0.3,298,90,-0.024999999999999994,-0.007550335570469797,0.0,
Environment,local_vof,action_first_step_l2_std,0.1,298,30,-0.02500000000000001,-0.0025167785234899336,0.0,
Environment,local_vof,action_first_step_l2_std,0.2,298,60,-0.02499999999999999,-0.005033557046979865,0.0,
Environment,local_vof,action_first_step_l2_std,0.3,298,90,-0.024999999999999994,-0.007550335570469797,0.0,
Environment,local_vof,planning_predicted_proprio_error,0.1,298,30,-0.02500000000000001,-0.0025167785234899336,0.0,
Environment,local_vof,planning_predicted_proprio_error,0.2,298,60,-0.02499999999999999,-0.005033557046979865,0.0,
Environment,local_vof,planning_predicted_proprio_error,0.3,298,90,-0.024999999999999994,-0.007550335570469797,0.0,
Environment,terminal_vof,grouped_oof_ridge,0.1,298,30,-0.14166666666666666,-0.014261744966442953,0.0,0.29305064782096585
Environment,terminal_vof,grouped_oof_ridge,0.2,298,60,-0.04999999999999997,-0.010067114093959726,0.016666666666666666,0.29305064782096585
Environment,terminal_vof,grouped_oof_ridge,0.3,298,90,-0.11388888888888885,-0.0343959731543624,0.011111111111111112,0.29305064782096585
Environment,terminal_vof,random,0.1,298,30,-0.10833333333333336,-0.01090604026845638,0.1,0.6171967020023557
Environment,terminal_vof,random,0.2,298,60,-0.09166666666666669,-0.01845637583892618,0.05,0.6171967020023557
Environment,terminal_vof,random,0.3,298,90,-0.00833333333333332,-0.002516778523489929,0.07777777777777778,0.6171967020023557
Environment,terminal_vof,oracle,0.1,298,30,0.625,0.06291946308724833,0.5,1.0
Environment,terminal_vof,oracle,0.2,298,60,0.3,0.06040268456375839,0.25,1.0
Environment,terminal_vof,oracle,0.3,298,90,0.19166666666666668,0.057885906040268456,0.16666666666666666,1.0
Environment,terminal_vof,factor_phase_oof_mean,0.1,298,30,-0.14166666666666666,-0.014261744966442953,0.0,0.2560659599528857
Environment,terminal_vof,factor_phase_oof_mean,0.2,298,60,-0.016666666666666653,-0.0033557046979865745,0.016666666666666666,0.2560659599528857
Environment,terminal_vof,factor_phase_oof_mean,0.3,298,90,0.04722222222222226,0.014261744966442965,0.03333333333333333,0.2560659599528857
Environment,terminal_vof,value_range,0.1,298,30,0.008333333333333325,0.0008389261744966434,0.06666666666666667,0.647585394581861
Environment,terminal_vof,value_range,0.2,298,60,2.3707887505016363e-17,4.773400168795241e-18,0.06666666666666667,0.647585394581861
Environment,terminal_vof,value_range,0.3,298,90,0.02500000000000002,0.007550335570469804,0.07777777777777778,0.647585394581861
Environment,terminal_vof,action_first_step_l2_std,0.1,298,30,-0.09166666666666665,-0.009228187919463086,0.0,0.6266195524146054
Environment,terminal_vof,action_first_step_l2_std,0.2,298,60,-0.041666666666666664,-0.008389261744966443,0.05,0.6266195524146054
Environment,terminal_vof,action_first_step_l2_std,0.3,298,90,0.05833333333333329,0.01761744966442952,0.1111111111111111,0.6266195524146054
Environment,terminal_vof,planning_predicted_proprio_error,0.1,298,30,0.05833333333333336,0.005872483221476513,0.06666666666666667,0.35217903415783275
Environment,terminal_vof,planning_predicted_proprio_error,0.2,298,60,-0.03333333333333331,-0.00671140939597315,0.03333333333333333,0.35217903415783275
Environment,terminal_vof,planning_predicted_proprio_error,0.3,298,90,-0.03055555555555554,-0.009228187919463083,0.022222222222222223,0.35217903415783275
Object,local_vof,grouped_oof_ridge,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,grouped_oof_ridge,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,grouped_oof_ridge,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,local_vof,random,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,random,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,random,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,local_vof,oracle,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,oracle,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,oracle,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,local_vof,factor_phase_oof_mean,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,factor_phase_oof_mean,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,factor_phase_oof_mean,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,local_vof,value_range,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,value_range,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,value_range,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,local_vof,action_first_step_l2_std,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,action_first_step_l2_std,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,action_first_step_l2_std,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,local_vof,planning_predicted_proprio_error,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,planning_predicted_proprio_error,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,planning_predicted_proprio_error,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,terminal_vof,grouped_oof_ridge,0.1,120,12,-0.8166666666666668,-0.08166666666666668,0.08333333333333333,0.43727598566308246
Object,terminal_vof,grouped_oof_ridge,0.2,120,24,-0.6291666666666665,-0.1258333333333333,0.16666666666666666,0.43727598566308246
Object,terminal_vof,grouped_oof_ridge,0.3,120,36,-0.19166666666666662,-0.05749999999999999,0.19444444444444445,0.43727598566308246
Object,terminal_vof,random,0.1,120,12,-0.4416666666666667,-0.044166666666666674,0.08333333333333333,0.5033851055356432
Object,terminal_vof,random,0.2,120,24,-0.19166666666666665,-0.03833333333333333,0.125,0.5033851055356432
Object,terminal_vof,random,0.3,120,36,0.05833333333333335,0.017500000000000005,0.1388888888888889,0.5033851055356432
Object,terminal_vof,oracle,0.1,120,12,3.475,0.34750000000000003,1.0,1.0
Object,terminal_vof,oracle,0.2,120,24,2.6833333333333336,0.5366666666666667,1.0,1.0
Object,terminal_vof,oracle,0.3,120,36,1.8222222222222224,0.5466666666666667,0.75,1.0
Object,terminal_vof,factor_phase_oof_mean,0.1,120,12,-0.8166666666666668,-0.08166666666666668,0.16666666666666666,0.4382716049382716
Object,terminal_vof,factor_phase_oof_mean,0.2,120,24,-0.7958333333333333,-0.15916666666666665,0.20833333333333334,0.4382716049382716
Object,terminal_vof,factor_phase_oof_mean,0.3,120,36,-0.48333333333333317,-0.14499999999999996,0.25,0.4382716049382716
Object,terminal_vof,value_range,0.1,120,12,0.18333333333333343,0.018333333333333344,0.16666666666666666,0.4607726005575468
Object,terminal_vof,value_range,0.2,120,24,-0.06666666666666667,-0.013333333333333334,0.08333333333333333,0.4607726005575468
Object,terminal_vof,value_range,0.3,120,36,0.23888888888888887,0.07166666666666667,0.16666666666666666,0.4607726005575468
Object,terminal_vof,action_first_step_l2_std,0.1,120,12,-0.024999999999999977,-0.0024999999999999974,0.16666666666666666,0.575467941059339
Object,terminal_vof,action_first_step_l2_std,0.2,120,24,0.225,0.045000000000000005,0.25,0.575467941059339
Object,terminal_vof,action_first_step_l2_std,0.3,120,36,0.47500000000000026,0.14250000000000007,0.3055555555555556,0.575467941059339
Object,terminal_vof,planning_predicted_proprio_error,0.1,120,12,0.01666666666666666,0.0016666666666666661,0.08333333333333333,0.5085623257666269
Object,terminal_vof,planning_predicted_proprio_error,0.2,120,24,0.07916666666666668,0.015833333333333335,0.20833333333333334,0.5085623257666269
