target,method,budget,states,selected,mean_vof_selected,uplift_per_decision,positive_rate_selected,positive_vof_auc
local_vof,grouped_oof_ridge,0.1,554,56,-0.024999999999999998,-0.002527075812274368,0.0,
local_vof,grouped_oof_ridge,0.2,554,111,-0.024999999999999994,-0.005009025270758122,0.0,
local_vof,grouped_oof_ridge,0.3,554,167,-0.024999999999999994,-0.007536101083032489,0.0,
local_vof,random,0.1,554,56,-0.024999999999999998,-0.002527075812274368,0.0,
local_vof,random,0.2,554,111,-0.024999999999999994,-0.005009025270758122,0.0,
local_vof,random,0.3,554,167,-0.024999999999999994,-0.007536101083032489,0.0,
local_vof,oracle,0.1,554,56,-0.024999999999999998,-0.002527075812274368,0.0,
local_vof,oracle,0.2,554,111,-0.024999999999999994,-0.005009025270758122,0.0,
local_vof,oracle,0.3,554,167,-0.024999999999999994,-0.007536101083032489,0.0,
local_vof,factor_phase_oof_mean,0.1,554,56,-0.024999999999999998,-0.002527075812274368,0.0,
local_vof,factor_phase_oof_mean,0.2,554,111,-0.024999999999999994,-0.005009025270758122,0.0,
local_vof,factor_phase_oof_mean,0.3,554,167,-0.024999999999999994,-0.007536101083032489,0.0,
local_vof,value_range,0.1,554,56,-0.024999999999999998,-0.002527075812274368,0.0,
local_vof,value_range,0.2,554,111,-0.024999999999999994,-0.005009025270758122,0.0,
local_vof,value_range,0.3,554,167,-0.024999999999999994,-0.007536101083032489,0.0,
local_vof,action_first_step_l2_std,0.1,554,56,-0.024999999999999998,-0.002527075812274368,0.0,
local_vof,action_first_step_l2_std,0.2,554,111,-0.024999999999999994,-0.005009025270758122,0.0,
local_vof,action_first_step_l2_std,0.3,554,167,-0.024999999999999994,-0.007536101083032489,0.0,
local_vof,planning_predicted_proprio_error,0.1,554,56,-0.024999999999999998,-0.002527075812274368,0.0,
local_vof,planning_predicted_proprio_error,0.2,554,111,-0.024999999999999994,-0.005009025270758122,0.0,
local_vof,planning_predicted_proprio_error,0.3,554,167,-0.024999999999999994,-0.007536101083032489,0.0,
terminal_vof,grouped_oof_ridge,0.1,554,56,-0.3464285714285714,-0.035018050541516244,0.05357142857142857,0.47012045374809963
terminal_vof,grouped_oof_ridge,0.2,554,111,-0.3943693693693692,-0.07901624548736459,0.05405405405405406,0.47012045374809963
terminal_vof,grouped_oof_ridge,0.3,554,167,-0.2794910179640718,-0.08425090252707579,0.059880239520958084,0.47012045374809963
terminal_vof,random,0.1,554,56,-0.2303571428571429,-0.023285198555956683,0.08928571428571429,0.5116750477526995
terminal_vof,random,0.2,554,111,-0.1331081081081081,-0.02666967509025271,0.07207207207207207,0.5116750477526995
terminal_vof,random,0.3,554,167,-0.022005988023952056,-0.006633574007220205,0.08383233532934131,0.5116750477526995
terminal_vof,oracle,0.1,554,56,1.8767857142857143,0.18971119133574005,0.9107142857142857,1.0
terminal_vof,oracle,0.2,554,111,0.9344594594594592,0.18722924187725626,0.4594594594594595,1.0
terminal_vof,oracle,0.3,554,167,0.6127245508982033,0.18470216606498188,0.30538922155688625,1.0
terminal_vof,factor_phase_oof_mean,0.1,554,56,-0.11428571428571428,-0.011552346570397111,0.17857142857142858,0.5399368494912876
terminal_vof,factor_phase_oof_mean,0.2,554,111,-0.12409909909909916,-0.024864620938628172,0.16216216216216217,0.5399368494912876
terminal_vof,factor_phase_oof_mean,0.3,554,167,-0.05793413173652697,-0.017463898916967518,0.12574850299401197,0.5399368494912876
terminal_vof,value_range,0.1,554,56,0.05535714285714287,0.005595667870036102,0.07142857142857142,0.49039098740888004
terminal_vof,value_range,0.2,554,111,0.006531531531531509,0.0013086642599277934,0.09009009009009009,0.49039098740888004
terminal_vof,value_range,0.3,554,167,-0.08188622754491018,-0.0246841155234657,0.07784431137724551,0.49039098740888004
terminal_vof,action_first_step_l2_std,0.1,554,56,-0.042857142857142864,-0.004332129963898918,0.08928571428571429,0.5786847542197794
terminal_vof,action_first_step_l2_std,0.2,554,111,0.029054054054054024,0.005821299638989163,0.12612612612612611,0.5786847542197794
terminal_vof,action_first_step_l2_std,0.3,554,167,0.04386227544910179,0.013222021660649817,0.12574850299401197,0.5786847542197794
terminal_vof,planning_predicted_proprio_error,0.1,554,56,-0.14999999999999997,-0.015162454873646206,0.05357142857142857,0.42112033680271316
terminal_vof,planning_predicted_proprio_error,0.2,554,111,-0.15563063063063057,-0.031182310469314065,0.04504504504504504,0.42112033680271316
terminal_vof,planning_predicted_proprio_error,0.3,554,167,-0.05793413173652695,-0.01746389891696751,0.0718562874251497,0.42112033680271316
