factor,target,model,states,available_groups,evaluated_groups,features,mae,correlation,sign_accuracy,positive_vof_auc
Environment,local_vof,grouped_oof_ridge,310,76,76,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",4.2696581037751737e-17,0.008906092581803504,1.0,
Environment,local_vof,factor_phase_oof_mean,310,76,76,"factor,phase_at_snapshot",8.169987983632704e-19,0.9047688705044329,1.0,
Environment,terminal_vof,grouped_oof_ridge,310,76,76,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.2473992989986314,-0.0626105213903362,0.7129032258064516,0.2754802259887006
Environment,terminal_vof,factor_phase_oof_mean,310,76,76,"factor,phase_at_snapshot",0.18927515449559987,-0.06556149202742359,0.7709677419354839,0.25333333333333335
Object,local_vof,grouped_oof_ridge,120,25,25,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",3.677613769070831e-17,0.02279883229799594,1.0,
Object,local_vof,factor_phase_oof_mean,120,25,25,"factor,phase_at_snapshot",0.0,1.0,1.0,
Object,terminal_vof,grouped_oof_ridge,120,25,25,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",1.1705516466510488,-0.07879468364253739,0.3,0.43727598566308246
Object,terminal_vof,factor_phase_oof_mean,120,25,25,"factor,phase_at_snapshot",0.9942537190799149,-0.3631876585192834,0.25833333333333336,0.4382716049382716
Position,local_vof,grouped_oof_ridge,141,6,6,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",3.112659854057675e-17,0.09382406190135023,1.0,
Position,local_vof,factor_phase_oof_mean,141,6,6,"factor,phase_at_snapshot",9.104222498034306e-19,0.9443004042175248,1.0,
Position,terminal_vof,grouped_oof_ridge,141,6,6,"value_mean,value_std,value_range,action_std_mean,action_std_max,action_first_step_l2_std,action_pairwise_l2_mean,future_proprio_std_mean,future_image_pixel_std_mean,future_wrist_pixel_std_mean,latent_action_across_seed_std_mean,latent_future_proprio_across_seed_std_mean,latent_value_across_seed_std_mean,latent_action_copy_std_mean_mean_over_samples,latent_future_proprio_copy_std_mean_mean_over_samples,latent_value_element_std_mean_mean_over_samples,candidate_action_consensus_first_mean,candidate_action_consensus_chunk_mean,planning_predicted_proprio_error",0.7627500675777944,-0.05162433634023254,0.5673758865248227,0.49747474747474746
Position,terminal_vof,factor_phase_oof_mean,141,6,6,"factor,phase_at_snapshot",0.49793815378386813,-0.08275405075100012,0.723404255319149,0.6325757575757576
