factor,target,method,budget,states,selected,mean_vof_selected,uplift_per_decision,positive_rate_selected,positive_vof_auc
Environment,local_vof,grouped_oof_ridge,0.1,310,31,-0.02500000000000001,-0.002500000000000001,0.0,
Environment,local_vof,grouped_oof_ridge,0.2,310,62,-0.02499999999999999,-0.004999999999999998,0.0,
Environment,local_vof,grouped_oof_ridge,0.3,310,93,-0.02499999999999999,-0.007499999999999998,0.0,
Environment,local_vof,random,0.1,310,31,-0.02500000000000001,-0.002500000000000001,0.0,
Environment,local_vof,random,0.2,310,62,-0.02499999999999999,-0.004999999999999998,0.0,
Environment,local_vof,random,0.3,310,93,-0.02499999999999999,-0.007499999999999998,0.0,
Environment,local_vof,oracle,0.1,310,31,-0.02500000000000001,-0.002500000000000001,0.0,
Environment,local_vof,oracle,0.2,310,62,-0.02499999999999999,-0.004999999999999998,0.0,
Environment,local_vof,oracle,0.3,310,93,-0.02499999999999999,-0.007499999999999998,0.0,
Environment,local_vof,factor_phase_oof_mean,0.1,310,31,-0.02500000000000001,-0.002500000000000001,0.0,
Environment,local_vof,factor_phase_oof_mean,0.2,310,62,-0.02499999999999999,-0.004999999999999998,0.0,
Environment,local_vof,factor_phase_oof_mean,0.3,310,93,-0.02499999999999999,-0.007499999999999998,0.0,
Environment,local_vof,value_range,0.1,310,31,-0.02500000000000001,-0.002500000000000001,0.0,
Environment,local_vof,value_range,0.2,310,62,-0.02499999999999999,-0.004999999999999998,0.0,
Environment,local_vof,value_range,0.3,310,93,-0.02499999999999999,-0.007499999999999998,0.0,
Environment,local_vof,action_first_step_l2_std,0.1,310,31,-0.02500000000000001,-0.002500000000000001,0.0,
Environment,local_vof,action_first_step_l2_std,0.2,310,62,-0.02499999999999999,-0.004999999999999998,0.0,
Environment,local_vof,action_first_step_l2_std,0.3,310,93,-0.02499999999999999,-0.007499999999999998,0.0,
Environment,local_vof,planning_predicted_proprio_error,0.1,310,31,-0.02500000000000001,-0.002500000000000001,0.0,
Environment,local_vof,planning_predicted_proprio_error,0.2,310,62,-0.02499999999999999,-0.004999999999999998,0.0,
Environment,local_vof,planning_predicted_proprio_error,0.3,310,93,-0.02499999999999999,-0.007499999999999998,0.0,
Environment,terminal_vof,grouped_oof_ridge,0.1,310,31,-0.1701612903225807,-0.017016129032258073,0.0,0.2754802259887006
Environment,terminal_vof,grouped_oof_ridge,0.2,310,62,-0.04919354838709675,-0.00983870967741935,0.016129032258064516,0.2754802259887006
Environment,terminal_vof,grouped_oof_ridge,0.3,310,93,-0.06801075268817204,-0.02040322580645161,0.021505376344086023,0.2754802259887006
Environment,terminal_vof,random,0.1,310,31,-0.10564516129032261,-0.010564516129032262,0.0967741935483871,0.615819209039548
Environment,terminal_vof,random,0.2,310,62,-0.08951612903225808,-0.01790322580645162,0.04838709677419355,0.615819209039548
Environment,terminal_vof,random,0.3,310,93,-0.04112903225806451,-0.012338709677419355,0.07526881720430108,0.615819209039548
Environment,terminal_vof,oracle,0.1,310,31,0.6040322580645161,0.060403225806451605,0.4838709677419355,1.0
Environment,terminal_vof,oracle,0.2,310,62,0.28951612903225804,0.05790322580645161,0.24193548387096775,1.0
Environment,terminal_vof,oracle,0.3,310,93,0.18467741935483872,0.055403225806451614,0.16129032258064516,1.0
Environment,terminal_vof,factor_phase_oof_mean,0.1,310,31,-0.13790322580645162,-0.013790322580645163,0.0,0.25333333333333335
Environment,terminal_vof,factor_phase_oof_mean,0.2,310,62,-0.06532258064516128,-0.013064516129032255,0.016129032258064516,0.25333333333333335
Environment,terminal_vof,factor_phase_oof_mean,0.3,310,93,0.012634408602150525,0.003790322580645158,0.03225806451612903,0.25333333333333335
Environment,terminal_vof,value_range,0.1,310,31,0.007258064516129025,0.0007258064516129024,0.06451612903225806,0.6540112994350282
Environment,terminal_vof,value_range,0.2,310,62,-0.0008064516129032065,-0.00016129032258064129,0.06451612903225806,0.6540112994350282
Environment,terminal_vof,value_range,0.3,310,93,-0.008870967741935458,-0.0026612903225806373,0.07526881720430108,0.6540112994350282
Environment,terminal_vof,action_first_step_l2_std,0.1,310,31,-0.08951612903225804,-0.008951612903225804,0.0,0.631638418079096
Environment,terminal_vof,action_first_step_l2_std,0.2,310,62,-0.03306451612903225,-0.006612903225806451,0.06451612903225806,0.631638418079096
Environment,terminal_vof,action_first_step_l2_std,0.3,310,93,0.05564516129032253,0.01669354838709676,0.10752688172043011,0.631638418079096
Environment,terminal_vof,planning_predicted_proprio_error,0.1,310,31,0.05564516129032261,0.005564516129032261,0.06451612903225806,0.3525423728813559
Environment,terminal_vof,planning_predicted_proprio_error,0.2,310,62,-0.03306451612903223,-0.006612903225806447,0.03225806451612903,0.3525423728813559
Environment,terminal_vof,planning_predicted_proprio_error,0.3,310,93,-0.03037634408602149,-0.009112903225806449,0.021505376344086023,0.3525423728813559
Object,local_vof,grouped_oof_ridge,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,grouped_oof_ridge,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,grouped_oof_ridge,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,local_vof,random,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,random,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,random,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,local_vof,oracle,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,oracle,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,oracle,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,local_vof,factor_phase_oof_mean,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,factor_phase_oof_mean,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,factor_phase_oof_mean,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,local_vof,value_range,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,value_range,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,value_range,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,local_vof,action_first_step_l2_std,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,action_first_step_l2_std,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,action_first_step_l2_std,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,local_vof,planning_predicted_proprio_error,0.1,120,12,-0.025000000000000005,-0.0025000000000000005,0.0,
Object,local_vof,planning_predicted_proprio_error,0.2,120,24,-0.025000000000000005,-0.005000000000000001,0.0,
Object,local_vof,planning_predicted_proprio_error,0.3,120,36,-0.025000000000000005,-0.0075000000000000015,0.0,
Object,terminal_vof,grouped_oof_ridge,0.1,120,12,-0.8166666666666668,-0.08166666666666668,0.08333333333333333,0.43727598566308246
Object,terminal_vof,grouped_oof_ridge,0.2,120,24,-0.6291666666666665,-0.1258333333333333,0.16666666666666666,0.43727598566308246
Object,terminal_vof,grouped_oof_ridge,0.3,120,36,-0.19166666666666662,-0.05749999999999999,0.19444444444444445,0.43727598566308246
Object,terminal_vof,random,0.1,120,12,-0.4416666666666667,-0.044166666666666674,0.08333333333333333,0.5033851055356432
Object,terminal_vof,random,0.2,120,24,-0.19166666666666665,-0.03833333333333333,0.125,0.5033851055356432
Object,terminal_vof,random,0.3,120,36,0.05833333333333335,0.017500000000000005,0.1388888888888889,0.5033851055356432
Object,terminal_vof,oracle,0.1,120,12,3.475,0.34750000000000003,1.0,1.0
Object,terminal_vof,oracle,0.2,120,24,2.6833333333333336,0.5366666666666667,1.0,1.0
Object,terminal_vof,oracle,0.3,120,36,1.8222222222222224,0.5466666666666667,0.75,1.0
Object,terminal_vof,factor_phase_oof_mean,0.1,120,12,-0.8166666666666668,-0.08166666666666668,0.16666666666666666,0.4382716049382716
Object,terminal_vof,factor_phase_oof_mean,0.2,120,24,-0.7958333333333333,-0.15916666666666665,0.20833333333333334,0.4382716049382716
Object,terminal_vof,factor_phase_oof_mean,0.3,120,36,-0.48333333333333317,-0.14499999999999996,0.25,0.4382716049382716
Object,terminal_vof,value_range,0.1,120,12,0.18333333333333343,0.018333333333333344,0.16666666666666666,0.4607726005575468
Object,terminal_vof,value_range,0.2,120,24,-0.06666666666666667,-0.013333333333333334,0.08333333333333333,0.4607726005575468
Object,terminal_vof,value_range,0.3,120,36,0.23888888888888887,0.07166666666666667,0.16666666666666666,0.4607726005575468
Object,terminal_vof,action_first_step_l2_std,0.1,120,12,-0.024999999999999977,-0.0024999999999999974,0.16666666666666666,0.575467941059339
Object,terminal_vof,action_first_step_l2_std,0.2,120,24,0.225,0.045000000000000005,0.25,0.575467941059339
Object,terminal_vof,action_first_step_l2_std,0.3,120,36,0.47500000000000026,0.14250000000000007,0.3055555555555556,0.575467941059339
Object,terminal_vof,planning_predicted_proprio_error,0.1,120,12,0.01666666666666666,0.0016666666666666661,0.08333333333333333,0.5085623257666269
Object,terminal_vof,planning_predicted_proprio_error,0.2,120,24,0.07916666666666668,0.015833333333333335,0.20833333333333334,0.5085623257666269
Object,terminal_vof,planning_predicted_proprio_error,0.3,120,36,0.11388888888888886,0.03416666666666666,0.25,0.5085623257666269
Position,local_vof,grouped_oof_ridge,0.1,141,15,-0.02500000000000001,-0.002659574468085107,0.0,
Position,local_vof,grouped_oof_ridge,0.2,141,29,-0.02500000000000001,-0.005141843971631207,0.0,
Position,local_vof,grouped_oof_ridge,0.3,141,43,-0.024999999999999994,-0.007624113475177303,0.0,
Position,local_vof,random,0.1,141,15,-0.02500000000000001,-0.002659574468085107,0.0,
Position,local_vof,random,0.2,141,29,-0.02500000000000001,-0.005141843971631207,0.0,
Position,local_vof,random,0.3,141,43,-0.024999999999999994,-0.007624113475177303,0.0,
Position,local_vof,oracle,0.1,141,15,-0.02500000000000001,-0.002659574468085107,0.0,
Position,local_vof,oracle,0.2,141,29,-0.02500000000000001,-0.005141843971631207,0.0,
Position,local_vof,oracle,0.3,141,43,-0.024999999999999994,-0.007624113475177303,0.0,
Position,local_vof,factor_phase_oof_mean,0.1,141,15,-0.02500000000000001,-0.002659574468085107,0.0,
Position,local_vof,factor_phase_oof_mean,0.2,141,29,-0.02500000000000001,-0.005141843971631207,0.0,
Position,local_vof,factor_phase_oof_mean,0.3,141,43,-0.024999999999999994,-0.007624113475177303,0.0,
Position,local_vof,value_range,0.1,141,15,-0.02500000000000001,-0.002659574468085107,0.0,
Position,local_vof,value_range,0.2,141,29,-0.02500000000000001,-0.005141843971631207,0.0,
Position,local_vof,value_range,0.3,141,43,-0.024999999999999994,-0.007624113475177303,0.0,
Position,local_vof,action_first_step_l2_std,0.1,141,15,-0.02500000000000001,-0.002659574468085107,0.0,
Position,local_vof,action_first_step_l2_std,0.2,141,29,-0.02500000000000001,-0.005141843971631207,0.0,
Position,local_vof,action_first_step_l2_std,0.3,141,43,-0.024999999999999994,-0.007624113475177303,0.0,
Position,local_vof,planning_predicted_proprio_error,0.1,141,15,-0.02500000000000001,-0.002659574468085107,0.0,
Position,local_vof,planning_predicted_proprio_error,0.2,141,29,-0.02500000000000001,-0.005141843971631207,0.0,
Position,local_vof,planning_predicted_proprio_error,0.3,141,43,-0.024999999999999994,-0.007624113475177303,0.0,
