feature,available_states,spearman_terminal_effect,rescue_vs_all_auc,rescue_vs_harm_auc,exploratory_direction,oriented_rescue_vs_harm_auc
latent_future_proprio_copy_std_mean_mean_over_samples,617,0.07702182969191983,0.6213675213675214,0.625,high,0.625
candidate_action_consensus_chunk_mean,617,-0.03908047829028628,0.5167735042735043,0.41629464285714285,low,0.5837053571428572
action_std_max,617,-0.03704973543502321,0.5076388888888889,0.421875,low,0.578125
action_std_mean,617,-0.036426210732235904,0.5267094017094017,0.4252232142857143,low,0.5747767857142857
action_pairwise_l2_mean,617,-0.03638296218791437,0.5227029914529915,0.4252232142857143,low,0.5747767857142857
latent_action_across_seed_std_mean,617,-0.0328847514839483,0.5327991452991453,0.4296875,low,0.5703125
future_proprio_std_mean,617,-0.028891469224926917,0.558707264957265,0.43526785714285715,low,0.5647321428571428
candidate_action_consensus_first_mean,617,0.03055827806527283,0.5609508547008547,0.5546875,high,0.5546875
value_mean,617,0.01759276216544164,0.4059294871794872,0.5535714285714286,high,0.5535714285714286
action_first_step_l2_std,617,0.03101835309710705,0.5673611111111111,0.5479910714285714,high,0.5479910714285714
future_image_pixel_std_mean,617,-0.03230606607653802,0.492948717948718,0.45200892857142855,low,0.5479910714285714
future_wrist_pixel_std_mean,617,-0.024173301594300284,0.6074786324786324,0.453125,low,0.546875
value_range,617,-0.023725206906352832,0.493482905982906,0.4642857142857143,low,0.5357142857142857
value_std,617,-0.022063617717907793,0.49455128205128207,0.4654017857142857,low,0.5345982142857143
latent_value_across_seed_std_mean,617,-0.01748762346286688,0.5363782051282051,0.46763392857142855,low,0.5323660714285714
planning_predicted_proprio_error,617,0.00783400154962578,0.4561431623931624,0.5290178571428571,high,0.5290178571428571
latent_value_element_std_mean_mean_over_samples,617,-0.0038063192990291095,0.5477564102564103,0.48214285714285715,low,0.5178571428571428
latent_action_copy_std_mean_mean_over_samples,617,-0.009011256752640152,0.555715811965812,0.48549107142857145,low,0.5145089285714286
latent_future_proprio_across_seed_std_mean,617,0.0021870341464663985,0.6266025641025641,0.4877232142857143,low,0.5122767857142857
