factor,task_id,states,independent_groups,open_success_rate,feedback_success_rate,success_delta,success_delta_ci_low,success_delta_ci_high,rescues,harms,net_rescues,discordance_rate,both_success,both_fail,mean_query_cost,always_requery_adjusted_delta,discordance_pvalue,strict_integrity_states
Environment,1,108,22,0.8703703703703703,0.8611111111111112,-0.009259259259259259,-0.028846153846153848,0.0,0,1,-1,0.009259259259259259,93,14,0.024999999999999998,-0.03425925925925925,1.0,102
Environment,3,4,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,4,0.025,-0.025,,4
Environment,5,90,17,0.9555555555555556,0.9555555555555556,0.0,-0.03125,0.03571428571428571,1,1,0,0.022222222222222223,85,3,0.024999999999999994,-0.02499999999999999,1.0,86
Environment,8,64,22,0.515625,0.484375,-0.03125,-0.10606060606060606,0.034482758620689655,1,3,-2,0.0625,30,30,0.024999999999999998,-0.05624999999999998,0.625,64
Environment,9,44,12,0.9545454545454546,0.9545454545454546,0.0,-0.06382978723404255,0.07142857142857142,2,2,0,0.09090909090909091,40,0,0.02499999999999999,-0.024999999999999988,1.0,42
Object,0,120,25,0.48333333333333334,0.5416666666666666,0.058333333333333334,-0.0423728813559322,0.14285714285714285,18,11,7,0.24166666666666667,47,44,0.025000000000000005,0.033333333333333375,0.26493089646101,120
Position,0,24,2,0.7083333333333334,0.75,0.041666666666666664,0.0,0.05555555555555555,1,0,1,0.041666666666666664,17,6,0.025000000000000005,0.01666666666666666,1.0,24
Position,1,36,2,0.9444444444444444,0.8333333333333334,-0.1111111111111111,-0.2222222222222222,0.0,2,6,-4,0.2222222222222222,28,0,0.025000000000000005,-0.13611111111111113,0.2890625,31
Position,2,26,2,0.6538461538461539,0.6153846153846154,-0.038461538461538464,-0.05263157894736842,0.0,0,1,-1,0.038461538461538464,16,9,0.025000000000000005,-0.06346153846153844,1.0,26
Position,3,12,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,12,0.025000000000000005,-0.025000000000000005,,12
Position,4,31,2,0.0967741935483871,0.0967741935483871,0.0,-0.05555555555555555,0.07692307692307693,2,2,0,0.12903225806451613,1,26,0.02500000000000001,-0.025,1.0,31
Position,5,24,2,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.0,0.16666666666666666,2,0,2,0.08333333333333333,20,2,0.025000000000000005,0.05833333333333332,0.5,24
Position,6,17,2,0.5294117647058824,0.5294117647058824,0.0,0.0,0.0,1,1,0,0.11764705882352941,8,7,0.025,-0.024999999999999998,1.0,17
Position,7,9,2,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0,0,0,0.0,7,2,0.025,-0.025,,9
Position,8,3,1,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0,2,0.6666666666666666,1,0,0.025000000000000005,0.6416666666666667,0.5,3
Position,9,5,1,0.4,0.4,0.0,0.0,0.0,0,0,0,0.0,2,3,0.025,-0.025,,5
