factor,phase_at_snapshot,states,independent_groups,open_success_rate,feedback_success_rate,success_delta,success_delta_ci_low,success_delta_ci_high,rescues,harms,net_rescues,discordance_rate,both_success,both_fail,mean_query_cost,always_requery_adjusted_delta,discordance_pvalue,strict_integrity_states
Environment,approach,102,51,0.5980392156862745,0.5588235294117647,-0.0392156862745098,-0.09803921568627451,0.00980392156862745,1,5,-4,0.058823529411764705,56,40,0.024999999999999994,-0.06421568627450981,0.21875,102
Environment,grasp,102,52,0.9019607843137255,0.9117647058823529,0.00980392156862745,-0.019801980198019802,0.04807692307692308,3,2,1,0.049019607843137254,90,7,0.024999999999999994,-0.015196078431372544,1.0,93
Environment,release,4,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,4,0.025,-0.025,,4
Environment,transport,102,53,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,102,0,0.024999999999999994,-0.024999999999999994,,99
Object,approach,36,18,0.6111111111111112,0.6944444444444444,0.08333333333333333,-0.1111111111111111,0.25,8,5,3,0.3611111111111111,17,6,0.025000000000000005,0.05833333333333336,0.5810546875,36
Object,grasp,36,18,0.4166666666666667,0.4722222222222222,0.05555555555555555,-0.1388888888888889,0.25,6,4,2,0.2777777777777778,11,15,0.025000000000000005,0.030555555555555582,0.75390625,36
Object,release,12,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,12,0.025000000000000005,-0.025000000000000005,,12
Object,transport,36,21,0.5833333333333334,0.6388888888888888,0.05555555555555555,-0.09090909090909091,0.21052631578947367,4,2,2,0.16666666666666666,19,11,0.025000000000000005,0.030555555555555558,0.6875,36
Position,approach,60,10,0.35,0.3333333333333333,-0.016666666666666666,-0.13333333333333333,0.06666666666666667,4,5,-1,0.15,16,35,0.02499999999999999,-0.04166666666666662,1.0,60
Position,grasp,41,9,0.7804878048780488,0.7317073170731707,-0.04878048780487805,-0.1568627450980392,0.06666666666666667,1,3,-2,0.0975609756097561,29,8,0.024999999999999998,-0.07378048780487803,0.625,41
Position,release,4,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,4,0.025,-0.025,,4
Position,transport,37,8,0.7837837837837838,0.8108108108108109,0.02702702702702703,-0.05555555555555555,0.14814814814814814,2,1,1,0.08108108108108109,28,6,0.025000000000000005,0.0020270270270270328,1.0,32
