feature,available_states,spearman_terminal_effect,rescue_vs_all_auc,rescue_vs_harm_auc,exploratory_direction,oriented_rescue_vs_harm_auc
latent_future_proprio_copy_std_mean_mean_over_samples,572,0.07072870442897952,0.6046231028132343,0.6168582375478927,high,0.6168582375478927
candidate_action_consensus_chunk_mean,572,-0.05286942338559088,0.49469740267987555,0.3933588761174968,low,0.6066411238825031
action_pairwise_l2_mean,572,-0.05049367628538022,0.5005397853559408,0.40102171136653897,low,0.598978288633461
action_std_mean,572,-0.05051973896629837,0.5044770432463326,0.40229885057471265,low,0.5977011494252873
action_std_max,572,-0.045137764255646765,0.49317330285133676,0.4074074074074074,low,0.5925925925925926
latent_action_across_seed_std_mean,572,-0.0463173649261289,0.5117165174318918,0.4086845466155811,low,0.5913154533844189
value_range,572,-0.049854611885014596,0.44745030799517366,0.4086845466155811,low,0.5913154533844189
value_std,572,-0.04809429238624615,0.44948244109989205,0.4112388250319285,low,0.5887611749680715
latent_value_across_seed_std_mean,572,-0.042472590772829395,0.4915856988632755,0.4163473818646232,low,0.5836526181353767
future_image_pixel_std_mean,572,-0.04620104699458485,0.46764463072331236,0.42528735632183906,low,0.5747126436781609
future_proprio_std_mean,572,-0.036603511398048606,0.5392773226646346,0.42656449553001274,low,0.5734355044699873
future_wrist_pixel_std_mean,572,-0.040257200692683216,0.5879850130183527,0.4278416347381865,low,0.5721583652618135
latent_value_element_std_mean_mean_over_samples,572,-0.021490950793763036,0.5123515590271163,0.4508301404853129,low,0.5491698595146871
value_mean,572,0.01464697786759717,0.4078237124531657,0.5363984674329502,high,0.5363984674329502
latent_action_copy_std_mean_mean_over_samples,572,-0.020396255993097814,0.5366736521242141,0.4674329501915709,low,0.5325670498084292
candidate_action_consensus_first_mean,572,0.01527453487901324,0.5385152727503651,0.5261813537675607,high,0.5261813537675607
action_first_step_l2_std,572,0.015828133590640066,0.5452467136597448,0.5210727969348659,high,0.5210727969348659
latent_future_proprio_across_seed_std_mean,572,0.0012151802730720942,0.6203086302152792,0.49169859514687103,low,0.5083014048531289
planning_predicted_proprio_error,572,-0.004289083770956859,0.43125674731694924,0.5070242656449553,high,0.5070242656449553
