factor,query_idx,states,independent_groups,open_success_rate,feedback_success_rate,success_delta,success_delta_ci_low,success_delta_ci_high,rescues,harms,net_rescues,discordance_rate,both_success,both_fail,mean_query_cost,always_requery_adjusted_delta,discordance_pvalue,strict_integrity_states
Environment,0,102,51,0.5980392156862745,0.5588235294117647,-0.0392156862745098,-0.09803921568627451,0.00980392156862745,1,5,-4,0.058823529411764705,56,40,0.024999999999999994,-0.06421568627450981,0.21875,102
Environment,3,89,45,0.9438202247191011,0.9438202247191011,0.0,-0.033707865168539325,0.033707865168539325,2,2,0,0.0449438202247191,82,3,0.024999999999999994,-0.024999999999999994,1.0,80
Environment,4,35,19,0.9142857142857143,0.9428571428571428,0.02857142857142857,0.0,0.08823529411764706,1,0,1,0.02857142857142857,32,2,0.025000000000000005,0.00357142857142857,1.0,33
Environment,5,33,19,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,33,0,0.025,-0.025,,33
Environment,6,24,16,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,0,0,0.0,22,2,0.025000000000000005,-0.025000000000000005,,24
Environment,7,11,8,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,11,0,0.025,-0.025,,11
Environment,8,2,2,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,2,0,0.025,-0.025,,1
Environment,9,6,5,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0,0,0,0.0,5,1,0.024999999999999998,-0.024999999999999998,,6
Environment,10,5,4,0.8,0.8,0.0,0.0,0.0,0,0,0,0.0,4,1,0.025,-0.025,,5
Environment,12,1,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0.025,-0.025,,1
Environment,14,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1,0.025,-0.025,,1
Environment,17,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1,0.025,-0.025,,1
Object,0,36,18,0.6111111111111112,0.6944444444444444,0.08333333333333333,-0.1111111111111111,0.25,8,5,3,0.3611111111111111,17,6,0.025000000000000005,0.05833333333333336,0.5810546875,36
Object,3,36,18,0.4166666666666667,0.4722222222222222,0.05555555555555555,-0.1388888888888889,0.25,6,4,2,0.2777777777777778,11,15,0.025000000000000005,0.030555555555555582,0.75390625,36
Object,4,18,10,0.7222222222222222,0.9444444444444444,0.2222222222222222,0.0,0.45,4,0,4,0.2222222222222222,13,1,0.025000000000000005,0.19722222222222222,0.125,18
Object,6,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1,0.025,-0.025,,1
Object,7,2,1,0.5,0.5,0.0,0.0,0.0,0,0,0,0.0,1,1,0.025,-0.025,,2
Object,8,3,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0,0,0,0.0,1,2,0.025000000000000005,-0.025000000000000005,,3
Object,9,2,2,0.5,0.5,0.0,0.0,0.0,0,0,0,0.0,1,1,0.025,-0.025,,2
Object,10,10,9,0.3,0.2,-0.1,-0.3333333333333333,0.0,0,1,-1,0.1,2,7,0.025,-0.12499999999999997,1.0,10
Object,11,3,3,0.3333333333333333,0.0,-0.3333333333333333,-1.0,0.0,0,1,-1,0.3333333333333333,0,2,0.025000000000000005,-0.3583333333333332,1.0,3
Object,12,3,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,3,0.025000000000000005,-0.025000000000000005,,3
Object,13,2,2,0.5,0.5,0.0,0.0,0.0,0,0,0,0.0,1,1,0.025,-0.025,,2
Object,14,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2,0.025,-0.025,,2
Object,15,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2,0.025,-0.025,,2
Position,0,60,10,0.35,0.3333333333333333,-0.016666666666666666,-0.13333333333333333,0.06666666666666667,4,5,-1,0.15,16,35,0.02499999999999999,-0.04166666666666662,1.0,60
Position,3,10,2,1.0,0.9,-0.1,-0.16666666666666666,0.0,0,1,-1,0.1,9,0,0.025,-0.12499999999999997,1.0,10
Position,4,2,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,2,0,0.025,-0.025,,2
Position,5,4,1,1.0,0.75,-0.25,-0.25,-0.25,0,1,-1,0.25,3,0,0.025,-0.2749999999999999,1.0,2
Position,7,19,5,0.9473684210526315,0.9473684210526315,0.0,0.0,0.0,0,0,0,0.0,18,1,0.025000000000000005,-0.025000000000000005,,19
Position,8,15,5,0.6666666666666666,0.5333333333333333,-0.13333333333333333,-0.2727272727272727,0.0,0,2,-2,0.13333333333333333,8,5,0.02500000000000001,-0.1583333333333333,0.5,15
Position,9,15,5,0.9333333333333333,0.9333333333333333,0.0,0.0,0.0,0,0,0,0.0,14,1,0.02500000000000001,-0.02500000000000001,,12
Position,10,2,2,0.5,1.0,0.5,0.0,1.0,1,0,1,0.5,1,0,0.025,0.475,1.0,2
Position,11,2,2,0.5,1.0,0.5,0.0,1.0,1,0,1,0.5,1,0,0.025,0.475,1.0,2
Position,12,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2,0.025,-0.025,,2
Position,13,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1,0.025,-0.025,,1
Position,14,5,2,0.2,0.4,0.2,0.0,0.3333333333333333,1,0,1,0.2,1,3,0.025,0.175,1.0,5
Position,15,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,2,0.025,-0.025,,2
Position,17,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,3,0.025000000000000005,-0.025000000000000005,,3
