method,budget,states,selected,selected_rescues,selected_harms,selected_rescue_rate,selected_harm_rate,raw_success_delta,adjusted_terminal_delta
oracle,0.05,572,29,29,0,1.0,0.0,0.050699300699300696,0.049431818181818195
oracle,0.075,572,43,29,0,0.6744186046511628,0.0,0.050699300699300696,0.04881993006993008
oracle,0.1,572,58,29,0,0.5,0.0,0.050699300699300696,0.04816433566433567
oracle,0.2,572,115,29,0,0.25217391304347825,0.0,0.050699300699300696,0.04567307692307693
deterministic_random,0.05,572,29,1,1,0.034482758620689655,0.034482758620689655,0.0,-0.0012674825174825175
deterministic_random,0.075,572,43,1,2,0.023255813953488372,0.046511627906976744,-0.0017482517482517483,-0.0036276223776223766
deterministic_random,0.1,572,58,2,2,0.034482758620689655,0.034482758620689655,0.0,-0.0025349650349650327
deterministic_random,0.2,572,115,5,3,0.043478260869565216,0.02608695652173913,0.0034965034965034965,-0.0015297202797202802
grouped_oof_ridge,0.05,572,29,2,2,0.06896551724137931,0.06896551724137931,0.0,-0.0012674825174825175
grouped_oof_ridge,0.075,572,43,2,4,0.046511627906976744,0.09302325581395349,-0.0034965034965034965,-0.005375874125874124
grouped_oof_ridge,0.1,572,58,2,5,0.034482758620689655,0.08620689655172414,-0.005244755244755245,-0.007779720279720279
grouped_oof_ridge,0.2,572,115,4,12,0.034782608695652174,0.10434782608695652,-0.013986013986013986,-0.01901223776223776
factor_phase_oof_mean,0.05,572,29,2,7,0.06896551724137931,0.2413793103448276,-0.008741258741258742,-0.010008741258741257
factor_phase_oof_mean,0.075,572,43,3,7,0.06976744186046512,0.16279069767441862,-0.006993006993006993,-0.008872377622377624
factor_phase_oof_mean,0.1,572,58,5,8,0.08620689655172414,0.13793103448275862,-0.005244755244755245,-0.007779720279720279
factor_phase_oof_mean,0.2,572,115,12,16,0.10434782608695652,0.1391304347826087,-0.006993006993006993,-0.012019230769230763
exploratory_latent_future_proprio_copy_std_mean_mean_over_samples,0.05,572,29,2,0,0.06896551724137931,0.0,0.0034965034965034965,0.0022290209790209793
exploratory_latent_future_proprio_copy_std_mean_mean_over_samples,0.075,572,43,2,0,0.046511627906976744,0.0,0.0034965034965034965,0.001617132867132867
exploratory_latent_future_proprio_copy_std_mean_mean_over_samples,0.1,572,58,2,2,0.034482758620689655,0.034482758620689655,0.0,-0.0025349650349650327
exploratory_latent_future_proprio_copy_std_mean_mean_over_samples,0.2,572,115,8,6,0.06956521739130435,0.05217391304347826,0.0034965034965034965,-0.0015297202797202787
exploratory_candidate_action_consensus_chunk_mean,0.05,572,29,2,0,0.06896551724137931,0.0,0.0034965034965034965,0.0022290209790209793
exploratory_candidate_action_consensus_chunk_mean,0.075,572,43,4,0,0.09302325581395349,0.0,0.006993006993006993,0.0051136363636363645
exploratory_candidate_action_consensus_chunk_mean,0.1,572,58,4,1,0.06896551724137931,0.017241379310344827,0.005244755244755245,0.00270979020979021
exploratory_candidate_action_consensus_chunk_mean,0.2,572,115,5,2,0.043478260869565216,0.017391304347826087,0.005244755244755245,0.0002185314685314705
exploratory_action_pairwise_l2_mean,0.05,572,29,2,0,0.06896551724137931,0.0,0.0034965034965034965,0.002229020979020979
exploratory_action_pairwise_l2_mean,0.075,572,43,4,0,0.09302325581395349,0.0,0.006993006993006993,0.0051136363636363645
exploratory_action_pairwise_l2_mean,0.1,572,58,4,0,0.06896551724137931,0.0,0.006993006993006993,0.004458041958041958
exploratory_action_pairwise_l2_mean,0.2,572,115,5,2,0.043478260869565216,0.017391304347826087,0.005244755244755245,0.0002185314685314705
exploratory_action_std_mean,0.05,572,29,2,0,0.06896551724137931,0.0,0.0034965034965034965,0.002229020979020979
exploratory_action_std_mean,0.075,572,43,4,0,0.09302325581395349,0.0,0.006993006993006993,0.0051136363636363645
exploratory_action_std_mean,0.1,572,58,4,0,0.06896551724137931,0.0,0.006993006993006993,0.004458041958041958
exploratory_action_std_mean,0.2,572,115,6,2,0.05217391304347826,0.017391304347826087,0.006993006993006993,0.0019667832167832187
exploratory_action_std_max,0.05,572,29,2,0,0.06896551724137931,0.0,0.0034965034965034965,0.0022290209790209793
exploratory_action_std_max,0.075,572,43,2,0,0.046511627906976744,0.0,0.0034965034965034965,0.0016171328671328667
exploratory_action_std_max,0.1,572,58,2,0,0.034482758620689655,0.0,0.0034965034965034965,0.0009615384615384613
exploratory_action_std_max,0.2,572,115,6,3,0.05217391304347826,0.02608695652173913,0.005244755244755245,0.00021853146853146964
exploratory_latent_action_across_seed_std_mean,0.05,572,29,1,0,0.034482758620689655,0.0,0.0017482517482517483,0.0004807692307692304
exploratory_latent_action_across_seed_std_mean,0.075,572,43,2,1,0.046511627906976744,0.023255813953488372,0.0017482517482517483,-0.00013111888111888055
exploratory_latent_action_across_seed_std_mean,0.1,572,58,4,2,0.06896551724137931,0.034482758620689655,0.0034965034965034965,0.0009615384615384616
exploratory_latent_action_across_seed_std_mean,0.2,572,115,5,2,0.043478260869565216,0.017391304347826087,0.005244755244755245,0.0002185314685314681
exploratory_value_range,0.05,572,29,3,0,0.10344827586206896,0.0,0.005244755244755245,0.003977272727272727
exploratory_value_range,0.075,572,43,3,1,0.06976744186046512,0.023255813953488372,0.0034965034965034965,0.0016171328671328673
exploratory_value_range,0.1,572,58,3,1,0.05172413793103448,0.017241379310344827,0.0034965034965034965,0.0009615384615384618
exploratory_value_range,0.2,572,115,6,1,0.05217391304347826,0.008695652173913044,0.008741258741258742,0.003715034965034964
exploratory_value_std,0.05,572,29,2,0,0.06896551724137931,0.0,0.0034965034965034965,0.0022290209790209793
exploratory_value_std,0.075,572,43,3,1,0.06976744186046512,0.023255813953488372,0.0034965034965034965,0.0016171328671328678
exploratory_value_std,0.1,572,58,3,1,0.05172413793103448,0.017241379310344827,0.0034965034965034965,0.0009615384615384618
exploratory_value_std,0.2,572,115,6,2,0.05217391304347826,0.017391304347826087,0.006993006993006993,0.001966783216783218
