factor,feature,advantage_coefficient_mean,advantage_coefficient_std,risk_coefficient_mean,risk_coefficient_std,advantage_abs_rank,risk_abs_rank
Object,candidate_value,-0.03001459075642655,0.019724487360685477,0.011134446599271017,0.006892280795129869,18.0,8.0
Object,candidate_first_action_l1,-0.0055590236370837145,0.03010179668549206,0.007069945373387813,0.007589151770462192,39.0,19.0
Object,candidate_action_chunk_l1,0.02411403542645907,0.027354312514062337,-0.008520150605885202,0.009794671533614276,23.0,15.0
Object,candidate_action_chunk_l2,0.009535132839928347,0.034948315639464295,-0.005057834992283598,0.007709165924824458,35.0,27.0
Object,latent_action_copy_std_mean,-0.0481846691858165,0.03103009272662055,0.008746933398630845,0.005999503927833109,5.0,14.0
Object,latent_action_copy_std_max,0.0595105111631922,0.054998823868281484,-0.014015304713051967,0.011017840275048268,4.0,5.0
Object,latent_action_first_step_copy_l2_std,-0.041790472353522526,0.04019383780194067,0.009318014464437365,0.00853118495319024,8.0,11.0
Object,latent_future_proprio_copy_std_mean,0.03225920240650078,0.026627129118687698,-0.011740852547902003,0.01135112357324955,14.0,6.0
Object,latent_future_proprio_copy_std_max,-0.035270112481079086,0.01994375063421971,0.014238145611557944,0.009615047035967664,10.0,4.0
Object,latent_value_element_std_mean,9.884578690467268e-05,0.013197694871977755,-0.0027312217807912483,0.003782038524299882,50.0,41.0
Object,latent_value_element_std_max,9.88457869047334e-05,0.013197694871977953,-0.00273122178079123,0.0037820385242999734,49.0,42.0
Object,candidate_action_first_d0,-0.07585991422629224,0.03193424490848623,0.025792917800141604,0.01155806726810464,2.0,2.0
Object,candidate_action_first_d1,-0.017133976027261417,0.03405182222659514,0.006390028656015665,0.008253522075764217,28.0,22.0
Object,candidate_action_first_d2,0.0020345470337334716,0.021372391839336757,-0.004004388183270472,0.006813756011573547,44.0,33.0
Object,candidate_action_first_d3,-0.008846299249761616,0.030301585161226774,0.0015194594616257597,0.010091996305225033,36.0,46.0
Object,candidate_action_first_d4,-0.030678950964244108,0.038122825914167824,0.003386015346165226,0.00879723069255566,16.0,36.0
Object,candidate_action_first_d5,-0.008810310555237446,0.030418520451217186,0.011139029131568608,0.010263464980110895,37.0,7.0
Object,candidate_action_first_d6,0.009799676641406053,0.015862092502134127,0.002636217976430837,0.007902546435501,33.0,43.0
Object,candidate_action_last_d0,0.015575481296903806,0.02472593221549896,-0.0005134733061745149,0.006840913695943447,30.0,49.0
Object,candidate_action_last_d1,-0.0009128509925335859,0.015979731940614746,-0.004826901748662026,0.009050932441350029,48.0,28.0
Object,candidate_action_last_d2,-0.01970657216406234,0.024243518647662877,0.003961672621968861,0.0055486459038976334,25.0,34.0
Object,candidate_action_last_d3,0.0015549901244089432,0.02466011987507291,-0.0005703222514359891,0.006362043484150321,46.0,47.0
Object,candidate_action_last_d4,0.017378502315362095,0.02834639978454241,-0.004680174337964216,0.009879071905522067,27.0,30.0
Object,candidate_action_last_d5,0.04060614064457195,0.026021491199182616,-0.0075834244075578955,0.006827555005254465,9.0,17.0
Object,candidate_action_last_d6,-0.018313822895359308,0.03221413075079033,0.005970636545291446,0.010650862468130066,26.0,23.0
Object,candidate_action_mean_d0,0.0016140133913488557,0.02104623522071523,-0.004714025540440794,0.006973469343859502,45.0,29.0
Object,candidate_action_mean_d1,-0.0011156868963139882,0.03270723576828827,-0.0030378580015169854,0.012844277072957731,47.0,38.0
