setting_id,strategy,density_weight,value_margin,minimum_density_gain,snapshots,macro_delta,macro_drop_delta,worst_factor_delta,rescues,harms,switch_rate,selection_objective
2,trajectory_value_density,0.25,0.25,0.1,194,-0.00021367521367521292,0.00021367521367521292,-0.02564102564102564,1,1,0.041237113402061855,-0.00042735042735042583
3,trajectory_value_density,0.25,0.5,0.1,194,-0.00021367521367521292,0.00021367521367521292,-0.02564102564102564,1,1,0.041237113402061855,-0.00042735042735042583
4,trajectory_value_density,0.25,1.0,0.1,194,-0.00021367521367521292,0.00021367521367521292,-0.02564102564102564,1,1,0.041237113402061855,-0.00042735042735042583
17,trajectory_value_density_aligned,0.25,0.25,0.1,194,-0.00021367521367521292,0.00021367521367521292,-0.02564102564102564,1,1,0.03608247422680412,-0.00042735042735042583
18,trajectory_value_density_aligned,0.25,0.5,0.1,194,-0.00021367521367521292,0.00021367521367521292,-0.02564102564102564,1,1,0.03608247422680412,-0.00042735042735042583
19,trajectory_value_density_aligned,0.25,1.0,0.1,194,-0.00021367521367521292,0.00021367521367521292,-0.02564102564102564,1,1,0.03608247422680412,-0.00042735042735042583
5,trajectory_value_density,0.5,0.25,0.1,194,-0.008760683760683759,0.00021367521367521292,-0.05128205128205128,1,2,0.04639175257731959,-0.008974358974358972
6,trajectory_value_density,0.5,0.5,0.1,194,-0.008760683760683759,0.00021367521367521292,-0.05128205128205128,1,2,0.05670103092783505,-0.008974358974358972
7,trajectory_value_density,0.5,1.0,0.1,194,-0.008760683760683759,0.00021367521367521292,-0.05128205128205128,1,2,0.05670103092783505,-0.008974358974358972
20,trajectory_value_density_aligned,0.5,0.25,0.1,194,-0.008760683760683759,0.00021367521367521292,-0.05128205128205128,1,2,0.04639175257731959,-0.008974358974358972
21,trajectory_value_density_aligned,0.5,0.5,0.1,194,-0.008760683760683759,0.00021367521367521292,-0.05128205128205128,1,2,0.061855670103092786,-0.008974358974358972
22,trajectory_value_density_aligned,0.5,1.0,0.1,194,-0.008760683760683759,0.00021367521367521292,-0.05128205128205128,1,2,0.061855670103092786,-0.008974358974358972
8,trajectory_value_density,1.0,0.25,0.1,194,-0.008760683760683759,0.00021367521367521292,-0.05128205128205128,1,2,0.061855670103092786,-0.008974358974358972
23,trajectory_value_density_aligned,1.0,0.25,0.1,194,-0.008760683760683759,0.00021367521367521292,-0.05128205128205128,1,2,0.05670103092783505,-0.008974358974358972
11,trajectory_value_density,2.0,0.25,0.1,194,-0.008760683760683759,0.00021367521367521292,-0.05128205128205128,1,2,0.07216494845360824,-0.008974358974358972
26,trajectory_value_density_aligned,2.0,0.25,0.1,194,-0.008760683760683759,0.00021367521367521292,-0.05128205128205128,1,2,0.05670103092783505,-0.008974358974358972
14,trajectory_value_density,4.0,0.25,0.1,194,-0.008760683760683759,0.00021367521367521292,-0.05128205128205128,1,2,0.07216494845360824,-0.008974358974358972
29,trajectory_value_density_aligned,4.0,0.25,0.1,194,-0.008760683760683759,0.00021367521367521292,-0.05128205128205128,1,2,0.05670103092783505,-0.008974358974358972
15,trajectory_value_density,4.0,0.5,0.1,194,-0.01730769230769231,-0.00811965811965812,-0.07692307692307693,1,3,0.12371134020618557,-0.01730769230769231
30,trajectory_value_density_aligned,4.0,0.5,0.1,194,-0.01730769230769231,-0.00811965811965812,-0.07692307692307693,1,3,0.1134020618556701,-0.01730769230769231
31,trajectory_value_density_aligned,4.0,1.0,0.1,194,-0.01730769230769231,-0.00811965811965812,-0.07692307692307693,1,3,0.17525773195876287,-0.01730769230769231
9,trajectory_value_density,1.0,0.5,0.1,194,-0.01730769230769231,0.00021367521367521292,-0.07692307692307693,1,3,0.09278350515463918,-0.01752136752136752
10,trajectory_value_density,1.0,1.0,0.1,194,-0.01730769230769231,0.00021367521367521292,-0.07692307692307693,1,3,0.1134020618556701,-0.01752136752136752
24,trajectory_value_density_aligned,1.0,0.5,0.1,194,-0.01730769230769231,0.00021367521367521292,-0.07692307692307693,1,3,0.08762886597938144,-0.01752136752136752
25,trajectory_value_density_aligned,1.0,1.0,0.1,194,-0.01730769230769231,0.00021367521367521292,-0.07692307692307693,1,3,0.10824742268041238,-0.01752136752136752
12,trajectory_value_density,2.0,0.5,0.1,194,-0.01730769230769231,0.00021367521367521292,-0.07692307692307693,1,3,0.1134020618556701,-0.01752136752136752
13,trajectory_value_density,2.0,1.0,0.1,194,-0.01730769230769231,0.00021367521367521292,-0.07692307692307693,1,3,0.14948453608247422,-0.01752136752136752
27,trajectory_value_density_aligned,2.0,0.5,0.1,194,-0.01730769230769231,0.00021367521367521292,-0.07692307692307693,1,3,0.10824742268041238,-0.01752136752136752
28,trajectory_value_density_aligned,2.0,1.0,0.1,194,-0.01730769230769231,0.00021367521367521292,-0.07692307692307693,1,3,0.13402061855670103,-0.01752136752136752
16,trajectory_value_density,4.0,1.0,0.1,194,-0.025854700854700857,-0.00811965811965812,-0.10256410256410256,1,4,0.20618556701030927,-0.025854700854700857
0,trajectory_medoid,1.0,0.5,0.1,194,-0.032227796358231135,-0.013554440728353772,-0.1282051282051282,5,12,0.8195876288659794,-0.032227796358231135
1,trajectory_density,1.0,0.5,0.1,194,-0.032227796358231135,-0.013554440728353772,-0.1282051282051282,5,12,0.8092783505154639,-0.032227796358231135
