case_id,method,size,sum,mean
tc2_position_x0.1,first,10,10,1
tc2_position_x0.1,max_value,10,10,1
tc2_position_x0.1,winner,10,10,1
tc2_position_x0.2,first,10,3,0.3
tc2_position_x0.2,max_value,10,3,0.3
tc2_position_x0.2,winner,10,2,0.2
tc2_position_x0.3,first,10,0,0
tc2_position_x0.3,max_value,10,0,0
tc2_position_x0.3,winner,10,0,0
tc2_position_x0.4,first,10,0,0
tc2_position_x0.4,max_value,10,0,0
tc2_position_x0.4,winner,10,0,0
tc2_position_x0.5,first,10,0,0
tc2_position_x0.5,max_value,10,0,0
tc2_position_x0.5,winner,10,0,0
tc2_position_y0.1,first,10,8,0.8
tc2_position_y0.1,max_value,10,10,1
tc2_position_y0.1,winner,10,10,1
tc2_position_y0.2,first,10,4,0.4
tc2_position_y0.2,max_value,10,6,0.6
tc2_position_y0.2,winner,10,3,0.3
tc2_position_y0.3,first,9,2,0.2222222222222222
tc2_position_y0.3,max_value,9,0,0
tc2_position_y0.3,winner,9,0,0
