factor,task_id,method,size,sum,mean
Environment,0,first,5,0,0
Environment,0,max_value,5,0,0
Environment,0,winner,5,0,0
Environment,1,first,5,5,1
Environment,1,max_value,5,5,1
Environment,1,winner,5,5,1
Environment,2,first,5,0,0
Environment,2,max_value,5,0,0
Environment,2,winner,5,0,0
Environment,3,first,5,4,0.8
Environment,3,max_value,5,4,0.8
Environment,3,winner,5,4,0.8
Environment,4,first,5,1,0.2
Environment,4,max_value,5,1,0.2
Environment,4,winner,5,1,0.2
Environment,5,first,5,5,1
Environment,5,max_value,5,5,1
Environment,5,winner,5,5,1
Environment,6,first,5,0,0
Environment,6,max_value,5,0,0
Environment,6,winner,5,0,0
Environment,7,first,5,0,0
Environment,7,max_value,5,0,0
Environment,7,winner,5,0,0
Environment,8,first,5,1,0.2
Environment,8,max_value,5,1,0.2
Environment,8,winner,5,1,0.2
Environment,9,first,5,3,0.6
Environment,9,max_value,5,4,0.8
Environment,9,winner,5,4,0.8
Object,0,first,5,3,0.6
Object,0,max_value,5,3,0.6
Object,0,winner,5,3,0.6
Object,1,first,5,5,1
Object,1,max_value,5,5,1
Object,1,winner,5,5,1
Object,2,first,5,5,1
Object,2,max_value,5,5,1
Object,2,winner,5,5,1
Object,3,first,5,4,0.8
Object,3,max_value,5,4,0.8
Object,3,winner,5,5,1
Object,4,first,5,5,1
Object,4,max_value,5,5,1
Object,4,winner,5,5,1
Object,5,first,5,5,1
Object,5,max_value,5,5,1
Object,5,winner,5,5,1
Object,6,first,5,5,1
Object,6,max_value,5,5,1
Object,6,winner,5,5,1
Object,7,first,5,5,1
Object,7,max_value,5,5,1
Object,7,winner,5,5,1
Object,8,first,5,5,1
Object,8,max_value,5,5,1
Object,8,winner,5,5,1
Object,9,first,5,5,1
Object,9,max_value,5,5,1
Object,9,winner,5,5,1
Position,0,first,8,2,0.25
Position,0,max_value,8,3,0.375
Position,0,winner,8,2,0.25
Position,1,first,8,3,0.375
Position,1,max_value,8,4,0.5
Position,1,winner,8,4,0.5
Position,2,first,8,3,0.375
Position,2,max_value,8,3,0.375
Position,2,winner,8,2,0.25
Position,3,first,8,2,0.25
Position,3,max_value,8,2,0.25
Position,3,winner,8,2,0.25
Position,4,first,8,1,0.125
Position,4,max_value,8,3,0.375
Position,4,winner,8,2,0.25
Position,5,first,8,4,0.5
Position,5,max_value,8,3,0.375
Position,5,winner,8,3,0.375
Position,6,first,8,4,0.5
Position,6,max_value,8,3,0.375
Position,6,winner,8,3,0.375
Position,7,first,8,4,0.5
Position,7,max_value,8,3,0.375
Position,7,winner,8,3,0.375
Position,8,first,8,2,0.25
Position,8,max_value,8,2,0.25
Position,8,winner,8,2,0.25
Position,9,first,7,2,0.2857142857142857
Position,9,max_value,7,3,0.42857142857142855
Position,9,winner,7,2,0.2857142857142857
