method,factor,queries,switched,aligned_prediction_queries,job_seconds,episodes
first,Object,28,0,26,172.0,2
first,Object,16,0,14,123.0,2
first,Object,16,0,14,112.0,2
first,Object,20,0,18,126.0,2
first,Object,18,0,16,121.0,2
first,Object,16,0,14,124.0,2
first,Object,18,0,18,124.0,2
first,Object,18,0,16,129.0,2
first,Object,20,0,18,119.0,2
first,Object,15,0,13,111.0,2
first,Environment,36,0,34,1566.0,2
first,Environment,18,0,17,1507.0,2
first,Environment,36,0,34,312.0,2
first,Environment,25,0,23,251.0,2
first,Environment,30,0,28,391.0,2
first,Environment,16,0,14,214.0,2
first,Environment,36,0,34,377.0,2
first,Environment,36,0,34,396.0,2
first,Environment,36,0,34,312.0,2
first,Environment,26,0,24,302.0,2
first,Position,18,0,17,182.0,1
first,Position,12,0,11,165.0,1
first,Position,14,0,13,150.0,1
first,Position,18,0,17,192.0,1
first,Position,18,0,17,147.0,1
first,Position,18,0,17,174.0,1
first,Position,18,0,17,134.0,1
first,Position,17,0,16,152.0,1
first,Position,18,0,17,122.0,1
first,Position,18,0,17,137.0,1
first,Position,18,0,17,121.0,1
first,Position,18,0,17,128.0,1
first,Position,18,0,17,118.0,1
first,Position,18,0,17,122.0,1
first,Position,16,0,15,126.0,1
first,Position,18,0,17,122.0,1
max_value,Object,33,0,31,254.0,2
max_value,Object,16,0,14,153.0,2
max_value,Object,16,0,14,119.0,2
max_value,Object,19,0,17,162.0,2
max_value,Object,18,0,16,143.0,2
max_value,Object,16,0,14,154.0,2
max_value,Object,19,0,17,183.0,2
max_value,Object,18,0,16,132.0,2
max_value,Object,20,0,18,180.0,2
max_value,Object,15,0,13,128.0,2
max_value,Environment,36,0,34,278.0,2
max_value,Environment,17,0,16,188.0,2
max_value,Environment,36,0,34,237.0,2
max_value,Environment,16,0,14,175.0,2
max_value,Environment,30,0,28,202.0,2
max_value,Environment,16,0,14,176.0,2
max_value,Environment,36,0,34,255.0,2
max_value,Environment,36,0,34,271.0,2
max_value,Environment,36,0,34,268.0,2
max_value,Environment,25,0,24,186.0,2
max_value,Position,18,0,17,155.0,1
max_value,Position,11,0,10,98.0,1
max_value,Position,18,0,17,175.0,1
max_value,Position,9,0,8,89.0,1
max_value,Position,14,0,13,156.0,1
max_value,Position,18,0,17,164.0,1
max_value,Position,12,0,11,138.0,1
max_value,Position,18,0,17,163.0,1
max_value,Position,18,0,17,168.0,1
max_value,Position,18,0,17,160.0,1
max_value,Position,18,0,17,207.0,1
max_value,Position,18,0,17,152.0,1
