factor,task_id,method,size,sum,mean
Environment,0,first,2,0,0.0
Environment,0,max_value,2,0,0.0
Environment,0,old_guarded,2,0,0.0
Environment,0,physical_density,2,0,0.0
Environment,0,physical_medoid,2,0,0.0
Environment,0,v2_0,2,0,0.0
Environment,0,v2_1,2,0,0.0
Environment,1,first,2,2,1.0
Environment,1,max_value,2,2,1.0
Environment,1,old_guarded,2,2,1.0
Environment,1,physical_density,2,2,1.0
Environment,1,physical_medoid,2,2,1.0
Environment,1,v2_0,2,2,1.0
Environment,1,v2_1,2,2,1.0
Environment,2,first,2,0,0.0
Environment,2,max_value,2,0,0.0
Environment,2,old_guarded,2,0,0.0
Environment,2,physical_density,2,0,0.0
Environment,2,physical_medoid,2,0,0.0
Environment,2,v2_0,2,0,0.0
Environment,2,v2_1,2,0,0.0
Environment,3,first,2,2,1.0
Environment,3,max_value,2,2,1.0
Environment,3,old_guarded,2,2,1.0
Environment,3,physical_density,2,2,1.0
Environment,3,physical_medoid,2,2,1.0
Environment,3,v2_0,2,2,1.0
Environment,3,v2_1,2,2,1.0
Environment,4,first,2,1,0.5
Environment,4,max_value,2,1,0.5
Environment,4,old_guarded,2,1,0.5
Environment,4,physical_density,2,1,0.5
Environment,4,physical_medoid,2,1,0.5
Environment,4,v2_0,2,1,0.5
Environment,4,v2_1,2,1,0.5
Environment,5,first,2,2,1.0
Environment,5,max_value,2,2,1.0
Environment,5,old_guarded,2,2,1.0
Environment,5,physical_density,2,2,1.0
Environment,5,physical_medoid,2,2,1.0
Environment,5,v2_0,2,2,1.0
Environment,5,v2_1,2,2,1.0
Environment,6,first,2,0,0.0
Environment,6,max_value,2,0,0.0
Environment,6,old_guarded,2,0,0.0
Environment,6,physical_density,2,0,0.0
Environment,6,physical_medoid,2,0,0.0
Environment,6,v2_0,2,0,0.0
Environment,6,v2_1,2,0,0.0
Environment,7,first,2,0,0.0
Environment,7,max_value,2,0,0.0
Environment,7,old_guarded,2,0,0.0
Environment,7,physical_density,2,0,0.0
Environment,7,physical_medoid,2,0,0.0
Environment,7,v2_0,2,0,0.0
Environment,7,v2_1,2,0,0.0
Environment,8,first,2,0,0.0
Environment,8,max_value,2,0,0.0
Environment,8,old_guarded,2,0,0.0
Environment,8,physical_density,2,0,0.0
Environment,8,physical_medoid,2,0,0.0
Environment,8,v2_0,2,0,0.0
Environment,8,v2_1,2,0,0.0
Environment,9,first,2,1,0.5
Environment,9,max_value,2,1,0.5
Environment,9,old_guarded,2,1,0.5
Environment,9,physical_density,2,2,1.0
Environment,9,physical_medoid,2,2,1.0
Environment,9,v2_0,2,1,0.5
Environment,9,v2_1,2,1,0.5
Object,0,first,2,1,0.5
Object,0,max_value,2,1,0.5
Object,0,old_guarded,2,2,1.0
Object,0,physical_density,2,1,0.5
Object,0,physical_medoid,2,1,0.5
Object,0,v2_0,2,0,0.0
Object,0,v2_1,2,0,0.0
Object,1,first,2,2,1.0
Object,1,max_value,2,2,1.0
Object,1,old_guarded,2,2,1.0
Object,1,physical_density,2,2,1.0
Object,1,physical_medoid,2,2,1.0
Object,1,v2_0,2,2,1.0
Object,1,v2_1,2,2,1.0
Object,2,first,2,2,1.0
Object,2,max_value,2,2,1.0
Object,2,old_guarded,2,2,1.0
Object,2,physical_density,2,2,1.0
Object,2,physical_medoid,2,2,1.0
Object,2,v2_0,2,2,1.0
Object,2,v2_1,2,2,1.0
Object,3,first,2,2,1.0
Object,3,max_value,2,2,1.0
Object,3,old_guarded,2,2,1.0
Object,3,physical_density,2,2,1.0
Object,3,physical_medoid,2,2,1.0
Object,3,v2_0,2,2,1.0
Object,3,v2_1,2,2,1.0
Object,4,first,2,2,1.0
Object,4,max_value,2,2,1.0
Object,4,old_guarded,2,2,1.0
Object,4,physical_density,2,2,1.0
Object,4,physical_medoid,2,2,1.0
Object,4,v2_0,2,2,1.0
Object,4,v2_1,2,2,1.0
Object,5,first,2,2,1.0
Object,5,max_value,2,2,1.0
Object,5,old_guarded,2,2,1.0
Object,5,physical_density,2,2,1.0
Object,5,physical_medoid,2,2,1.0
Object,5,v2_0,2,2,1.0
Object,5,v2_1,2,2,1.0
Object,6,first,2,2,1.0
Object,6,max_value,2,2,1.0
Object,6,old_guarded,2,2,1.0
Object,6,physical_density,2,2,1.0
Object,6,physical_medoid,2,2,1.0
Object,6,v2_0,2,2,1.0
Object,6,v2_1,2,2,1.0
Object,7,first,2,2,1.0
Object,7,max_value,2,2,1.0
Object,7,old_guarded,2,2,1.0
Object,7,physical_density,2,2,1.0
Object,7,physical_medoid,2,2,1.0
Object,7,v2_0,2,2,1.0
Object,7,v2_1,2,2,1.0
Object,8,first,2,2,1.0
Object,8,max_value,2,2,1.0
Object,8,old_guarded,2,2,1.0
Object,8,physical_density,2,2,1.0
Object,8,physical_medoid,2,2,1.0
Object,8,v2_0,2,2,1.0
Object,8,v2_1,2,2,1.0
Object,9,first,2,2,1.0
Object,9,max_value,2,2,1.0
Object,9,old_guarded,2,2,1.0
Object,9,physical_density,2,2,1.0
Object,9,physical_medoid,2,2,1.0
Object,9,v2_0,2,2,1.0
Object,9,v2_1,2,2,1.0
Position,0,first,4,0,0.0
Position,0,max_value,4,1,0.25
Position,0,old_guarded,4,1,0.25
Position,0,physical_density,4,1,0.25
Position,0,physical_medoid,4,1,0.25
Position,0,v2_0,4,1,0.25
Position,0,v2_1,4,1,0.25
Position,2,first,4,1,0.25
Position,2,max_value,4,1,0.25
Position,2,old_guarded,4,1,0.25
Position,2,physical_density,4,1,0.25
Position,2,physical_medoid,4,1,0.25
Position,2,v2_0,4,1,0.25
Position,2,v2_1,4,1,0.25
Position,5,first,4,2,0.5
Position,5,max_value,4,3,0.75
Position,5,old_guarded,4,2,0.5
Position,5,physical_density,4,3,0.75
Position,5,physical_medoid,4,3,0.75
Position,5,v2_0,4,2,0.5
Position,5,v2_1,4,3,0.75
Position,9,first,4,1,0.25
Position,9,max_value,4,1,0.25
Position,9,old_guarded,4,2,0.5
Position,9,physical_density,4,1,0.25
Position,9,physical_medoid,4,1,0.25
Position,9,v2_0,4,1,0.25
Position,9,v2_1,4,1,0.25
