reference,method,scope,episodes,macro_delta,ci95_low,ci95_high,rescues,harms,q0_action_pool_exact_rate,mcnemar_exact_p
first,max_value,All,1,0.0,0.0,0.0,0,0,0.0,1.0
first,max_value,Object,1,0.0,0.0,0.0,0,0,0.0,1.0
first,old_guarded,All,1,0.0,0.0,0.0,0,0,0.0,1.0
first,old_guarded,Object,1,0.0,0.0,0.0,0,0,0.0,1.0
first,physical_density,All,1,-1.0,-1.0,-1.0,0,1,0.0,1.0
first,physical_density,Object,1,-1.0,-1.0,-1.0,0,1,0.0,1.0
first,physical_medoid,All,1,-1.0,-1.0,-1.0,0,1,0.0,1.0
first,physical_medoid,Object,1,-1.0,-1.0,-1.0,0,1,0.0,1.0
first,v2_0,All,1,0.0,0.0,0.0,0,0,0.0,1.0
first,v2_0,Object,1,0.0,0.0,0.0,0,0,0.0,1.0
first,v2_1,All,1,0.0,0.0,0.0,0,0,0.0,1.0
first,v2_1,Object,1,0.0,0.0,0.0,0,0,0.0,1.0
max_value,old_guarded,All,1,0.0,0.0,0.0,0,0,1.0,1.0
max_value,old_guarded,Object,1,0.0,0.0,0.0,0,0,1.0,1.0
max_value,physical_density,All,1,-1.0,-1.0,-1.0,0,1,1.0,1.0
max_value,physical_density,Object,1,-1.0,-1.0,-1.0,0,1,1.0,1.0
max_value,physical_medoid,All,1,-1.0,-1.0,-1.0,0,1,0.0,1.0
max_value,physical_medoid,Object,1,-1.0,-1.0,-1.0,0,1,0.0,1.0
max_value,v2_0,All,1,0.0,0.0,0.0,0,0,0.0,1.0
max_value,v2_0,Object,1,0.0,0.0,0.0,0,0,0.0,1.0
max_value,v2_1,All,1,0.0,0.0,0.0,0,0,1.0,1.0
max_value,v2_1,Object,1,0.0,0.0,0.0,0,0,1.0,1.0
old_guarded,physical_density,All,1,-1.0,-1.0,-1.0,0,1,1.0,1.0
old_guarded,physical_density,Object,1,-1.0,-1.0,-1.0,0,1,1.0,1.0
old_guarded,physical_medoid,All,1,-1.0,-1.0,-1.0,0,1,0.0,1.0
old_guarded,physical_medoid,Object,1,-1.0,-1.0,-1.0,0,1,0.0,1.0
old_guarded,v2_0,All,1,0.0,0.0,0.0,0,0,0.0,1.0
old_guarded,v2_0,Object,1,0.0,0.0,0.0,0,0,0.0,1.0
old_guarded,v2_1,All,1,0.0,0.0,0.0,0,0,1.0,1.0
old_guarded,v2_1,Object,1,0.0,0.0,0.0,0,0,1.0,1.0
physical_density,physical_medoid,All,1,0.0,0.0,0.0,0,0,0.0,1.0
physical_density,physical_medoid,Object,1,0.0,0.0,0.0,0,0,0.0,1.0
physical_density,v2_0,All,1,1.0,1.0,1.0,1,0,0.0,1.0
physical_density,v2_0,Object,1,1.0,1.0,1.0,1,0,0.0,1.0
physical_density,v2_1,All,1,1.0,1.0,1.0,1,0,1.0,1.0
physical_density,v2_1,Object,1,1.0,1.0,1.0,1,0,1.0,1.0
physical_medoid,v2_0,All,1,1.0,1.0,1.0,1,0,1.0,1.0
physical_medoid,v2_0,Object,1,1.0,1.0,1.0,1,0,1.0,1.0
physical_medoid,v2_1,All,1,1.0,1.0,1.0,1,0,0.0,1.0
physical_medoid,v2_1,Object,1,1.0,1.0,1.0,1,0,0.0,1.0
v2_0,v2_1,All,1,0.0,0.0,0.0,0,0,0.0,1.0
v2_0,v2_1,Object,1,0.0,0.0,0.0,0,0,0.0,1.0
