factor,suite,task_id,init_state_id,rollout_seed,planning_strategy,success__replay,final_t__replay,selected_sample_idx__replay,candidate_values_json__replay,candidate_frozen_ranker_scores_json__replay,candidate_first_actions_json__replay,success__primary,final_t__primary,selected_sample_idx__primary,candidate_values_json__primary,candidate_frozen_ranker_scores_json__primary,candidate_first_actions_json__primary,outcome_reproduced,query0_selected_index_reproduced,query0_value_max_abs_diff,query0_score_max_abs_diff,query0_first_action_max_abs_diff
Environment,libero_object_env,8,7,5270485,frozen_factor_ridge,True,219,5.0,"[0.2586369812488556, 0.2552334666252136, 0.25564950704574585, 0.25888222455978394, 0.2555171251296997, 0.2567829489707947]","[-0.0010982567000022442, 0.0016851584492798672, -0.001522927949416026, 0.0026233578298957144, -0.006130263221742622, 0.004442931591985199]","[[0.10141387581825256, 0.0058885663747787476, 0.007521696388721466, -0.002151480410248041, 0.0007773488759994507, -0.004148900508880615, -1.000778079032898], [0.13219165802001953, 0.009222328662872314, 0.008821114897727966, -0.0036651678383350372, 0.0009393543004989624, -0.008299083448946476, -1.0005244016647339], [0.11414196342229843, 0.011647380888462067, 0.008602850139141083, -0.0029753532726317644, 0.0033248215913772583, -0.004231521859765053, -0.9984877109527588], [0.10950755327939987, 0.008670240640640259, 0.008019916713237762, -0.003175260964781046, 0.001425817608833313, -0.003667183220386505, -0.9994977712631226], [0.08286818861961365, 0.007179044187068939, 0.008149445056915283, -0.002268449869006872, 0.0018337815999984741, -0.003818303579464555, -0.9999725818634033], [0.1445084810256958, 0.006258264183998108, 0.006106831133365631, -0.004345358349382877, 0.0015487968921661377, -0.010581598617136478, -0.9999440312385559]]",True,215,5.0,"[0.2586232125759125, 0.2553821802139282, 0.2557167112827301, 0.25884783267974854, 0.25587064027786255, 0.2565920352935791]","[-0.00045041411496680734, 0.0014563969359485073, -0.0025238936223469437, 0.002706852129456815, -0.00525061508728265, 0.004061673759191053]","[[0.10180234909057617, 0.006161145865917206, 0.00741519033908844, -0.00228312355466187, 0.0008524060249328613, -0.004270761739462614, -1.0007957220077515], [0.13344258069992065, 0.009532347321510315, 0.008772946894168854, -0.0036228664685040712, 0.0008108317852020264, -0.008732064627110958, -1.0004695653915405], [0.11604040861129761, 0.011380836367607117, 0.008936114609241486, -0.0029649059288203716, 0.0033989399671554565, -0.004099525511264801, -0.9987805485725403], [0.10987713932991028, 0.009490437805652618, 0.008084289729595184, -0.0032145618461072445, 0.0013798624277114868, -0.0037139139603823423, -0.9996898174285889], [0.0834735855460167, 0.007940791547298431, 0.008275508880615234, -0.002200185554102063, 0.002097085118293762, -0.0040903822518885136, -0.9997692108154297], [0.14435112476348877, 0.006484463810920715, 0.006337277591228485, -0.004164644051343203, 0.0017318576574325562, -0.010553992353379726, -1.0009477138519287]]",True,True,0.0003535151481628418,0.0010009656729309177,0.001898445188999176
Environment,libero_object_env,8,7,5270485,max_value,False,280,3.0,"[0.2586232125759125, 0.2553821802139282, 0.2557167112827301, 0.25884783267974854, 0.25587064027786255, 0.2565920352935791]","[-0.00045041411496680734, 0.0014563969359485073, -0.0025238936223469437, 0.002706852129456815, -0.00525061508728265, 0.004061673759191053]","[[0.10180234909057617, 0.006161145865917206, 0.00741519033908844, -0.00228312355466187, 0.0008524060249328613, -0.004270761739462614, -1.0007957220077515], [0.13344258069992065, 0.009532347321510315, 0.008772946894168854, -0.0036228664685040712, 0.0008108317852020264, -0.008732064627110958, -1.0004695653915405], [0.11604040861129761, 0.011380836367607117, 0.008936114609241486, -0.0029649059288203716, 0.0033989399671554565, -0.004099525511264801, -0.9987805485725403], [0.10987713932991028, 0.009490437805652618, 0.008084289729595184, -0.0032145618461072445, 0.0013798624277114868, -0.0037139139603823423, -0.9996898174285889], [0.0834735855460167, 0.007940791547298431, 0.008275508880615234, -0.002200185554102063, 0.002097085118293762, -0.0040903822518885136, -0.9997692108154297], [0.14435112476348877, 0.006484463810920715, 0.006337277591228485, -0.004164644051343203, 0.0017318576574325562, -0.010553992353379726, -1.0009477138519287]]",False,280,3.0,"[0.2586232125759125, 0.2553821802139282, 0.2557167112827301, 0.25884783267974854, 0.25587064027786255, 0.2565920352935791]","[-0.00045041411496680734, 0.0014563969359485073, -0.0025238936223469437, 0.002706852129456815, -0.00525061508728265, 0.004061673759191053]","[[0.10180234909057617, 0.006161145865917206, 0.00741519033908844, -0.00228312355466187, 0.0008524060249328613, -0.004270761739462614, -1.0007957220077515], [0.13344258069992065, 0.009532347321510315, 0.008772946894168854, -0.0036228664685040712, 0.0008108317852020264, -0.008732064627110958, -1.0004695653915405], [0.11604040861129761, 0.011380836367607117, 0.008936114609241486, -0.0029649059288203716, 0.0033989399671554565, -0.004099525511264801, -0.9987805485725403], [0.10987713932991028, 0.009490437805652618, 0.008084289729595184, -0.0032145618461072445, 0.0013798624277114868, -0.0037139139603823423, -0.9996898174285889], [0.0834735855460167, 0.007940791547298431, 0.008275508880615234, -0.002200185554102063, 0.002097085118293762, -0.0040903822518885136, -0.9997692108154297], [0.14435112476348877, 0.006484463810920715, 0.006337277591228485, -0.004164644051343203, 0.0017318576574325562, -0.010553992353379726, -1.0009477138519287]]",True,True,0.0,0.0,0.0
Position,libero_object_temp,8,7,5420291,frozen_factor_ridge,False,280,5.0,"[0.20767569541931152, 0.2056819498538971, 0.20853400230407715, 0.20513510704040527, 0.20946377515792847, 0.2042955756187439]","[-0.0030357589803347686, 0.0006394804415593734, -0.0016779803635260473, 0.002338444886266616, -0.0038503673104346194, 0.005586181326469484]","[[0.07963970303535461, -0.01632504165172577, 0.0049064308404922485, -0.020198870450258255, 0.047620028257369995, -0.0009382022544741631, -1.00429105758667], [0.0747416540980339, -0.01115625724196434, 0.001997239887714386, -0.02282586321234703, 0.047924503684043884, -0.0009590669651515782, -1.0033819675445557], [0.08334886282682419, -0.014641173183918, 0.0023379921913146973, -0.022039461880922318, 0.04833747446537018, -0.0014960193075239658, -1.0034024715423584], [0.08329689502716064, -0.019246302545070648, 0.0010883063077926636, -0.02235659584403038, 0.04699753224849701, -0.0011910464381799102, -1.0026400089263916], [0.06476886570453644, -0.009663887321949005, 0.005440637469291687, -0.024791931733489037, 0.047341883182525635, -0.000995134119875729, -1.003517985343933], [0.08260544389486313, -0.019264575093984604, 0.005640015006065369, -0.018263669684529305, 0.04905800521373749, -0.001738772727549076, -1.0035474300384521]]",True,257,5.0,"[0.20785227417945862, 0.20652323961257935, 0.21053948998451233, 0.20601820945739746, 0.20927119255065918, 0.20371845364570618]","[-0.0013346923832888602, 0.0012987255428095366, -0.0004711979502814575, 0.0010200403351748304, -0.004665696602529849, 0.00415282105811584]","[[0.07761608809232712, -0.014903191477060318, 0.004782155156135559, -0.01962176337838173, 0.04809585213661194, -0.0009733660263009369, -1.0041860342025757], [0.07519584149122238, -0.010882169008255005, 0.0026719272136688232, -0.022638581693172455, 0.04834190011024475, -0.0008002351969480515, -1.003483533859253], [0.08324671536684036, -0.015621017664670944, 0.0023017823696136475, -0.02170531265437603, 0.048212483525276184, -0.0016321137081831694, -1.00296151638031], [0.08204430341720581, -0.020511746406555176, 0.000792481005191803, -0.021277761086821556, 0.04690544307231903, -0.0012776339426636696, -1.0029613971710205], [0.06592780351638794, -0.010003913193941116, 0.005176439881324768, -0.024492163211107254, 0.04820072650909424, -0.0008391665178351104, -1.0034501552581787], [0.08214633911848068, -0.01883765682578087, 0.005486011505126953, -0.01780126243829727, 0.049454569816589355, -0.0015887318877503276, -1.0038959980010986]]",False,True,0.0020054876804351807,0.0017010665970459084,0.0020236149430274963
Position,libero_object_temp,8,7,5420291,max_value,False,280,2.0,"[0.20785227417945862, 0.20652323961257935, 0.21053948998451233, 0.20601820945739746, 0.20927119255065918, 0.20371845364570618]","[-0.0013346923832888602, 0.0012987255428095366, -0.0004711979502814575, 0.0010200403351748304, -0.004665696602529849, 0.00415282105811584]","[[0.07761608809232712, -0.014903191477060318, 0.004782155156135559, -0.01962176337838173, 0.04809585213661194, -0.0009733660263009369, -1.0041860342025757], [0.07519584149122238, -0.010882169008255005, 0.0026719272136688232, -0.022638581693172455, 0.04834190011024475, -0.0008002351969480515, -1.003483533859253], [0.08324671536684036, -0.015621017664670944, 0.0023017823696136475, -0.02170531265437603, 0.048212483525276184, -0.0016321137081831694, -1.00296151638031], [0.08204430341720581, -0.020511746406555176, 0.000792481005191803, -0.021277761086821556, 0.04690544307231903, -0.0012776339426636696, -1.0029613971710205], [0.06592780351638794, -0.010003913193941116, 0.005176439881324768, -0.024492163211107254, 0.04820072650909424, -0.0008391665178351104, -1.0034501552581787], [0.08214633911848068, -0.01883765682578087, 0.005486011505126953, -0.01780126243829727, 0.049454569816589355, -0.0015887318877503276, -1.0038959980010986]]",False,280,2.0,"[0.20785227417945862, 0.20652323961257935, 0.21053948998451233, 0.20601820945739746, 0.20927119255065918, 0.20371845364570618]","[-0.0013346923832888602, 0.0012987255428095366, -0.0004711979502814575, 0.0010200403351748304, -0.004665696602529849, 0.00415282105811584]","[[0.07761608809232712, -0.014903191477060318, 0.004782155156135559, -0.01962176337838173, 0.04809585213661194, -0.0009733660263009369, -1.0041860342025757], [0.07519584149122238, -0.010882169008255005, 0.0026719272136688232, -0.022638581693172455, 0.04834190011024475, -0.0008002351969480515, -1.003483533859253], [0.08324671536684036, -0.015621017664670944, 0.0023017823696136475, -0.02170531265437603, 0.048212483525276184, -0.0016321137081831694, -1.00296151638031], [0.08204430341720581, -0.020511746406555176, 0.000792481005191803, -0.021277761086821556, 0.04690544307231903, -0.0012776339426636696, -1.0029613971710205], [0.06592780351638794, -0.010003913193941116, 0.005176439881324768, -0.024492163211107254, 0.04820072650909424, -0.0008391665178351104, -1.0034501552581787], [0.08214633911848068, -0.01883765682578087, 0.005486011505126953, -0.01780126243829727, 0.049454569816589355, -0.0015887318877503276, -1.0038959980010986]]",True,True,0.0,0.0,0.0
Position,libero_object_temp,9,5,5450097,frozen_factor_ridge,True,222,0.0,"[0.32273411750793457, 0.3236887454986572, 0.32295316457748413, 0.3216490149497986, 0.3248683214187622, 0.32252663373947144]","[0.0035244484205470827, -0.000707575398655296, 0.001024055257867564, 0.0017807097664224785, -0.001194315249727036, -0.004427322796454734]","[[0.0043742358684539795, -0.008050482720136642, -0.00482635572552681, -0.0007196696242317557, 0.004752606153488159, -2.0926076103933156e-05, -1.0007647275924683], [0.04440184682607651, -0.009573977440595627, -0.008406601846218109, -0.001160505460575223, 0.011424064636230469, -0.0008992489310912788, -0.999927818775177], [0.017622672021389008, -0.00933229923248291, -0.009537488222122192, -0.002120961667969823, 0.011989608407020569, -0.00037333479849621654, -0.9994946122169495], [0.01693546772003174, -0.006935130804777145, -0.009595882147550583, -0.0019198833033442497, 0.010002046823501587, -0.001210192684084177, -1.002497911453247], [0.03180708736181259, -0.010056216269731522, -0.0032125040888786316, -0.001454383716918528, 0.005520030856132507, -0.0008753437432460487, -1.002017617225647], [0.027132220566272736, -0.007897485047578812, -0.0023276545107364655, -0.0013967497507110238, 0.010623246431350708, -0.0003001430886797607, -1.0037546157836914]]",True,238,3.0,"[0.32284945249557495, 0.3236950635910034, 0.3230792284011841, 0.3216167092323303, 0.3249787986278534, 0.32271647453308105]","[0.0023528785102938806, -0.0036561598464843114, 0.0021071815198776245, 0.004315702678159361, -0.002902685459929117, -0.002216917401917396]","[[0.0045812129974365234, -0.007750131189823151, -0.004816018044948578, -0.0008118839468806982, 0.004884883761405945, -0.0001904215750982985, -1.0005016326904297], [0.04327889531850815, -0.0093131884932518, -0.00859072431921959, -0.0010677787940949202, 0.0116347074508667, -0.000876092875842005, -1.0002297163009644], [0.017879270017147064, -0.009587164968252182, -0.009720325469970703, -0.0022639306262135506, 0.012815460562705994, -0.0004842901253141463, -0.9991054534912109], [0.016629360616207123, -0.0069538503885269165, -0.00889655202627182, -0.0017967295134440064, 0.009530782699584961, -0.0012102146865800023, -1.002357840538025], [0.031276680529117584, -0.010806899517774582, -0.003354214131832123, -0.0015602107159793377, 0.005704835057258606, -0.0009041401208378375, -1.001908302307129], [0.02976503223180771, -0.008232314139604568, -0.002392977476119995, -0.001367255812510848, 0.010783955454826355, -0.0005608528153970838, -1.0031789541244507]]",True,False,0.00018984079360961914,0.0029485844478290154,0.002632811665534973
Position,libero_object_temp,9,5,5450097,max_value,False,280,4.0,"[0.32280346751213074, 0.3236730098724365, 0.32305479049682617, 0.32164591550827026, 0.3248240351676941, 0.32265257835388184]","[0.0005200401673079416, -7.492952369696432e-05, -0.002155750902234887, 0.00393821338831561, 5.411464416012982e-05, -0.0022816877738516504]","[[0.004366636276245117, -0.007837973535060883, -0.004261527210474014, -0.0007080696523189545, 0.0042260438203811646, -0.00011410122533561662, -1.0004438161849976], [0.04279229789972305, -0.009367447346448898, -0.008271262049674988, -0.001199037884362042, 0.011873602867126465, -0.0008826585253700614, -0.9999029040336609], [0.017092265188694, -0.009250827133655548, -0.0092313252389431, -0.0020272654946893454, 0.012232169508934021, -0.0005608528153970838, -0.9997283816337585], [0.017077401280403137, -0.006606951355934143, -0.009124930948019028, -0.002050556940957904, 0.009688898921012878, -0.0010476153111085296, -1.0020824670791626], [0.029824599623680115, -0.010322369635105133, -0.0032179243862628937, -0.0015491779195144773, 0.005840465426445007, -0.0008722592028789222, -1.00204336643219], [0.029401034116744995, -0.006912611424922943, -0.0015265122056007385, -0.001368628116324544, 0.010511308908462524, -0.0004631830670405179, -1.0041221380233765]]",False,280,4.0,"[0.32284945249557495, 0.3236950635910034, 0.3230792284011841, 0.3216167092323303, 0.3249787986278534, 0.32271647453308105]","[0.0023528785102938806, -0.0036561598464843114, 0.0021071815198776245, 0.004315702678159361, -0.002902685459929117, -0.002216917401917396]","[[0.0045812129974365234, -0.007750131189823151, -0.004816018044948578, -0.0008118839468806982, 0.004884883761405945, -0.0001904215750982985, -1.0005016326904297], [0.04327889531850815, -0.0093131884932518, -0.00859072431921959, -0.0010677787940949202, 0.0116347074508667, -0.000876092875842005, -1.0002297163009644], [0.017879270017147064, -0.009587164968252182, -0.009720325469970703, -0.0022639306262135506, 0.012815460562705994, -0.0004842901253141463, -0.9991054534912109], [0.016629360616207123, -0.0069538503885269165, -0.00889655202627182, -0.0017967295134440064, 0.009530782699584961, -0.0012102146865800023, -1.002357840538025], [0.031276680529117584, -0.010806899517774582, -0.003354214131832123, -0.0015602107159793377, 0.005704835057258606, -0.0009041401208378375, -1.001908302307129], [0.02976503223180771, -0.008232314139604568, -0.002392977476119995, -0.001367255812510848, 0.010783955454826355, -0.0005608528153970838, -1.0031789541244507]]",True,True,0.00015476346015930176,0.004262932422112512,0.0014520809054374695
Position,libero_object_temp,9,7,5470388,frozen_factor_ridge,True,227,4.0,"[0.3262570798397064, 0.32641011476516724, 0.3270837068557739, 0.32704630494117737, 0.32476627826690674, 0.32656237483024597]","[0.00010119657777977877, -0.002026882654299665, -0.00021389007206132783, -0.0021582574110679304, 0.0035932084267701475, 0.0007046251328789465]","[[0.030090585350990295, -0.008099768310785294, -0.006691496819257736, -0.0013616937212646008, 0.007320821285247803, -0.0006300126551650465, -1.0017852783203125], [0.018547698855400085, -0.0115157850086689, -0.009396225214004517, -0.0015908024506643414, 0.004550725221633911, -0.001098223845474422, -1.0008376836776733], [0.010650046169757843, -0.01108858734369278, -0.009978711605072021, -0.0014139484846964478, 0.005584895610809326, -0.00040570044075138867, -1.0029526948928833], [0.028413981199264526, -0.0090777687728405, -0.0009135715663433075, -0.0025805148761719465, 0.010123863816261292, -0.0011629550717771053, -1.0001311302185059], [0.024576522409915924, -0.008111279457807541, -0.010730903595685959, -0.0013849668903276324, 0.012948095798492432, -0.0006087953806854784, -1.0025873184204102], [-0.0017988122999668121, -0.010331589728593826, -0.014190450310707092, -0.00110815919470042, 0.0038914382457733154, -0.0005058819078840315, -1.000919222831726]]",True,227,4.0,"[0.3262570798397064, 0.32641011476516724, 0.3270837068557739, 0.32704630494117737, 0.32476627826690674, 0.32656237483024597]","[0.00010119657777977877, -0.002026882654299665, -0.00021389007206132783, -0.0021582574110679304, 0.0035932084267701475, 0.0007046251328789465]","[[0.030090585350990295, -0.008099768310785294, -0.006691496819257736, -0.0013616937212646008, 0.007320821285247803, -0.0006300126551650465, -1.0017852783203125], [0.018547698855400085, -0.0115157850086689, -0.009396225214004517, -0.0015908024506643414, 0.004550725221633911, -0.001098223845474422, -1.0008376836776733], [0.010650046169757843, -0.01108858734369278, -0.009978711605072021, -0.0014139484846964478, 0.005584895610809326, -0.00040570044075138867, -1.0029526948928833], [0.028413981199264526, -0.0090777687728405, -0.0009135715663433075, -0.0025805148761719465, 0.010123863816261292, -0.0011629550717771053, -1.0001311302185059], [0.024576522409915924, -0.008111279457807541, -0.010730903595685959, -0.0013849668903276324, 0.012948095798492432, -0.0006087953806854784, -1.0025873184204102], [-0.0017988122999668121, -0.010331589728593826, -0.014190450310707092, -0.00110815919470042, 0.0038914382457733154, -0.0005058819078840315, -1.000919222831726]]",True,True,0.0,0.0,0.0
Position,libero_object_temp,9,7,5470388,max_value,False,280,2.0,"[0.3262570798397064, 0.32641011476516724, 0.3270837068557739, 0.32704630494117737, 0.32476627826690674, 0.32656237483024597]","[0.00010119657777977877, -0.002026882654299665, -0.00021389007206132783, -0.0021582574110679304, 0.0035932084267701475, 0.0007046251328789465]","[[0.030090585350990295, -0.008099768310785294, -0.006691496819257736, -0.0013616937212646008, 0.007320821285247803, -0.0006300126551650465, -1.0017852783203125], [0.018547698855400085, -0.0115157850086689, -0.009396225214004517, -0.0015908024506643414, 0.004550725221633911, -0.001098223845474422, -1.0008376836776733], [0.010650046169757843, -0.01108858734369278, -0.009978711605072021, -0.0014139484846964478, 0.005584895610809326, -0.00040570044075138867, -1.0029526948928833], [0.028413981199264526, -0.0090777687728405, -0.0009135715663433075, -0.0025805148761719465, 0.010123863816261292, -0.0011629550717771053, -1.0001311302185059], [0.024576522409915924, -0.008111279457807541, -0.010730903595685959, -0.0013849668903276324, 0.012948095798492432, -0.0006087953806854784, -1.0025873184204102], [-0.0017988122999668121, -0.010331589728593826, -0.014190450310707092, -0.00110815919470042, 0.0038914382457733154, -0.0005058819078840315, -1.000919222831726]]",False,280,2.0,"[0.3262570798397064, 0.32641011476516724, 0.3270837068557739, 0.32704630494117737, 0.32476627826690674, 0.32656237483024597]","[0.00010119657777977877, -0.002026882654299665, -0.00021389007206132783, -0.0021582574110679304, 0.0035932084267701475, 0.0007046251328789465]","[[0.030090585350990295, -0.008099768310785294, -0.006691496819257736, -0.0013616937212646008, 0.007320821285247803, -0.0006300126551650465, -1.0017852783203125], [0.018547698855400085, -0.0115157850086689, -0.009396225214004517, -0.0015908024506643414, 0.004550725221633911, -0.001098223845474422, -1.0008376836776733], [0.010650046169757843, -0.01108858734369278, -0.009978711605072021, -0.0014139484846964478, 0.005584895610809326, -0.00040570044075138867, -1.0029526948928833], [0.028413981199264526, -0.0090777687728405, -0.0009135715663433075, -0.0025805148761719465, 0.010123863816261292, -0.0011629550717771053, -1.0001311302185059], [0.024576522409915924, -0.008111279457807541, -0.010730903595685959, -0.0013849668903276324, 0.012948095798492432, -0.0006087953806854784, -1.0025873184204102], [-0.0017988122999668121, -0.010331589728593826, -0.014190450310707092, -0.00110815919470042, 0.0038914382457733154, -0.0005058819078840315, -1.000919222831726]]",True,True,0.0,0.0,0.0
Environment,libero_object_env,8,7,5270388,frozen_factor_ridge,False,280,4.0,"[0.26188716292381287, 0.2543295919895172, 0.25787416100502014, 0.2601196765899658, 0.2608698606491089, 0.25575947761535645]","[0.003131318712750067, -0.0036271079961628806, -0.003614664827963939, -0.0005048802019513249, 0.0032141126527292633, 0.0014012216605987693]","[[0.12706506252288818, 0.00043060630559921265, 0.006568506360054016, -0.00399499898776412, 0.0021501481533050537, -0.013951657339930534, -0.9998764991760254], [0.09246613830327988, 0.009928196668624878, 0.008433423936367035, -0.003306611441075802, 0.0017008334398269653, -0.0030905725434422493, -0.9995418787002563], [0.074298195540905, 0.00392518937587738, 0.0076193735003471375, -0.0022330826614052057, 0.0006467700004577637, -0.002976951189339161, -0.996730387210846], [0.1167646050453186, 0.014385692775249481, 0.008431300520896912, -0.0030768439173698425, 0.0015002042055130005, -0.002998080337420106, -0.999477207660675], [0.12350890785455704, 0.007003135979175568, 0.009354427456855774, -0.0033688927069306374, 0.0009808838367462158, -0.006522542331367731, -0.9983826279640198], [0.13329438865184784, 0.008264780044555664, 0.007234141230583191, -0.0024749806616455317, 0.0012757480144500732, -0.006270094774663448, -0.9985782504081726]]",False,280,4.0,"[0.26188716292381287, 0.2543295919895172, 0.25787416100502014, 0.2601196765899658, 0.2608698606491089, 0.25575947761535645]","[0.003131318712750067, -0.0036271079961628806, -0.003614664827963939, -0.0005048802019513249, 0.0032141126527292633, 0.0014012216605987693]","[[0.12706506252288818, 0.00043060630559921265, 0.006568506360054016, -0.00399499898776412, 0.0021501481533050537, -0.013951657339930534, -0.9998764991760254], [0.09246613830327988, 0.009928196668624878, 0.008433423936367035, -0.003306611441075802, 0.0017008334398269653, -0.0030905725434422493, -0.9995418787002563], [0.074298195540905, 0.00392518937587738, 0.0076193735003471375, -0.0022330826614052057, 0.0006467700004577637, -0.002976951189339161, -0.996730387210846], [0.1167646050453186, 0.014385692775249481, 0.008431300520896912, -0.0030768439173698425, 0.0015002042055130005, -0.002998080337420106, -0.999477207660675], [0.12350890785455704, 0.007003135979175568, 0.009354427456855774, -0.0033688927069306374, 0.0009808838367462158, -0.006522542331367731, -0.9983826279640198], [0.13329438865184784, 0.008264780044555664, 0.007234141230583191, -0.0024749806616455317, 0.0012757480144500732, -0.006270094774663448, -0.9985782504081726]]",True,True,0.0,0.0,0.0
Environment,libero_object_env,8,7,5270388,max_value,True,179,0.0,"[0.26191163063049316, 0.25443315505981445, 0.2578912377357483, 0.2597613036632538, 0.2608015537261963, 0.25582852959632874]","[0.0031449312753777745, -0.0039035675794934057, -0.0031215310398672817, -0.0009020692509675386, 0.003217060330271422, 0.0015651762646790217]","[[0.1284521073102951, 0.0011724606156349182, 0.007128976285457611, -0.003876949893310666, 0.002328917384147644, -0.01401861384510994, -0.9989288449287415], [0.09198077023029327, 0.00980280339717865, 0.008660182356834412, -0.0032529844902455807, 0.001796722412109375, -0.003115226747468114, -1.0000888109207153], [0.07413692772388458, 0.003986433148384094, 0.007549077272415161, -0.0023887858260422945, 0.0006966590881347656, -0.002917199395596981, -0.9965561628341675], [0.11453568935394287, 0.014178827404975891, 0.008657500147819519, -0.0029771646950393915, 0.0014834403991699219, -0.002884877612814307, -0.9994320869445801], [0.12491349130868912, 0.006777830421924591, 0.009156055748462677, -0.003220105543732643, 0.0012325197458267212, -0.006780541967600584, -0.9985085129737854], [0.1340193748474121, 0.008409731090068817, 0.00750761479139328, -0.002617510501295328, 0.0014664530754089355, -0.006372787989675999, -0.9991247057914734]]",True,178,0.0,"[0.26188716292381287, 0.2543295919895172, 0.25787416100502014, 0.2601196765899658, 0.2608698606491089, 0.25575947761535645]","[0.003131318712750067, -0.0036271079961628806, -0.003614664827963939, -0.0005048802019513249, 0.0032141126527292633, 0.0014012216605987693]","[[0.12706506252288818, 0.00043060630559921265, 0.006568506360054016, -0.00399499898776412, 0.0021501481533050537, -0.013951657339930534, -0.9998764991760254], [0.09246613830327988, 0.009928196668624878, 0.008433423936367035, -0.003306611441075802, 0.0017008334398269653, -0.0030905725434422493, -0.9995418787002563], [0.074298195540905, 0.00392518937587738, 0.0076193735003471375, -0.0022330826614052057, 0.0006467700004577637, -0.002976951189339161, -0.996730387210846], [0.1167646050453186, 0.014385692775249481, 0.008431300520896912, -0.0030768439173698425, 0.0015002042055130005, -0.002998080337420106, -0.999477207660675], [0.12350890785455704, 0.007003135979175568, 0.009354427456855774, -0.0033688927069306374, 0.0009808838367462158, -0.006522542331367731, -0.9983826279640198], [0.13329438865184784, 0.008264780044555664, 0.007234141230583191, -0.0024749806616455317, 0.0012757480144500732, -0.006270094774663448, -0.9985782504081726]]",True,True,0.00035837292671203613,0.0004931337880966571,0.0022289156913757324
