case_id,split,evaluation_cohort,suite,position_level,task_id,init_state_id,rollout_id,rollout_seed,independent_group
p3d_development__x0p2__task2__init40__rollout0,development,novel_cell,libero_object_temp,x0.2,2,40,0,53593566,x0.2|task2|init40
p3d_development__x0p2__task2__init41__rollout0,development,novel_cell,libero_object_temp,x0.2,2,41,0,51523442,x0.2|task2|init41
p3d_development__x0p2__task2__init42__rollout0,development,novel_cell,libero_object_temp,x0.2,2,42,0,50437082,x0.2|task2|init42
p3d_development__x0p2__task2__init43__rollout0,development,novel_cell,libero_object_temp,x0.2,2,43,0,53526410,x0.2|task2|init43
p3d_development__x0p2__task2__init44__rollout0,development,novel_cell,libero_object_temp,x0.2,2,44,0,59892424,x0.2|task2|init44
p3d_development__x0p2__task5__init40__rollout0,development,replication,libero_object_temp,x0.2,5,40,0,56114051,x0.2|task5|init40
p3d_development__x0p2__task5__init41__rollout0,development,replication,libero_object_temp,x0.2,5,41,0,55747964,x0.2|task5|init41
p3d_development__x0p2__task5__init42__rollout0,development,replication,libero_object_temp,x0.2,5,42,0,51680371,x0.2|task5|init42
p3d_development__x0p2__task5__init43__rollout0,development,replication,libero_object_temp,x0.2,5,43,0,51741223,x0.2|task5|init43
p3d_development__x0p2__task5__init44__rollout0,development,replication,libero_object_temp,x0.2,5,44,0,52115428,x0.2|task5|init44
p3d_development__x0p2__task6__init40__rollout0,development,replication,libero_object_temp,x0.2,6,40,0,53678498,x0.2|task6|init40
p3d_development__x0p2__task6__init41__rollout0,development,replication,libero_object_temp,x0.2,6,41,0,53964118,x0.2|task6|init41
p3d_development__x0p2__task6__init42__rollout0,development,replication,libero_object_temp,x0.2,6,42,0,54660870,x0.2|task6|init42
p3d_development__x0p2__task6__init43__rollout0,development,replication,libero_object_temp,x0.2,6,43,0,52441098,x0.2|task6|init43
p3d_development__x0p2__task6__init44__rollout0,development,replication,libero_object_temp,x0.2,6,44,0,57448615,x0.2|task6|init44
p3d_development__x0p2__task9__init40__rollout0,development,replication,libero_object_temp,x0.2,9,40,0,55694402,x0.2|task9|init40
p3d_development__x0p2__task9__init41__rollout0,development,replication,libero_object_temp,x0.2,9,41,0,57676680,x0.2|task9|init41
p3d_development__x0p2__task9__init42__rollout0,development,replication,libero_object_temp,x0.2,9,42,0,56437654,x0.2|task9|init42
p3d_development__x0p2__task9__init43__rollout0,development,replication,libero_object_temp,x0.2,9,43,0,59888780,x0.2|task9|init43
p3d_development__x0p2__task9__init44__rollout0,development,replication,libero_object_temp,x0.2,9,44,0,52039151,x0.2|task9|init44
p3d_development__y0p1__task4__init40__rollout0,development,novel_cell,libero_object_temp,y0.1,4,40,0,59896231,y0.1|task4|init40
p3d_development__y0p1__task4__init41__rollout0,development,novel_cell,libero_object_temp,y0.1,4,41,0,57514845,y0.1|task4|init41
p3d_development__y0p1__task4__init42__rollout0,development,novel_cell,libero_object_temp,y0.1,4,42,0,53674667,y0.1|task4|init42
p3d_development__y0p1__task4__init43__rollout0,development,novel_cell,libero_object_temp,y0.1,4,43,0,57640840,y0.1|task4|init43
p3d_development__y0p1__task4__init44__rollout0,development,novel_cell,libero_object_temp,y0.1,4,44,0,52288258,y0.1|task4|init44
p3d_development__y0p1__task6__init40__rollout0,development,novel_cell,libero_object_temp,y0.1,6,40,0,57597821,y0.1|task6|init40
p3d_development__y0p1__task6__init41__rollout0,development,novel_cell,libero_object_temp,y0.1,6,41,0,53779538,y0.1|task6|init41
p3d_development__y0p1__task6__init42__rollout0,development,novel_cell,libero_object_temp,y0.1,6,42,0,50247199,y0.1|task6|init42
p3d_development__y0p1__task6__init43__rollout0,development,novel_cell,libero_object_temp,y0.1,6,43,0,51621084,y0.1|task6|init43
