id,identical_query_inputs,identical_video
object__t0_i2,True,True
environment__t0_i2,True,True
position_x0.1_t0_i1,True,True
position_x0.2_t0_i1,True,True
position_x0.3_t0_i1,True,True
position_x0.4_t0_i1,True,True
position_x0.5_t0_i1,True,True
position_y0.1_t0_i1,True,True
position_y0.2_t0_i1,True,True
position_y0.3_t0_i1,True,True
position_y0.4_t0_i1,True,True
position_y0.5_t0_i1,True,True
object__t1_i2,True,True
environment__t1_i2,True,True
position_x0.1_t1_i1,True,True
position_x0.2_t1_i1,True,True
position_x0.3_t1_i1,True,True
position_x0.4_t1_i1,True,True
position_x0.5_t1_i1,True,True
position_y0.1_t1_i1,True,True
position_y0.2_t1_i1,True,True
position_y0.3_t1_i1,True,True
position_y0.4_t1_i1,True,True
object__t2_i2,True,True
environment__t2_i2,True,True
position_x0.1_t2_i1,True,True
position_x0.2_t2_i1,True,True
position_x0.3_t2_i1,True,True
position_x0.4_t2_i1,True,True
position_x0.5_t2_i1,True,True
position_y0.1_t2_i1,True,True
position_y0.2_t2_i1,True,True
position_y0.3_t2_i1,True,True
position_y0.4_t2_i1,True,True
position_y0.5_t2_i1,True,True
object__t3_i2,True,True
environment__t3_i2,True,True
position_x0.1_t3_i1,True,True
position_x0.2_t3_i1,True,True
position_x0.3_t3_i1,True,True
position_x0.4_t3_i1,True,True
position_x0.5_t3_i1,True,True
position_y0.1_t3_i1,True,True
position_y0.2_t3_i1,True,True
position_y0.3_t3_i1,True,True
position_y0.4_t3_i1,True,True
position_y0.5_t3_i1,True,True
object__t4_i2,True,True
environment__t4_i2,True,True
position_x0.1_t4_i1,True,True
position_x0.2_t4_i1,True,True
position_x0.3_t4_i1,True,True
position_x0.4_t4_i1,True,True
position_x0.5_t4_i1,True,True
position_y0.1_t4_i1,True,True
position_y0.2_t4_i1,True,True
position_y0.3_t4_i1,True,True
position_y0.4_t4_i1,True,True
position_y0.5_t4_i1,True,True
object__t5_i2,True,True
environment__t5_i2,True,True
position_x0.1_t5_i1,True,True
position_x0.2_t5_i1,True,True
position_x0.3_t5_i1,True,True
position_x0.4_t5_i1,True,True
position_x0.5_t5_i1,True,True
position_y0.1_t5_i1,True,True
position_y0.2_t5_i1,True,True
position_y0.3_t5_i1,True,True
position_y0.4_t5_i1,True,True
position_y0.5_t5_i1,True,True
object__t6_i2,True,True
environment__t6_i2,True,True
position_x0.1_t6_i1,True,True
position_x0.2_t6_i1,True,True
position_x0.3_t6_i1,True,True
position_x0.4_t6_i1,True,True
position_x0.5_t6_i1,True,True
position_y0.1_t6_i1,True,True
position_y0.2_t6_i1,True,True
position_y0.3_t6_i1,True,True
position_y0.4_t6_i1,True,True
position_y0.5_t6_i1,True,True
object__t7_i2,True,True
environment__t7_i2,True,True
