section,model,method,sampling,successes,n,sr,reported_ci
SIMPLER-Bridge — 4 задачи × 24 эпизода,MIMIC-Video Bridge,Baseline,single seed,45,96,0.46875,"46.88% [37.21, 56.78]"
SIMPLER-Bridge — 4 задачи × 24 эпизода,MIMIC-Video Bridge,Consensus medoid,"[0,1,2]",52,96,0.5416666666666666,"54.17% [44.23, 63.78]"
SIMPLER-Bridge — 4 задачи × 24 эпизода,MIMIC-Video Bridge,Decoder action-token medoid,"[2,996,997]",42,96,0.4375,"43.75% [34.26, 53.72]"
SIMPLER-Bridge — 4 задачи × 24 эпизода,GR00T N1.7 Bridge,Baseline,0,51,96,0.53125,"53.12% [43.22, 62.79]"
SIMPLER-Bridge — 4 задачи × 24 эпизода,GR00T N1.7 Bridge,Baseline,1,49,96,0.5104166666666666,"51.04% [41.20, 60.81]"
SIMPLER-Bridge — 4 задачи × 24 эпизода,GR00T N1.7 Bridge,Baseline,2,51,96,0.53125,"53.12% [43.22, 62.79]"
SIMPLER-Bridge — 4 задачи × 24 эпизода,GR00T N1.7 Bridge,Baseline,3,50,96,0.5208333333333334,"52.08% [42.20, 61.80]"
SIMPLER-Bridge — 4 задачи × 24 эпизода,GR00T N1.7 Bridge,Consensus medoid,"[1,999,998]",39,96,0.40625,"40.62% [31.35, 50.63]"
SIMPLER-Bridge — 4 задачи × 24 эпизода,GR00T N1.7 Bridge,Consensus medoid,"[2,997,996]",41,96,0.4270833333333333,"42.71% [33.28, 52.70]"
SIMPLER-Bridge — 4 задачи × 24 эпизода,GR00T N1.7 Bridge,Consensus medoid,"[3,995,994]",58,96,0.6041666666666666,"60.42% [50.42, 69.62]"
SIMPLER-Bridge — 4 задачи × 24 эпизода,GR00T N1.7 Bridge,Decoder action-token medoid,"[1,999,998]",66,96,0.6875,"68.75% [58.91, 77.15]"
SIMPLER-Bridge — 4 задачи × 24 эпизода,GR00T N1.7 Bridge,Decoder action-token medoid,"[2,997,996]",46,96,0.4791666666666667,"47.92% [38.20, 57.80]"
